Name,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Func_Group_Cat_3,Haofei_cat,Cstar_Cat
threitol,C4H10O4,1,36.25063456,0.528748405,1521,1521.311475,Alcohol,Alcohol,ISOPSOA,CHO
3-5-dimethoxyphenol,C8H10O3,0.375,36.4029407,0.87792188,1525,1525.68306,Alcohol,Alcohol,,CHO
erythreitol,C4H10O4,1,36.51717031,0.53872479,1528,1528.961749,Alcohol,Alcohol,ISOPSOA,CHO
isoeugenol,C10H12O2,0.2,38.68753286,0.77815803,1591,1591.256831,Alcohol,Alcohol,LOOA,CHO
bisabolol,C15H26O,0.066666667,44.3228602,0.55867756,1770,1770.731707,Alcohol,Alcohol,,CHO
farnesol,C15H26O,0.066666667,46.15053394,0.548701175,1832,1832.214765,Alcohol,Alcohol,,CHO
"hexadecanol, TMS",C13H35O,0.076923077,50.60548866,0.528748405,1989,1989.261745,Alcohol,Alcohol,LOOA,CHO
octadecanol,C18H38O,0.055555556,55.8219741,0.548701175,2191,2191.111111,Alcohol,Alcohol,LOOA,CHO
"eicosanol, TMS",C20H42O,0,60.54346457,0.548701175,2390,2390.322581,Alcohol,Alcohol,LOOA,CHO
monopalmitin,C19H38O4,0.210526316,65.68379694,0.748228875,2628,2628.301887,Alcohol,Alcohol,,CHO
monostearin TMS,C21H42O4,0.19047619,68.92030251,0.708323335,2788,2788.679245,Alcohol,Alcohol,,CHO
a-Amyrin,C30H50O,0.033333333,81.14287059,1.05749681,3479,3479.120879,Sesq,Alcohol,,CHO
tridecanal (?),C13H26O,0.076923077,36.8217826,0.927803805,1537,1537.704918,Aldehyde,Aldehyde,,CHO
vanillin,C8H8O3,0.375,37.54523678,1.33683559,1558,1558.469945,Aldehyde,Aldehyde,BBOA,CHO
beta-caryophyllene aldehyde,C15H24O2,0.133333333,42.60941608,1.965347845,1715,1715.853659,Aldehyde,Aldehyde,SQSOA,CHO
syringaldehyde,C9H10O4,0.444444444,42.95210491,1.326859205,1726,1726.829268,Aldehyde,Aldehyde,,CHO
beta-nocaryophyllone aldehyde,C14H22O3,0.214285714,43.90401831,0.269362395,1757,1757.317073,Aldehyde,Aldehyde,SQSOA,CHO
sinapinaldehyde,C11H12O4,0.363636364,51.74778474,1.53636329,2032,2032.592593,Aldehyde,Aldehyde,,CHO
octadecanal (?),C18H36O,0.055555556,52.35700932,0.867945495,2056,2056.296296,Aldehyde,Aldehyde,,CHO
C14,C14H30,0,32.82374631,0.468890095,1422,1422.95082,Alkane,Alkane,Hydrocarbon,CH
C16,C16H34,0,39.82982895,0.488842865,1626,1626.829268,Alkane,Alkane,Hydrocarbon,CH
C17,C17H36,0,43.06633451,0.488842865,1730,1730.487805,Alkane,Alkane,Hydrocarbon,CH
C18,C18H38,0,46.1124574,0.49881925,1830,1830.872483,Alkane,Alkane,Hydrocarbon,CH
C19,C19H40,0,49.04435068,0.508795635,1934,1934.228188,Alkane,Alkane,Hydrocarbon,CH
C20,C20H42,0,51.78586128,0.51877202,2034,2034.074074,Alkane,Alkane,Hydrocarbon,CH
C21,C21H44,0,54.4512188,0.51877202,2137,2137.777778,Alkane,Alkane,Hydrocarbon,CH
C22,C22H46,0,56.96427018,0.53872479,2238,2238.709677,Alkane,Alkane,Hydrocarbon,CH
C23,C23H48,0,59.40116849,0.548701175,2341,2341.935484,Alkane,Alkane,Hydrocarbon,CH
C24,C24H50,0,61.72383719,0.548701175,2443,2443.859649,Alkane,Alkane,Hydrocarbon,CH
C25,C25H52,0,63.93227628,0.55867756,2545,2545.614035,Alkane,Alkane,Hydrocarbon,CH
C26,C26H54,0,66.10263884,0.568653945,2649,2649.056604,Alkane,Alkane,Hydrocarbon,CH
C27,C27H56,0,68.15877179,0.568653945,2750,2750.943396,Alkane,Alkane,Hydrocarbon,CH
C28,C28H58,0,70.13875167,0.57863033,2852,2852.525253,Alkane,Alkane,Hydrocarbon,CH
C29,C29H60,0,72.08065501,0.588606715,2955,2955.555556,Alkane,Alkane,Hydrocarbon,CH
C30,C30H62,0,73.94640527,0.5985831,3058,3058.064516,Alkane,Alkane,Hydrocarbon,CH
C31,C31H64,0,75.73600247,0.61853587,3159,3159.139785,Alkane,Alkane,Hydrocarbon,CH
C32,C32H66,0,77.44944659,0.628512255,3259,3259.770115,Alkane,Alkane,Hydrocarbon,CH
C33,C33H38,0,79.16289072,0.63848864,3363,3363.218391,Alkane,Alkane,Hydrocarbon,CH
C35,C35H72,0,82.6278555,0.71829972,3564,3564.835165,Alkane,Alkane,Hydrocarbon,CH
DEET,C12H17NO,0.083333333,38.99214515,1.785772915,1600,1600,Amide,Amide,,CHON
hexadecanamide,C16H33NO,0.0625,56.35504561,1.227095355,2212,2212.903226,Amide,Amide,,CHON
quinoline,C9H7N,0,26.73150054,1.09740235,1278,1278.146352,PAH,Arom,,CHN
benzophenone,C13H10O,0.076923077,41.01020157,1.17721343,1664,1664.634146,PAH,Arom,Other,CHO
dodecyl benzene,C18H30,0,48.66358532,0.61853587,1920,1920.805369,Benz,Arom,Other,CH
anthraquinone,C14H8O2,0.142857143,51.36701938,1.446575825,2017,2017.777778,PAH,Arom,,CHO
pyrene,C10H16,0,55.32697913,1.21711897,2171,2171.851852,PAH,Arom,,CH
retene,C18H18,0,57.64964783,1.047520425,2267,2267.741935,PAH,Arom,,CH
perylene,C20H12,0,72.30911422,1.45655221,2967,2967.676768,PAH,Arom,,CH
dibenz(ah)anthracene,C22H14,0,77.79213542,1.51641052,3280,3280.45977,PAH,Arom,,CH
hydroquinone,C6H6O2,0.333333333,32.74759324,0.728276105,1420,1420.765027,Benz,Arom,,CHO
chrysene,C18H12,0,63.627664,1.29693005,2531,2531.578947,PAH,Arom,,CH
pyrocatechol,C6H6O2,0.333333333,29.35878153,0.67839418,1339,1339.689606,Cat,Cat,,CHO
resorcinol,C6H6O2,0.333333333,31.98606251,0.728276105,1399,1399.138423,Cat,Cat,,CHO
4-nitrocatechol,C6H5NO4,0.666666667,44.28478367,1.566292445,1769,1769.512195,Cat,Cat,,CHON
verbenone (-),C10H14O,0.1,25.09420948,2.065111695,1237,1237.171543,Ketone,Ketone,,CHO
ionone,C13H20O,0.076923077,33.73758317,1.33683559,1449,1449.180328,Ketone,Ketone,,CHO
pentadecanone,C15H30O,0.066666667,42.95210491,0.947756575,1726,1726.829268,Ketone,Ketone,LOOA,CHO
9H-Florenone,C13H10,0,44.55131942,1.386717515,1778,1778.04878,Ketone,Ketone,,CH
xanthone,C13H8O2,0.153846154,48.24474342,1.37674113,1906,1906.040268,Ketone,Ketone,,CHO
