cpnd,dates,slope,r2,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Func_Group_Cat_3,Haofei_cat,Cstar_Cat,RI_transform,inverse_slope,inverse_slope_rinorm,log,inverse_slope_risub
SESQ9,12/19/2020,0.001855299,0.85602317,C15H24,NA,39.33483398,1.067473195,1610,1610.97561,Sesq,Terpene,NA,CH,522.3549478,538.9966083,1.031858912,0.01362032,16.6416605
threitol,12/19/2020,0.003236524,0.991402345,C4H10O4,NA,36.25063456,0.528748405,1521,1521.311475,Alcohol,Alcohol,NA,CHO,299.5944409,308.9734761,1.031305772,0.013387448,9.379035176
pinic acid 1,12/19/2020,0.001126757,0.954039816,C9H14O4,NA,41.8859619,0.967709345,1692,1692.682927,Acid,Acid,NA,CHO,866.9078619,887.5031413,1.023757172,0.010196957,20.59527943
cholesterol,12/19/2020,0.000853887,0.978137242,C27H46O,0.037037037,76.6117628,0.83801634,3209,3209.195402,Alcohol,Sterol,NA,CHO,1289.298305,1171.114802,0.90833502,-0.041753942,-118.1835036
perylene,12/19/2020,0.000721782,0.97227777,C20H12,NA,72.30911422,1.45655221,2967,2967.676768,PAH,Arom,NA,CH,1571.677313,1385.460188,0.881516948,-0.054769334,-186.2171246
tridecanal (?),12/19/2020,0.003581321,0.948745211,C13H26O,NA,36.8217826,0.927803805,1537,1537.704918,Aldehyde,Aldehyde,NA,CHO,331.6463011,279.2265504,0.841940795,-0.074718447,-52.4197507
4-nitrocatechol,12/19/2020,0.000857429,0.917582957,C6H5NO4,0.666666667,44.28478367,1.566292445,1769,1769.512195,Cat,Cat,NA,CHON,1395.871402,1166.277444,0.835519262,-0.078043533,-229.5939579
retene,12/19/2020,0.000441754,0.976543078,C18H18,NA,57.64964783,1.047520425,2267,2267.741935,PAH,Arom,NA,CH,2790.134951,2263.701791,0.811323406,-0.090805995,-526.4331594
C18,12/19/2020,0.000607734,0.917548862,C18H38,0,46.1124574,0.49881925,1830,1830.872483,Alkane,Alkane,NA,CH,2042.046859,1645.457989,0.805788556,-0.093778905,-396.58887
gamma dodecalactone,12/19/2020,0.001288757,0.97582163,C12H22O2,0.166666667,42.4190334,1.89551315,1709,1709.756098,Sugar,Sugar,NA,CHO,963.7060869,775.941765,0.805164329,-0.094115474,-187.7643218
C35,12/19/2020,0.001311928,0.950074799,C35H72,0,82.6278555,0.71829972,3564,3564.835165,Alkane,Alkane,NA,CH,963.1689083,762.2372143,0.79138478,-0.101612307,-200.931694
C22,12/19/2020,0.000445154,0.964502764,C22H46,0,56.96427018,0.53872479,2238,2238.709677,Alkane,Alkane,NA,CH,2857.355125,2246.414426,0.78618664,-0.10447434,-610.9406991
C33,12/19/2020,0.001122961,0.959837487,C33H38,0,79.16289072,0.63848864,3363,3363.218391,Alkane,Alkane,NA,CH,1136.324885,890.5030951,0.783669447,-0.105867085,-245.8217904
C21,12/19/2020,0.000419249,0.977369819,C21H44,0,54.4512188,0.51877202,2137,2137.777778,Alkane,Alkane,NA,CH,3103.903686,2385.218627,0.768457681,-0.114380044,-718.6850588
C31,12/19/2020,0.000988684,0.952931158,C31H64,0,75.73600247,0.61853587,3159,3159.139785,Alkane,Alkane,NA,CH,1343.319416,1011.445727,0.752945066,-0.123236708,-331.8736891
C23,12/19/2020,0.000512459,0.953293263,C23H48,0,59.40116849,0.548701175,2341,2341.935484,Alkane,Alkane,NA,CH,2625.447227,1951.376354,0.743254838,-0.128862255,-674.0708735
C32,12/19/2020,0.001089803,0.965225754,C32H66,0,77.44944659,0.628512255,3259,3259.770115,Alkane,Alkane,NA,CH,1236.923015,917.5967336,0.741838192,-0.129690812,-319.3262817
C28,12/19/2020,0.000796403,0.959877879,C28H58,0,70.13875167,0.57863033,2852,2852.525253,Alkane,Alkane,NA,CH,1727.314073,1255.646445,0.726935804,-0.13850394,-471.6676285
pyrene,12/19/2020,0.000461415,0.986684919,C10H16,NA,55.32697913,1.21711897,2171,2171.851852,PAH,Arom,NA,CH,3018.378698,2167.244615,0.718016138,-0.143865795,-851.1340826
triacetin,12/19/2020,0.012472721,0.980870958,C9H14O6,NA,30.386848,2.11499362,1362,1362.952186,Misc,Misc,NA,CHO,112.23581,80.17496593,0.714343897,-0.146092661,-32.0608441
isopimaric acid,12/19/2020,0.000556174,0.980085887,C20H30O2,0.1,60.42923497,0.867945495,2385,2385.483871,Acid,Acid,NA,CHO,2533.347565,1797.999243,0.709732556,-0.148905273,-735.348322
"hexadecanol, TMS",12/19/2020,0.000409565,0.989368553,C13H35O,0.076923077,50.60548866,0.528748405,1989,1989.261745,Alcohol,Alcohol,NA,CHO,3505.887576,2441.617839,0.696433581,-0.157120296,-1064.269737
"homosalate, TMS",12/19/2020,0.000432997,0.983664541,C16H22O3,0.1875,52.31893278,0.927803805,2054,2054.814815,Misc,Misc,NA,CHO,3322.409267,2309.486216,0.695123939,-0.157937755,-1012.923051
pinic acid 2,12/19/2020,0.001614549,0.955955905,C9H14O4,NA,42.03826804,0.97768573,1697,1697.560976,Acid,Acid,NA,CHO,893.5270448,619.3678656,0.693171929,-0.159159033,-274.1591792
C30,12/19/2020,0.000997324,0.963603498,C30H62,0,73.94640527,0.5985831,3058,3058.064516,Alkane,Alkane,NA,CH,1459.400081,1002.683012,0.687051499,-0.163010709,-456.7170682
C29,12/19/2020,0.000935248,0.954283046,C29H60,0,72.08065501,0.588606715,2955,2955.555556,Alkane,Alkane,NA,CH,1587.376724,1069.235439,0.673586441,-0.171606663,-518.1412856
phthalimide,12/19/2020,0.003282727,0.972746863,C8H5NO2,NA,38.76368594,1.13730789,1593,1593.442623,Amide,Misc,NA,CHON,468.5499974,304.6247473,0.650143526,-0.186990758,-163.92525
C24,12/19/2020,0.000646179,0.960783727,C24H50,0,61.72383719,0.548701175,2443,2443.859649,Alkane,Alkane,NA,CH,2414.937577,1547.558142,0.640827389,-0.193258935,-867.3794346
