BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
2099,1129_1334_blob_1609,,,,false,1434.782608695652,1442.0,170,amz_lib_1129_1334,0,627,660,49.0099983215332,,629,33.23704363795901,0.5861092427361296,3.6423110561445355,100.10416153812184,,,0.0,0.0,0.0593251407225796
1912,1129_1334_blob_1537,,,,false,1501.0869565217392,1509.0,159,amz_lib_1129_1334,0,553,678,50.25,,0,35.54985720060901,0.7351200671605693,6.156564719160087,100.16940890428305,,,0.0,0.0,0.0
1746,1202_1412_blob_1480,,,,false,1623.170731707317,1615.0,126,amz_lib_1202_1412,0,618,657,21.5,,35,39.72050460866638,0.596043297697759,7.9975902103833505,100.21497388196323,,,0.0,0.0,0.01057047850109203
1805,1129_1334_blob_1537,,,,false,1503.2608695652175,1509.0,159,amz_lib_1129_1334,0,650,708,57.06999969482422,,90,35.62568715348278,0.8741968366233798,7.058466744259931,100.40742609195877,,,0.0,0.0,0.016427756563314258
1966,1129_1334_blob_1497,,,,false,1439.1304347826087,1434.0,152,amz_lib_1129_1334,0,618,640,50.34000015258789,,0,33.388703543706555,1.3410974198199577,5.310627638042206,100.46243174207848,,,0.0,0.0,0.0
1898,1129_1334_blob_1495,,,,false,1660.9756097560978,1661.0,150,amz_lib_1129_1334,0,684,722,39.63999938964844,,35,40.89586887820983,0.566241132812871,6.095909468138416,100.62251855926561,,,0.0,0.0,0.01061346551274094
2177,1130_1618_blob_580,,,,false,3490.1098901098894,,142,amz_fb_trimmed_esrem,0,534,591,78.81999969482422,,70,81.2374038070557,0.7947243969303452,2.3978329147794284,101.08561993250669,,,0.0,0.0,0.01756215544821274
2007,1202_1412_blob_1647,,,,false,2245.161290322581,2245.0,151,amz_lib_1202_1412,0,769,797,35.02000045776367,,39,57.08556381675982,1.0728779358559661,4.900047073650057,101.58155585322038,,,0.0,0.0,0.007421623242821848
1980,1128_1901_blob_774,,,,false,2933.333333333333,2939.0,39,amz_lib_1128_1901,0,745,772,98.05000305175781,,0,71.60699979208685,0.8642627816617505,5.411235901294276,101.603331880322,,,0.0,0.0,0.0
2184,1130_1618_blob_580,,,,false,3472.527472527471,,142,amz_fb_trimmed_esrem,0,517,570,53.470001220703125,,0,80.93408399556061,0.8344606167768626,1.8425899290014058,101.66356799952791,,,0.0,0.0,0.0
2146,1129_1334_blob_2022,,,,false,1255.2380952380952,1250.0,195,amz_lib_1129_1334,0,699,716,98.05000305175781,,0,26.450262855756552,1.639119068668837,2.904926495742984,101.80021779732579,,,0.0,0.0,0.0
2173,1130_1618_blob_580,,,,false,3328.735632183908,,142,amz_fb_trimmed_esrem,0,597,656,91.31999969482422,,70,78.50752550359996,0.6556476274675348,2.374265799240675,101.85048110355456,,,0.0,0.0,0.017695038946293016
1949,1128_1901_fb_add_blob_642,,,,false,1693.90243902439,1692.0,4,amz_lib_1128_1901_fb_add,0,646,655,49.439998626708984,,35,41.919573242005725,2.1258877617886736,5.477714304404799,102.05159282632903,,,0.0,0.0,0.010764201457992496
1622,1213_2145_blob_1041,,,,false,2016.1764705882351,2016.0,45,amz_lib_1213_2145,0,702,726,35.38999938964844,,7,51.28457242191637,0.5861092427361296,9.981781793423579,102.06847680288047,,,0.0,0.0,0.0018356030080056084
2041,1202_1412_blob_1431,,,,false,2051.4705882352937,2052.0,117,amz_lib_1202_1412,0,758,770,31.520000457763672,,578,52.19453185640162,1.8477342228630527,4.38342044048477,102.26739609667162,,,0.0,0.0,0.013217945118982609
2125,1129_1334_blob_1497,,,,false,1431.5217391304348,1434.0,152,amz_lib_1129_1334,0,584,596,90.72000122070312,,0,33.123298708648356,2.1258877617886736,3.3667064916080562,102.40085844661627,,,0.0,0.0,0.0
1758,1129_1334_blob_996,,,,false,1873.8255033557048,1874.0,48,amz_lib_1129_1334,0,778,786,69.0999984741211,,611,47.30349989604343,1.857668277824682,7.665607609925625,102.53631512395025,,,0.0,0.0,0.022593525875793722
2014,1129_1334_blob_1677,,,,false,1456.5217391304348,1460.0,177,amz_lib_1129_1334,0,588,647,76.20999908447266,,0,33.99534316669671,1.0033395511245609,4.66340284969192,102.61911450718824,,,0.0,0.0,0.0
2061,1129_1334_blob_1215,,,,false,1303.0,1309.0,101,amz_lib_1129_1334,0,544,627,80.56999969482422,,0,28.346011677600817,0.6953838473140521,3.9398616345133632,102.7298512973648,,,0.0,0.0,0.0
2008,1128_1901_blob_1027,,,,false,2777.3584905660377,2776.0,117,amz_lib_1128_1901,0,669,758,97.80000305175781,,0,68.64963163000981,1.0530098259327074,4.951344735509338,102.74021438378077,,,0.0,0.0,0.0
2085,1129_1334_blob_1677,,,,false,1465.217391304348,1460.0,177,amz_lib_1129_1334,0,579,693,84.31999969482422,,629,34.2986629781918,0.6059773526593882,3.777414796873927,102.99964915312603,,,0.0,0.0,0.06104110544953247
1478,1128_0203_blob_633,,,,false,1934.2281879194632,1934.0,12,amz_fb_trimmed_esrem,0,760,841,94.7699966430664,,6,49.00967383570326,0.4967027480814658,13.160174867061869,103.02702040931763,,,0.0,0.0,0.0016191895502482411
2006,1202_0046_blob_1246,,,,false,2120.5882352941176,2128.0,49,amz_lib_1202_0046,0,791,806,89.33000183105469,,39,53.976535748935234,1.7384596182851302,4.6644270076467365,103.13477913356473,,,0.0,0.0,0.0075351028789809186
2028,1129_1334_blob_1750,,,,false,1409.7826086956522,1417.0,183,amz_lib_1129_1334,0,635,698,75.44999694824219,,647,32.364999179910654,0.8841308915850091,4.505117506763781,103.37920245553687,,,0.0,0.0,0.07851359529064285
2064,1202_0046_blob_1670,,,,false,2235.4838709677424,2231.0,82,amz_lib_1202_0046,0,729,763,94.38999938964844,,9,56.85807395813851,0.9039990015082677,4.0701694290328305,103.69104516883453,,,0.0,0.0,0.0019769884339822033
1710,1213_2145_blob_804,,,,false,2035.2941176470586,2037.0,17,amz_lib_1213_2145,0,557,573,77.13999938964844,,7,51.77746711559588,0.5066368030430951,9.100730076876062,103.77199922631415,,,0.0,0.0,0.001866239214037162
1759,d-cholestane,,,,false,2915.151515151515,2913.0,8,amzi0503_b,0,833,859,98.66999816894531,,0,71.26576500415489,1.9470747724793458,7.732595466892235,103.87754955893934,,,0.0,0.0,0.0
2081,1221_2326_blob_688,,,,false,,2122.0,6,amz_lib_1221_2326,0,653,665,8.40999984741211,,2187,23.909959434485245,1.261624980126923,3.6705156615935266,103.92508956796843,,,0.0,0.0,0.8664188703436476
2054,1129_1334_blob_1609,,,,false,1445.6521739130435,1442.0,170,amz_lib_1129_1334,0,582,714,71.47000122070312,,0,33.616193402327866,0.754988177083828,4.343821368022223,103.95326511785044,,,0.0,0.0,0.0
1431,dC26,,,,false,2600.0,2600.0,17,amzi0503_b,0,710,793,98.83999633789062,,0,65.0856238449426,2.0960855969037855,12.821297729271464,104.0566546712493,,,0.0,0.0,0.0
