Compound.Name,IS_index1,IS_index2,IS_index3,IS_appropriate1,IS_appropriate2,IS_appropriate3,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,cumsum_ISnormnorm,cumsum_ISrawnorm1,cumsum_ISrawnorm2,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
1221_0832_blob_680,25,11,4,methoxyphenol-d3,dC14,"d-C10 acid, TMS",0.431923387,0.366109807,0.46602109,-0.018518907,0.184583714,-0.286098228,0.37046198,0.258429844,-0.121131243,-0.175448839,-0.050118146,-0.30001192,0.000718677,0.001059871,0.000442768,680,amz_lib_1221_0832,999,999,C7 acid,503,594,1805.369128,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",629,649,NA,C14H28O4Si2,316,apin_ox_S_blob_637,653,689,1796
1128_1901_blob_620,11,26,12,dC14,pentaerythritol-C13,dC16,0.827350504,0.485218661,0.020254109,0.013878897,0.301493126,-0.104518214,0.775609633,0.162666457,-0.028318765,-0.052124737,-0.071902498,-0.0968312,0.001162588,0.001054092,0.001250323,620,amz_lib_1128_1901,999,999,C7 acid,361,439,1405.434783,NA,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",694,723,NA,C10H22O3Si2,246,myrc_ox_L_blob_619,573,651,1402
1221_0832_blob_846,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.633323288,0.27313491,0.183016638,0.421361629,0.566069361,-0.029902504,0.454642435,0.027865549,0.263507739,-0.152537512,0.210592279,0.088031743,0.000533245,0.001053482,0.000112554,846,amz_lib_1221_0832,999,999,C7 acid,281,416,2044.444444,NA,"Phthalic acid, butyl 3-methylbutyl ester",823,896,NA,C17H24O4,292,bcp_ox_L_blob_771,352,358,2035
1221_0832_blob_739,11,26,12,dC14,pentaerythritol-C13,dC16,0.471739087,0.402121837,0.466511016,-0.021204395,0.085192001,-0.31581225,0.498125637,0.153373233,-0.272230642,-0.188113053,-0.214681244,-0.414864519,0.000766818,0.001045646,0.000541342,739,amz_lib_1221_0832,999,999,"2-Ketoglutaric acid, tri-TMS",415,642,1652.439024,1629,Tris(trimethylsiloxy)ethylene,702,791,NA,C11H28O3Si3,292,myrc_ox_L_blob_542,554,600,1660
1129_1334_blob_660,11,26,25,dC14,pentaerythritol-C13,methoxyphenol-d3,0.228756544,0.40214143,0.519576723,0.53189382,0.654543355,0.119560367,-0.060411195,-0.316559504,0.035325182,0.573847261,0.778667542,0.500436844,0.003167361,0.001039484,0.004888079,660,amz_lib_1129_1334,999,999,vanillic acid,856,881,1787.878788,1789,"Isovanillic acid, 2TMS derivative",660,873,1761,C14H24O4Si2,312,bcp_ox_L_blob_647,427,529,1780
1221_0832_blob_762,11,26,12,dC14,pentaerythritol-C13,dC16,0.774754345,0.118233192,0.468099141,-0.187773313,0.411398927,-0.17793734,0.20065218,0.879422189,-0.167692482,0.13536322,0.188465188,-0.577466057,0.000524007,0.001038104,0.00010828,762,amz_lib_1221_0832,999,999,C7 acid,544,595,1718.292683,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",659,681,NA,C15H30O4Si,302,apin_ox_S_blob_677,578,659,1709
1202_1412_blob_1108,11,26,12,dC14,pentaerythritol-C13,dC16,0.771153885,0.483220981,0.406613936,0.24836336,0.565098404,0.018812966,-0.115488249,0.22825579,-0.059916229,0.034783168,0.18912492,-0.04500013,0.000627842,0.001024393,0.00030717,1108,amz_lib_1202_1412,999,999,C7 acid,441,570,2011.851852,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",722,774,NA,C13H26BNO6Si,331,limonox_S_blob_788,464,669,1989
1128_1901_blob_1248,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.390186396,0.305036629,0.639287622,0.539209887,0.828245056,0.241254927,NA,NA,NA,NA,NA,NA,0.000462772,0.001019679,1.24E-05,1248,amz_lib_1128_1901,999,999,C7 acid,492,590,1730.909091,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",591,593,NA,C28H50O4Si2,506,myrc_ox_L_blob_606,582,621,1723
1128_1901_blob_1004,1,7,25,4-methoxy-benzaldehyde,d-C6diacid,methoxyphenol-d3,0.570424861,0.069224365,0.43862674,0.33897029,0.47753443,0.016487186,0.158914082,0.278248392,-0.055832549,-0.146784553,0.101661071,0.002675193,0.000742667,0.0010185,0.000519613,1004,amz_lib_1128_1901,999,999,"2-Ketoglutaric acid, tri-TMS",487,500,1631.515152,1629,"2-propenoic acid, 2-methyl-, 2,3-bis[(trimethylsilyl)oxy]propyl ester",608,738,NA,C13H28O4Si2,304,limonox_L_blob_667,828,833,1630
1221_0832_blob_1130,1,7,25,4-methoxy-benzaldehyde,d-C6diacid,methoxyphenol-d3,0.843967003,0.325742284,0.322382273,0.418153305,0.620016725,0.079384366,0.348615996,0.327742606,-0.069603257,-0.143835893,0.07489947,0.011268647,0.000739829,0.001010581,0.000520884,1130,amz_lib_1221_0832,999,999,"beta-nocaryophyllinic acid, TMS",502,586,2140.740741,2127,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",641,692,NA,C18H34OSi,294,limonox_S_blob_905,481,654,2120
1202_1412_blob_1342,11,26,12,dC14,pentaerythritol-C13,dC16,0.390961392,0.374471652,0.264754181,0.110700038,0.442215713,-0.029039316,NA,NA,NA,NA,NA,NA,0.000454625,0.001010374,5.22E-06,1342,amz_lib_1202_1412,999,999,"beta-caryophyllonic acid, TMS",609,653,1932.885906,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",724,767,NA,C13H26BNO6Si,331,limonox_S_blob_847,591,681,1925
1221_0832_blob_796,1,7,25,4-methoxy-benzaldehyde,d-C6diacid,methoxyphenol-d3,0.873049771,0.156660236,0.468423572,-0.029926552,0.493688157,-0.141245965,0.469015165,0.480128664,-0.070988045,-0.244159637,-0.143407859,-0.273982086,0.001397314,0.001008424,0.001711791,796,amz_lib_1221_0832,999,999,C7 acid,410,465,1798.780488,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",681,692,NA,C14H28O4Si2,316,myrc_ox_L_blob_594,825,834,1793
1202_1412_blob_628,11,26,25,dC14,pentaerythritol-C13,methoxyphenol-d3,0.333645915,0.291139798,0.393589183,0.175857635,0.414981483,-0.188063969,0.4559226,0.543507156,0.07670861,-0.008198659,0.5502251,-0.210871316,0.000661891,0.000999839,0.000388608,628,amz_lib_1202_1412,999,999,C7 acid,469,612,1644.848485,NA,"Methyl a-Arabinofuranoside, 3TMS derivative",662,796,NA,C15H36O5Si3,380,myrc_ox_L_blob_630,614,652,1652
1202_0046_blob_999,11,26,12,dC14,pentaerythritol-C13,dC16,0.457027614,0.404296256,0.554894602,0.17465432,0.485933196,0.037036429,NA,NA,NA,NA,NA,NA,0.000455625,0.000997354,1.76E-05,999,amz_lib_1202_0046,999,999,C7 acid,442,566,1809.459459,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",736,769,NA,C13H26BNO6Si,331,limonox_S_blob_671,634,683,1817
1221_0832_blob_979,1,7,25,4-methoxy-benzaldehyde,d-C6diacid,methoxyphenol-d3,0.769643858,0.181661684,0.461080799,-0.11507197,0.193762352,-0.194295016,0.406134475,0.509814794,0.034795732,-0.211111474,-0.16629049,-0.265634622,0.001033749,0.000993898,0.001065975,979,amz_lib_1221_0832,999,999,C7 acid,475,547,1798.780488,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,677,NA,C12H27BO5Si2,318,myrc_ox_L_blob_562,660,689,1792
