Compound.Name,Rownum,sum_rawvol,sum_ISrawnormvol,sum_ISnormnormvol,n_occur,cumsum_raw,cumsum_ISrawnorm,num_pct,cumsum_ISnormnorm.x,pct_occur,raw_cumsum,ISrawnorm_cumsum,cumsum_ISnormnorm.y,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes,LRI_avg,RI2,relative_LRI,relative_LRI2,identifiable,count,pct_count,pct_normvol
1221_0832_blob_1221,1041,418.1582393,0.00076957,8.253400323,2,1.02E-05,1.12E-05,0.785660377,1.12E-05,0.037037037,0.999577469,0.999557837,4.54E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mannosan,472,512,1706.097561,1706,"l-Galactopyranose, 6-deoxy-1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",625,695,NA,C13H29BO5Si2,limonox_S_blob_923,554,636,1699,-1,-1,NA,0,0,-1,-1,-1,-1,-1,-1,-1,NA,0,-1,0,0,NYC,NA,NA,NA,1705.809517,0.903711219,0.735621609,1.069169473,FALSE,1,0.00245098,0.000175655
1129_1334_blob_1726,1042,415.8971096,0.000765409,8.208771266,4,1.01E-05,1.12E-05,0.786415094,1.12E-05,0.074074074,0.999587573,0.999568997,4.52E-06,-0.446969739,-0.836974097,-0.520239365,0.223035721,0.075000885,0.486246857,NA,NA,NA,NA,NA,NA,a-copaene,357,404,1395.718369,1402,"4-Hydroxybenzaldehyde, TMS derivative",793,812,1383,C10H14O2Si,bcp_ox_L_blob_789,354,500,1381,-0.998169549,-0.233382049,NA,-0.460872666,0.009950206,-0.517725843,-0.610630741,-0.772876365,-0.029253208,-0.792652307,-0.02178569,-1,NA,-1,0,-0.313646145,-0.084233025,NYC,NA,NA,NA,1394.474747,0.823907642,0.601360086,0.974754856,TRUE,1,0.00245098,0.000174705
1128_1901_blob_1312,1043,415.6930667,0.000765034,8.204743968,1,1.01E-05,1.12E-05,0.787169811,1.12E-05,0.018518519,0.999597672,0.999580151,4.52E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,427,496,2497.391304,NA,"2-Mono-isobutyrin, 2TMS derivative",682,812,NA,C13H30O4Si2,limonox_S_blob_633,478,591,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,A,NA,NA,NA,2497.391304,0.166664624,1.076987197,0.197178838,FALSE,1,0.00245098,0.000174619
1128_1901_blob_1735,1044,412.0289921,0.00075829,8.132424277,2,1.00E-05,1.11E-05,0.787924528,1.11E-05,0.037037037,0.999607682,0.999591207,4.48E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pinic acid 1,545,591,1686.060606,1692,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",609,621,NA,C13H26BNO6Si,limonox_S_blob_720,630,675,1675,1,-1,NA,0,0,1,1,1,-1,1,1,1,NA,0,1,0,-1,NYC,NA,NA,NA,1686.060606,1.520064655,0.727104993,1.798369537,FALSE,1,0.00245098,0.00017308
1128_1901_blob_1252,1047,403.0342407,0.000741736,7.954890326,1,9.79E-06,1.08E-05,0.790188679,1.08E-05,0.018518519,0.999637301,0.999623922,4.38E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,569,646,2554.782609,NA,"11-Eicosenoic acid, (E)-,TMS derivative",664,714,NA,C23H46O2Si,limonox_S_blob_687,519,616,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2554.782609,0.156714405,1.101736903,0.185406859,FALSE,1,0.00245098,0.000169302
1128_1901_blob_1159,1048,388.1515071,0.000714347,7.661142298,1,9.43E-06,1.04E-05,0.790943396,1.04E-05,0.018518519,0.999646731,0.999634337,4.22E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,502,611,2097.058824,NA,"Palmitelaidic acid, TMS derivative",719,794,NA,C19H38O2Si,apin_ox_S_blob_751,511,642,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2097.058824,0.166664624,0.904345867,0.197178838,FALSE,1,0.00245098,0.00016305
1128_1901_blob_1123,1051,383.3085081,0.000705434,7.565553581,1,9.31E-06,1.03E-05,0.793207547,1.03E-05,0.018518519,0.999674719,0.99966525,4.16E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,435,538,2338.709677,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",613,722,NA,C18H34OSi,limonox_S_blob_687,443,593,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2338.709677,0.196515278,1.008556559,0.232494775,FALSE,1,0.00245098,0.000161016
1128_1901_blob_1332,1052,375.3409526,0.00069077,7.408293916,1,9.12E-06,1.01E-05,0.793962264,1.01E-05,0.018518519,0.999683837,0.999675322,4.08E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,373,418,2464.347826,NA,t-Butyldimethyl-(12-methyleicosyloxy)silane,732,746,NA,C27H58OSi,limonox_S_blob_701,392,416,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2464.347826,0.027361568,1.062737367,0.03237113,FALSE,1,0.00245098,0.000157669
1128_1901_blob_1571,1053,367.3619737,0.000676086,7.25080878,2,8.92E-06,9.86E-06,0.794716981,9.86E-06,0.037037037,0.999692762,0.999685179,3.99E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,436,514,1652.121212,NA,"2-Methyl-3,5-heptadiene, 7-trimethylsilyl-2,3-bis(trimethylsilyloxy)-",629,688,NA,C17H38O2Si3,myrc_ox_L_blob_630,570,620,1652,0,1,NA,0,-1,1,1,1,1,-1,1,0,NA,0,0,0,1,NYC,NA,NA,NA,1652.121212,0.47512139,0.712468803,0.562110191,FALSE,1,0.00245098,0.000154317
1128_1901_blob_1732,1054,366.4656926,0.000674436,7.233118427,2,8.90E-06,9.83E-06,0.795471698,9.83E-06,0.037037037,0.999701665,0.999695013,3.98E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,414,481,1671.515152,NA,"<df>-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,693,NA,C12H27BO5Si2,limonox_S_blob_720,626,654,1675,0,1,NA,0,-1,1,1,1,1,-1,1,0,NA,0,0,0,1,NYC,NA,NA,NA,1671.515152,1.251238414,0.72083234,1.480324563,FALSE,1,0.00245098,0.000153941
1128_1901_blob_1499,1055,363.5195369,0.000669014,7.174968663,1,8.83E-06,9.75E-06,0.796226415,9.75E-06,0.018518519,0.999710496,0.999704767,3.95E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,419,522,2295.16129,NA,"13-Retinoic acid, (Z)-, TMS derivative",609,613,NA,C23H36O2Si,apin_ox_S_blob_595,424,567,2279,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2295.16129,0.723876846,0.98977654,0.856409669,FALSE,1,0.00245098,0.000152703
1128_1901_blob_1095,1056,360.9034145,0.0006642,7.123332935,1,8.77E-06,9.68E-06,0.796981132,9.68E-06,0.018518519,0.999719264,0.999714451,3.92E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eicosanol, TMS",428,757,2353.225806,2390,"18-Methyl-nonadecanol, trimethylsilyl ether",797,836,NA,C23H50OSi,apin_ox_S_blob_751,416,457,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2353.225806,0.01741135,1.014816565,0.020599151,TRUE,1,0.00245098,0.000151604
1128_1901_blob_1127,1057,356.6580139,0.000656387,7.03953932,1,8.66E-06,9.57E-06,0.797735849,9.57E-06,0.018518519,0.999727928,0.999724022,3.87E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,442,501,2406.956522,NA,"1,12-Dodecanediol, 2TMS derivative",643,682,NA,C18H42O2Si2,limonox_S_blob_687,484,569,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2406.956522,0.206465497,1.037987661,0.244266754,FALSE,1,0.00245098,0.000149821
1128_1901_blob_1534,1058,353.8269903,0.000651176,6.983661978,1,8.60E-06,9.49E-06,0.798490566,9.49E-06,0.018518519,0.999736524,0.999733516,3.84E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,453,533,2700.934579,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",625,703,NA,C18H34OSi,limonox_S_blob_687,457,569,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2700.934579,0.216415715,1.164764191,0.256038733,FALSE,1,0.00245098,0.000148632
1128_1901_blob_1848,1059,349.1426695,0.000642555,6.891205172,1,8.48E-06,9.37E-06,0.799245283,9.37E-06,0.018518519,0.999745006,0.999742885,3.79E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,beta-sitosterol,0,482,2301.612903,3406,"Butanoic acid, 4-oxo-4-[(5,6,7,8-tetrahydro-1-naphthalenyl)amino]-",567,642,NA,C14H17NO3,limonox_S_blob_633,405,524,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2302.4,1.102512022,0.992898197,1.304368224,FALSE,1,0.00245098,0.000146664
1128_1901_blob_999,1060,348.6133852,0.000641581,6.880758421,1,8.47E-06,9.35E-06,0.8,9.35E-06,0.018518519,0.999753476,0.999752239,3.79E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,401,431,3047.826087,NA,"Farnesol, (E,E)-, TMS derivative",723,764,NA,C18H34OSi,limonox_S_blob_687,431,484,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,3047.826087,0.087062877,1.314359375,0.103003005,FALSE,1,0.00245098,0.000146441
1128_1901_blob_1220,1061,343.9674073,0.000633031,6.78905841,1,8.36E-06,9.23E-06,0.800754717,9.23E-06,0.018518519,0.999761832,0.999761469,3.74E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,455,540,2304.83871,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",634,642,NA,C28H50O4Si2,limonox_S_blob_687,465,580,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2304.83871,0.176614842,0.993949878,0.208950817,FALSE,1,0.00245098,0.00014449
1128_1901_blob_1276,1063,320.4708531,0.000589788,6.325295054,1,7.79E-06,8.60E-06,0.802264151,8.60E-06,0.018518519,0.999777454,0.99977353,3.48E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Ketoglutaric acid, tri-TMS",366,387,1629.090909,1629,"1-Phenyl-3-buten-1-ol, TMS derivative",680,794,NA,C13H20OSi,apin_ox_S_blob_608,417,432,1630,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,1629.090909,1.032333612,0.702537103,1.221341022,FALSE,1,0.00245098,0.00013462
1129_1334_blob_1443,1064,319.1921321,0.000587435,6.300056291,1,7.75E-06,8.56E-06,0.803018868,8.56E-06,0.018518519,0.999785208,0.999782095,3.47E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C10 diacid (sebacic acid),360,492,1906.040268,1922,"a-D-Mannopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",717,775,NA,C17H37BO6Si2,limonox_S_blob_725,530,596,1893,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,1906.040268,0.067301472,0.821970094,0.079623532,FALSE,1,0.00245098,0.000134083
1128_1901_blob_1206,1065,313.4242843,0.00057682,6.186213366,1,7.61E-06,8.41E-06,0.803773585,8.41E-06,0.018518519,0.999792823,0.999790505,3.40E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,389,464,2152.941176,NA,"2-Octyldecanol, TMS derivative",752,775,NA,C21H46OSi,apin_ox_S_blob_751,405,539,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2152.941176,0.01741135,0.928444845,0.020599151,TRUE,1,0.00245098,0.00013166
1128_1901_blob_1348,1066,311.4855951,0.000229301,2.459179392,1,7.57E-06,3.34E-06,0.804528302,3.34E-06,0.018518519,0.99980039,0.999793849,3.38E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,367,428,2287.096774,NA,"Hexadecanoic acid, 1-(hydroxymethyl)-1,2-ethanediyl ester",666,671,NA,C35H68O5,apin_ox_S_blob_595,411,461,2279,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2287.096774,0.534279431,0.986298759,0.632099332,FALSE,1,0.00245098,5.23E-05
1129_1334_blob_1510,1067,306.5266684,0.000564126,6.050071639,1,7.45E-06,8.23E-06,0.805283019,8.23E-06,0.018518519,0.999807837,0.999802074,3.33E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,432,544,2359.677419,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",672,695,NA,C16H37BO6Si3,apin_ox_S_blob_592,486,630,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2359.677419,0.256401962,1.01759879,0.303345964,FALSE,1,0.00245098,0.000128762
1128_1901_blob_1292,1068,299.6566396,0.000551482,5.914474412,1,7.28E-06,8.04E-06,0.806037736,8.04E-06,0.018518519,0.999815116,0.999810114,3.25E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,420,475,2764.485981,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",651,703,NA,C18H34OSi,limonox_S_blob_633,460,570,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2764.485981,0.216415715,1.192170407,0.256038733,FALSE,1,0.00245098,0.000125876
1128_1901_blob_1684,1070,294.7036807,0.000542367,5.816715361,1,7.16E-06,7.91E-06,0.80754717,7.91E-06,0.018518519,0.99982953,0.999826035,3.20E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sinapinaldehyde,359,375,2026.470588,2032,"8-Methoxy-1,3,4,5-tetrahydro-2H-1-benzazepin-2-one, TBDMS derivative",615,637,NA,C17H27NO2Si,bcp_ox_L_blob_641,433,437,2030,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2026.470588,1.162344025,0.873905053,1.37515472,FALSE,1,0.00245098,0.000123796
1221_0832_blob_1308,1071,292.5545718,0.000538412,5.774297313,2,7.11E-06,7.85E-06,0.808301887,7.85E-06,0.037037037,0.999836637,0.999833885,3.18E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,506,564,2120,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",665,752,NA,C15H30O5Si,limonox_S_blob_905,547,604,2120,0,1,NA,0,0,-1,-1,1,0,1,1,0,NA,0,0,0,-1,NYC,NA,NA,NA,2120.740741,0.326131655,0.914558572,0.385842294,FALSE,1,0.00245098,0.000122893
1129_1334_blob_1215,1072,288.686354,0.000531293,5.697948345,1,7.01E-06,7.75E-06,0.809056604,7.75E-06,0.018518519,0.999843651,0.999841631,3.14E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonanol,496,543,1309.229414,1305,"1,3-Bis(trimethylsilyloxy)pentane",699,804,NA,C11H28O2Si2,apin_ox_L_blob_550,576,590,1307,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,1308.512575,0.56650079,0.56428934,0.670220019,FALSE,1,0.00245098,0.000121268
1128_1901_blob_1389,1074,280.3668693,0.000515982,5.533742474,1,6.81E-06,7.52E-06,0.810566038,7.52E-06,0.018518519,0.99985732,0.999856729,3.05E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,392,525,2204.83871,NA,"N,N'-o-Phenylenebis(5,5,5-trifluoro-4-oxopentan-2-iminato)nickel(II)",611,617,NA,C16H12F6N2NiO2,bcp_ox_L_blob_988,483,512,2192,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,NA,NA,NA,2204.83871,0.674125755,0.95082539,0.797549774,FALSE,1,0.00245098,0.000117773
