Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,AMS_PMF_1_iepox,AMS_PMF_2_moooa,AMS_PMF_3_loooa,AMS_PMF_4_bboa,AMS_PMF_5_arom,AMS_PMF_6_hc,cluster,Assigned_Option_2
1202_0046_blob_1364,0.413110961,0.422789155,0.219884657,0.559885501,0.481064834,0.099588772,0.112687145,0.161966326,0.540925309,0.485532164,0.257939588,0.10517467,0.421903561,0.176019681,NA,2b
1202_0046_blob_1351,-0.148789598,-0.148981255,0.104985443,-0.233220837,-0.0849431,0.406162283,0.091697096,-0.046383231,-0.215261384,0.094112018,-0.274749304,-0.160509512,-0.298188088,0.113519737,NA,4
1202_0046_blob_1347,0.3297132,0.361609734,0.286078636,0.403523938,0.416824808,0.37146852,0.224480067,0.204028923,0.258765134,0.511212355,0.030429002,-0.000551902,0.137077534,0.234894608,NA,3
1202_0046_blob_1342,-0.243210263,-0.271312579,-0.133556708,-0.284476317,-0.056066348,0.429294274,0.311284568,0.449799558,-0.208700993,-0.228080871,-0.114914386,-0.126369,-0.203427524,-0.121636083,NA,6
1202_0046_blob_1341,0.736149127,0.695578482,0.460840348,0.853547421,0.72122203,-0.333878173,-0.128239631,-0.021452064,0.679828954,0.658250718,0.519258594,0.372522958,0.683061153,0.159572203,NA,2o
1202_0046_blob_1325,0.654318953,0.662651795,0.53090321,0.856327219,0.732821975,-0.234833179,-0.059789263,0.13648779,0.776619265,0.623919066,0.48485931,0.29234029,0.64026201,0.20046602,NA,2o
1202_0046_blob_1284,-0.073115848,-0.057700497,-0.06581578,-0.102165912,-0.066545155,-0.107495338,-0.084938333,-0.11110722,-0.165876323,-0.143297679,-0.013956195,0.104894271,0.093374019,0.056409698,NA,2b
1202_0046_blob_1280,0.029469086,0.194580316,-0.0465961,0.017126956,0.147639942,-0.269422231,-0.154406844,0.078060869,-0.088618967,-0.031519869,-0.064020371,-0.058197009,0.06190474,-0.053102502,NA,2b
1202_0046_blob_1275,0.4025181,0.076401851,0.226184161,0.40888196,0.418566045,-0.178016373,-0.011875922,-0.063353004,0.400656292,0.227087846,0.506602812,-0.141458734,0.366833598,-0.069027427,NA,3
1202_0046_blob_1273,0.015019453,0.416635823,0.038497929,0.261573874,0.394940331,0.011157067,0.027335137,0.109560456,0.410519429,0.304994104,-0.02103122,0.291656894,0.328461001,0.080191392,NA,2b
1202_0046_blob_1270,0.400349784,0.351713506,0.319291272,0.588119091,0.694306193,-0.208427887,-0.018187196,0.131994957,0.562772208,0.29529476,0.656258571,0.11518149,0.522448015,-0.003916576,NA,3
1202_0046_blob_1263,-0.171677269,0.462633667,-0.165001719,0.029606608,0.111163957,-0.183511691,-0.16047289,0.048563847,0.026145265,-0.133131841,0.235368206,0.653630199,0.396651246,0.428621444,NA,2b
1202_0046_blob_1249,0.53843203,0.479249279,0.299373426,0.655689316,0.691951063,-0.37975785,-0.178088766,-0.038447117,0.539459805,0.416250301,0.541954767,0.237345811,0.651046195,0.039253227,NA,3
1202_0046_blob_1246,0.721729936,0.607130549,0.586678601,0.865057981,0.662499077,-0.132797725,-0.032324347,0.101821936,0.773917928,0.678793751,0.420047157,0.230680092,0.570926589,0.139694861,NA,2o
1202_0046_blob_1236,0.124928609,0.02311108,0.045600865,0.121779663,-0.02886226,0.256029922,0.511649531,0.055386891,0.004385683,0.201976791,0.0375109,-0.186230696,-0.127075419,-0.133623698,NA,5
1202_0046_blob_1222,-0.41272983,-0.2214722,-0.367629484,-0.410706113,-0.254564925,0.294997624,0.102327249,0.065096186,-0.262953031,-0.336866137,-0.012643731,0.063832874,-0.188364802,0.117341627,NA,4
1202_0046_blob_1218,0.670904687,0.651784994,0.506965062,0.873822674,0.668635158,-0.181073784,-0.068499269,0.150161491,0.815332533,0.6658637,0.403284728,0.237195261,0.619279245,0.187127903,NA,2o
1202_0046_blob_1210,0.083147033,0.031187148,0.069705373,0.015690555,0.346954186,-0.282746023,-0.140404785,-0.199278781,-0.011134281,0.048442229,0.14045802,0.045180441,0.315143275,0.035365501,NA,3
1202_0046_blob_1177,0.640208991,0.349156076,0.527316276,0.758827383,0.406651231,-0.153538895,-0.006436491,0.136142177,0.755199438,0.446023943,0.225685207,0.04603146,0.387448591,-0.031497795,NA,2o
1202_0046_blob_1144,0.756745302,0.308994993,0.693372343,0.729337838,0.504902938,-0.245825857,-0.04686179,-0.059158539,0.633806586,0.571785134,0.352455859,-0.012421888,0.371611391,-0.020844436,NA,2a
1202_0046_blob_1142,0.688939954,0.544471063,0.49989606,0.793689353,0.590507868,-0.324627178,-0.011165433,0.129610812,0.642537694,0.457152312,0.453144149,0.252539111,0.608139705,0.059712225,NA,2o
1202_0046_blob_1139,0.073087723,0.464472923,-0.051428421,0.250940168,0.486823271,-0.336865063,-0.181983445,0.063791664,0.148957447,0.065954689,0.361171559,0.229560804,0.304301748,-0.01533128,NA,3
1202_0046_blob_1128,0.896098217,0.501550998,0.667508306,0.918998422,0.569388537,-0.140629186,0.070067981,0.043313118,0.74425182,0.77846463,0.368979731,0.063553548,0.425241695,0.043333592,NA,2a
1202_0046_blob_1115,-0.043853371,0.140126952,-0.126768918,0.128372674,0.307768161,-0.494177417,-0.331353409,-0.262852462,0.177483014,-0.130341778,0.602978117,0.191889188,0.384147218,-0.074062704,NA,3
1202_0046_blob_1106,0.446786559,0.816173359,0.218115007,0.655992726,0.565341085,-0.091945492,-0.134812609,0.12924787,0.517708598,0.55439198,0.443388394,0.691153118,0.654859493,0.419346923,NA,2b
1202_0046_blob_1105,0.29857433,0.269300128,0.055244161,0.398226564,0.62079135,-0.296985549,-0.073729583,0.004273825,0.31578205,0.134021349,0.683211644,0.103240909,0.505706533,0.051031848,NA,3
1202_0046_blob_1096,0.645292371,0.517536025,0.413976641,0.722858012,0.63886675,-0.341235341,-0.101817782,-0.025835851,0.505437972,0.521767932,0.557358726,0.165321057,0.490917288,-0.019676314,NA,2a
1202_0046_blob_1089,0.599614455,0.734253109,0.376389691,0.790734272,0.681284353,-0.251538237,-0.126748481,0.160399209,0.646664937,0.570664982,0.478370218,0.385480145,0.677695376,0.133419054,NA,2o
1202_0046_blob_1087,0.333360312,-0.113226723,0.099903663,0.126596626,-0.114994227,-0.274055493,-0.110802955,-0.352932024,-0.003969716,0.072381376,0.18386318,-0.130662658,-0.119636661,-0.168361909,NA,2a
1202_0046_blob_1086,0.450285478,0.753660892,0.36453407,0.645114241,0.511285837,-0.114205358,-0.076179366,0.141327995,0.473142513,0.624786218,0.171772327,0.344720991,0.446706104,0.157516883,NA,2b
1202_0046_blob_1078,0.191039295,0.119685463,0.116736418,0.149977515,0.144218839,0.104346171,0.177059321,-0.134564639,0.143611047,0.340065078,-0.035235812,-0.023276702,0.046077954,-0.023996454,NA,2a
1202_0046_blob_1041,0.607306851,0.794132459,0.461977855,0.845039853,0.804764239,-0.159362752,-0.044145054,0.29955429,0.734295955,0.604957802,0.438068209,0.398486151,0.670814843,0.203517184,NA,2b
1202_0046_blob_1040,-0.068601973,0.451174828,-0.077280672,0.144403305,0.409522106,-0.406586117,-0.319141846,-0.086364341,0.104006657,0.02452775,0.510281701,0.55501624,0.537468824,0.140217169,NA,2b
