"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm.x","pct_occur","raw_cumsum","ISrawnorm_cumsum","cumsum_ISnormnorm.y","AMS1_PMF_1r2","AMS1_PMF_2r2","AMS1_PMF_3r2","AMS1_PMF_4r2","AMS1_PMF_5r2","AMS1_PMF_6r2","AMS2_PMF_1r2","AMS2_PMF_2r2","AMS2_PMF_3r2","AMS2_PMF_4r2","AMS2_PMF_5r2","AMS2_PMF_6r2","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","Library.Reverse.Match.Factor_chamber","Library.RI_chamber","A1","BB1","BB2","BB3","BB4","BB5","ISOP1","ISOP2","ISOP3","MT1","MT2","MT3","SQT1","SQT2","SQT3","SQT4","SQT5","man_cat1","man_cat1_alternate","man_cat1_certainty","man_cat1_notes","LRI_avg","RI2","relative_LRI","relative_LRI2","identifiable","count","pct_count","pct_normvol","ams_max","trac_max"
"329","1202_1412_blob_1756",987,652.277889623747,0.00120043965923324,12.8743380840326,1,1.58464369487171e-05,1.75026883345881e-05,0.744905660377359,1.75026883345881e-05,0.0185185185185185,0.998891613703273,0.998842938381296,7.08e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",452,516,3189.130435,NA,"Heptadecanoic acid, 9-methyl-, methyl ester",579,638,NA,"C19H38O2","limonox_S_blob_687",433,507,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,3189.13043478261,0.23749336330719,1.37529615096482,0.280975436323395,FALSE,1,0.00245098039215686,0.000274001276878784,NA,"BB1"
"330","1202_1412_blob_1352",988,639.792086166442,0.000620860521157375,6.65853397205671,2,1.55431068797577e-05,9.05229023173757e-06,0.745660377358491,9.05229023173757e-06,0.037037037037037,0.998907156810153,0.998851990671528,6.95e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Ketoglutaric acid, tri-TMS",479,505,1632.727273,1629,"1-Hexadecanol, 2-methyl-",668,681,NA,"C17H36O","myrc_ox_L_blob_627",560,585,1628,0,-1,NA,0,0,-1,0,0,0,-1,1,0,NA,0,0,"-1",-1,"NYC",NA,NA,NA,1632.82705099778,0.276424155260224,0.70414829507642,0.327033970772926,FALSE,1,0.00245098039215686,0.000141711892182408,NA,"MT2"
"331","1128_1901_blob_919",989,637.54060367509,0.00117331744214808,12.5834608294724,1,1.54884093713677e-05,1.71072401261476e-05,0.746415094339623,1.71072401261476e-05,0.0185185185185185,0.998922645219525,0.998869097911654,6.92e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",540,617,2329.032258,NA,"11,14-Eicosadienoic acid, TMS derivative",669,730,NA,"C23H44O2Si","apin_ox_S_blob_751",527,617,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,2329.03225806452,0.166664623555184,1.00438322153712,0.197178837635647,FALSE,1,0.00245098039215686,0.000267810609937752,NA,"BB1"
"332","1128_1901_blob_968",991,628.685437417554,0.0011570205647991,12.4086819415116,1,1.52732819908406e-05,1.68696278789411e-05,0.747924528301887,1.68696278789411e-05,0.0185185185185185,0.998953386356966,0.998894602927906,6.83e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",535,581,1928.85906,1931,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",643,688,NA,"C11H22B2O6Si","limonox_S_blob_847",549,609,1925,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,1928.85906040268,0.783578155800279,0.831810581528086,0.92704154403964,FALSE,1,0.00245098039215686,0.000264090835129904,NA,"BB1"
"333","1202_0046_blob_1667",994,617.980134605996,0.00113731873178662,12.1973859741327,3,1.50132073988318e-05,1.6582370589343e-05,0.750188679245283,1.6582370589343e-05,0.0555555555555556,0.998998751506578,0.99894470959084,6.71e-06,-0.512937232,0.999625908,0.335226888,-0.498509562,-0.02686328,-0.329376896,NA,NA,NA,NA,NA,NA,"C7 acid",366,450,1870.27027,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",646,662,NA,"C13H26BNO6Si","limonox_S_blob_649",562,607,1868,1,-0.918472194,NA,-0.312753317,1,-0.836508642,0.77554872,0.967287707,0.972895347,0.233665852,0.970679957,0,NA,-1,0.276716751,"-1",0.398667418,"NYC",NA,NA,NA,1870.40328919524,1.48088436632305,0.806601829867615,1.7520158255282,FALSE,1,0.00245098039215686,0.000259593876569139,"AMS1_PMF_2r2","ISOP3"
"334","1129_1334_blob_1677",995,605.034938092387,0.00111349464156571,11.9418800936918,2,1.46987168364428e-05,1.62350098346524e-05,0.750943396226415,1.62350098346524e-05,0.037037037037037,0.999013450223414,0.998960944600675,6.57e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dimethyl Glutaric Acid, TMS",510,515,1459.782609,1456,"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one, (D)-, 2TMS derivative",663,690,NA,"C11H24O4Si2","myrc_ox_L_blob_745",600,626,1451,1,1,NA,1,0,0,-1,-1,1,1,1,1,NA,0,0,"0",0,"NYC",NA,NA,NA,1459.78260869565,0.873466720971019,0.62952376644368,1.03338758448315,FALSE,1,0.00245098039215686,0.00025415600962531,NA,"BB1"
"335","1202_1412_blob_1157",996,598.271081230609,0.00110104656973096,11.80837843531,1,1.45343957196376e-05,1.60535140634869e-05,0.751698113207547,1.60535140634869e-05,0.0185185185185185,0.999027984619134,0.998976998114739,6.5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",423,534,1897.986577,NA,"<df>-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",664,671,NA,"C14H31BO6Si2","limonox_S_blob_725",625,662,1893,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"A",NA,NA,NA,1897.98657718121,-0.271133721153545,0.818496981406203,-0.320774924158888,FALSE,1,0.00245098039215686,0.000251314727640692,NA,"BB1"
"336","1128_1901_blob_883",997,597.769943244173,0.00110012428503722,11.7984872218154,1,1.452222107501e-05,1.60400669389887e-05,0.752452830188679,1.60400669389887e-05,0.0185185185185185,0.999042506840209,0.998993038181678,6.49e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",468,555,2333.870968,NA,"2-Oxooctanoic acid, TMS derivative",648,780,NA,"C11H22O3Si","limonox_S_blob_687",483,584,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,2333.87096774194,0.206465496603254,1.00646989027993,0.24426675417784,FALSE,1,0.00245098039215686,0.000251104215448941,NA,"BB1"
"337","1128_1901_blob_801",1000,581.62324360509,0.00107040821015437,11.4797916575448,1,1.41299532060068e-05,1.56067996829453e-05,0.754716981132076,1.56067996829453e-05,0.0185185185185185,0.999085159483914,0.999037452285146,6.32e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",355,357,1313.489031,NA,"Diethanolamine, 2TMS derivative",869,876,NA,"C10H27NO2Si2","myrc_ox_L_blob_545",403,403,1306,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,1307.07070707071,0.0970130957210599,0.563667541743476,0.114774983686809,TRUE,1,0.00245098039215686,0.000244321498467626,NA,"BB1"
"338","1129_1334_blob_1208",1001,579.255381449875,0.00106605044227057,11.4330559665033,2,1.40724283704378e-05,1.55432624176458e-05,0.755471698113208,1.55432624176458e-05,0.037037037037037,0.999099231912284,0.999052995547563,6.29e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",348,494,1979.865772,NA,"<df>-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",659,665,NA,"C27H52N2O10Si3","limonox_S_blob_685",499,661,1963,1,1,NA,1,0,1,-1,-1,1,1,1,1,NA,0,1,"0",0,"NYC",NA,NA,NA,1980.47342644658,0.136970073493806,0.854069012284148,0.162047585781967,FALSE,1,0.00245098039215686,0.000243326834591504,NA,"BB1"
"339","1128_1901_blob_1363",1002,577.36847950836,0.00106257782429637,11.395813230067,2,1.40265879807507e-05,1.5492630843089e-05,0.75622641509434,1.5492630843089e-05,0.037037037037037,0.999113258500265,0.999068488178407,6.27e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",431,533,1735.757576,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",621,629,NA,"C13H26BNO6Si","myrc_ox_L_blob_670",551,598,1741,0,-1,NA,0,1,1,1,1,1,1,1,0,NA,0,0,"0",-1,"NYC",NA,NA,NA,1736.17147080562,0.963193195988398,0.748715046324741,1.13954185808767,FALSE,1,0.00245098039215686,0.000242534206864051,NA,"ISOP1"
"340","1128_1901_blob_1811",1003,573.819651283732,0.00105604662921462,11.3257682153688,1,1.39403727592968e-05,1.53974045057307e-05,0.756981132075472,1.53974045057307e-05,0.0185185185185185,0.999127198873024,0.999083885582912,6.23e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pyrene",187,279,2180.882353,2171,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",559,599,NA,"C14H24O4","bcp_ox_L_blob_988",480,526,2192,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,2180.88235294118,1.58041856986393,0.94049433444122,1.86977350043563,FALSE,1,0.00245098039215686,0.000241043456555878,NA,"BB1"
"341","1128_1901_blob_1155",1004,569.701999752749,0.00104846858268057,11.244496047838,1,1.38403385462712e-05,1.52869148316766e-05,0.757735849056604,1.52869148316766e-05,0.0185185185185185,0.999141039211571,0.999099172497744,6.19e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",454,540,1660.606061,NA,"Heptanoylglycine tms",678,722,NA,"C12H25NO3Si","myrc_ox_L_blob_630",538,552,1652,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,1660.60606060606,0.893030556682473,0.716127850561262,1.05653331453067,FALSE,1,0.00245098039215686,0.000239313761597365,NA,"BB1"
"342","1128_1901_blob_1305",1005,566.61286951762,0.00104278340692071,11.1835243244893,2,1.3765291226293e-05,1.52040236520267e-05,0.758490566037736,1.52040236520267e-05,0.037037037037037,0.999154804502797,0.999114376521396,6.15e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"farnesol",556,594,1834.899329,1832,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",625,649,NA,"C13H27Cl3O4Si2","limonox_L_blob_611",579,612,1835,-1,-1,NA,0,0,-1,-1,-1,-1,-1,1,-1,NA,0,-1,"0",0,"A",NA,NA,NA,1835.69290767277,0.0572122226729892,0.791633155778367,0.0676870671446157,FALSE,1,0.00245098039215686,0.000238016115851074,NA,"MT2"
"343","1129_1334_blob_1537",1009,550.242293159846,0.0010126553136387,10.8604099923723,1,1.33675844970073e-05,1.47647490722721e-05,0.761509433962264,1.47647490722721e-05,0.0185185185185185,0.99920924455236,0.9991745065824,5.98e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",430,458,1508.695652,NA,"a-Ketoglutaric acid, trimethylsilyl ester",791,848,NA,"C8H14O5Si","myrc_ox_L_blob_661",625,671,1519,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,1508.69565217391,0.873466720971019,0.650617265691607,1.03338758448315,TRUE,1,0.00245098039215686,0.000231139355352785,NA,"BB1"
"344","1128_1901_blob_995",1012,541.171760306945,0.000995962079757535,10.6813803051665,1,1.31472250011064e-05,1.45213578550034e-05,0.76377358490566,1.45213578550034e-05,0.0185185185185185,0.999249027014434,0.999213386909527,5.88e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",365,408,3186.956522,NA,"1-Hexadecanol, 2-methyl-",687,708,NA,"C17H36O","bcp_ox_L_blob_18",389,439,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,3186.95652173913,0.236316151389307,1.37435866210936,0.279582691584485,FALSE,1,0.00245098039215686,0.000227329111861166,NA,"BB1"
"345","1202_1412_blob_1905",1013,540.688906179343,0.000995073444325278,10.6718499694263,1,1.31354945444863e-05,1.45084013445331e-05,0.764528301886792,1.45084013445331e-05,0.0185185185185185,0.999262162508979,0.999227895310871,5.87e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cis-Vaccenic Acid, TMS",454,476,2262.4,2259,"3-Hydroxy-2,5,5,8a-tetramethyl-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid, 2-trimethylsilylethyl ester",569,595,NA,"C20H36O3Si","limonox_S_blob_633",381,508,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,2262.4,0.91349537697424,0.975648401836194,1.08074498819888,FALSE,1,0.00245098039215686,0.000227126280139267,NA,"BB1"
"346","1128_1901_blob_1056",1014,535.724088030652,0.000985936288672175,10.5738568465736,1,1.30148792683799e-05,1.4375179498328e-05,0.765283018867924,1.4375179498328e-05,0.0185185185185185,0.999275177388247,0.99924227049037,5.82e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7 acid",486,537,2611.214953,NA,"9,12,15-Octadecatrienoic acid, 2,3-dihydroxypropyl ester, (Z,Z,Z)-",741,760,NA,"C21H36O4","limonox_S_blob_687",474,553,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,"0",0,"NYC",NA,NA,NA,2611.21495327103,0.176614841817201,1.12607306223906,0.208950816771195,FALSE,1,0.00245098039215686,0.000225040717323399,NA,"BB1"
