Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,cluster_vol.z7,cluster_vol.z8,cluster_vol.z9,cluster_vol.z10,cluster_vol.z11,cluster_vol.z12,cluster_vol.z13,AMS_PMF_1,AMS_PMF_2,AMS_PMF_3,AMS_PMF_4,AMS_PMF_5,AMS_PMF_6,cluster,max_corr,assigned_cluster
1202_0046_blob_1280,0.029469086,0.194580316,-0.0465961,0.095371191,-0.269422231,-0.176282437,0.243339407,-0.154406844,-0.208395347,0.116650734,0.202620864,-0.015760457,-0.118435819,0.037644249,-0.088618967,-0.031519869,-0.064020371,-0.058197009,0.06190474,-0.053102502,NA,cluster_vol.z6,6
1202_0046_blob_1284,-0.073115848,-0.057700497,-0.06581578,-0.106039225,-0.107495338,-0.159026514,0.049155579,-0.084938333,-0.146070855,-0.092884521,-0.06162098,-0.09119156,-0.117463504,-0.099212563,-0.165876323,-0.143297679,-0.013956195,0.104894271,0.093374019,0.056409698,NA,cluster_vol.z6,6
1202_0046_blob_1560,-0.048714939,0.265517645,-0.046601786,0.327288344,0.007840981,0.20303362,0.425018197,-0.058330751,0.357635103,0.182645375,0.272636643,0.109811459,0.108101411,0.04609871,0.275181302,0.006385647,0.248226337,0.234742844,0.408327818,0.080002406,NA,cluster_vol.z6,6
1202_0046_blob_1667,-0.056346784,0.2173663,-0.065258762,0.152721267,-0.182216422,-0.053025603,0.23631637,-0.091666596,-0.012947659,0.117921951,0.224765961,-0.04769519,-0.086854038,0.102303154,-0.111311656,-0.062708664,0.067823412,0.01271323,0.179564845,0.090586743,NA,cluster_vol.z6,6
1202_0046_blob_1756,0.089346623,0.157749394,0.076460782,0.232859555,-0.030789048,-0.078087842,0.255002542,-0.162552385,0.031976304,-0.158588798,0.158847552,0.099283878,0.032517734,0.149831321,0.100892927,0.302919722,-0.018495374,0.029844775,0.145210186,-0.009629505,NA,cluster_vol.z6,6
1202_0046_blob_1764,0.02084995,0.03265023,0.192683346,0.176342488,0.001856375,-0.111585731,0.23818382,-0.100913455,-0.003162306,-0.084256529,0.03451582,0.00971476,-0.021093113,0.109193312,-0.037918315,0.25663519,-0.048455671,-0.066006282,-0.087556983,-0.098861474,NA,cluster_vol.z6,6
1202_0046_blob_1847,0.112542413,0.080418313,0.162418761,0.328038122,-0.139642736,0.060335743,0.364781114,-0.167696636,0.109155926,-0.040269259,0.10331198,0.136499235,0.055892293,0.189439271,0.129180578,0.15843852,0.096708845,-0.045502009,0.114308639,-0.052492536,NA,cluster_vol.z6,6
1202_0046_blob_817,-0.037684627,0.480886766,-0.038174546,0.368078429,-0.308750931,0.06079075,0.563323007,-0.263483009,0.240701957,0.047536257,0.48635228,0.039862276,-0.035701201,0.182837034,0.06994671,0.021235921,0.30082131,0.374190609,0.457921604,0.184832657,NA,cluster_vol.z6,6
1202_0046_blob_891,-0.118458563,0.562867954,-0.151195751,0.435226291,-0.087543276,0.209586663,0.575842839,-0.15633207,0.441517395,0.161720314,0.556463757,0.051037106,0.137239494,0.057410381,0.257011053,0.072000729,0.501071406,0.6778062,0.542895863,0.302684117,NA,cluster_vol.z6,6
1202_0046_blob_938,0.102189374,0.507200178,0.214621068,0.596813416,-0.238934967,-0.016226791,0.617322321,-0.23473569,0.252904346,0.11318486,0.5204753,0.210882505,0.12908228,0.311077721,0.204017335,0.182776651,0.326253443,0.378339431,0.427185663,0.100336869,NA,cluster_vol.z6,6
