PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,time_start,time_end,time_start_num,,,
0.14875914,0.57206506,0.20653193,0.143069,0.11518992,0.026581157,08:02.6,11:02.3,41684.01,,,
0.13845092,0.75825787,0.17835571,0.21571694,0.12796779,0.033257186,16:01.4,19:01.5,41684.01,,,
0.16396914,0.3711468,0.27826878,0.31150085,0.10026715,0.053987194,24:01.5,27:01.5,41684.02,,,
0.16222271,0.54515171,0.25108901,0.22265901,0.10467643,0.052988283,32:01.7,35:01.4,41684.02,,,
0.17097129,0.59952432,0.22423635,0.22514607,0.068180382,0.043414034,40:01.5,43:01.0,41684.03,,,
0.15767878,0.56266779,0.22248764,0.21833913,0.12318422,0.055283878,48:01.1,51:00.9,41684.03,,,
0.16122057,0.60397792,0.20808379,0.18332079,0.07645686,0.045999959,56:01.1,59:00.9,41684.04,,,
0.26278707,1.1002685,0.24513358,0.15764973,0.14813215,0.073423713,00:01.2,03:01.0,41685,,,
0.22665629,1.2199329,0.20043492,0.12918708,0.19556193,0.094441995,08:01.3,11:01.2,41685.01,,,
0.11683379,0.63686877,0.048955467,0.032341756,0.1110165,0.025566386,16:01.4,19:01.4,41685.01,,,
0.13341771,0.33210072,0.11528971,0.10870843,0.066009931,0.042728469,24:01.4,27:01.3,41685.02,,,
0.17094293,0.10653536,0.03623119,0.027629679,2.58E-07,0.009051686,32:01.4,35:01.3,41685.02,,,
0.13874757,0.10404114,3.31E-07,0.048298385,0.035919186,0.019238707,40:01.5,43:00.9,41685.03,,,
0.077300139,0.17533506,0.032124527,0.21799192,0.026518615,0.016121764,48:01.4,51:01.0,41685.03,,,
0.13186079,0.12782744,0.081147216,0.11112151,0.0762325,0.030690271,56:01.5,59:01.0,41685.04,,,
0.50810075,0.64294642,0.047129754,0.16610514,0.16749522,0.055699158,00:01.4,03:01.6,41686,,,
0.38348427,0.63904572,0.12060764,0.24121279,0.1903808,0.17086971,08:01.3,11:01.5,41686.01,,,
0.43593913,0.75311643,0.058125738,0.20899728,0.16142221,0.10876279,16:01.4,19:01.1,41686.01,,,
0.42220274,0.57933354,0.13665593,0.15247035,0.18576549,0.058734406,24:01.5,27:01.3,41686.02,,,
0.34947985,0.47437379,0.18927684,0.10038135,0.17473921,0.066281267,32:01.2,35:01.5,41686.02,,,
0.3436217,0.49623322,0.12042028,0.13255765,0.16196664,0.094032213,40:01.7,43:01.5,41686.03,,,
0.40609598,0.6561296,0.10534722,0.15000387,0.066376738,0.033917286,48:01.7,51:01.5,41686.03,,,
0.39597514,0.53825551,0.12604707,0.22121651,0.050926242,0.051578604,56:01.4,59:01.3,41686.04,,,
0.13000943,0.30716342,0.14331043,3.76E-07,0.006398742,0.010497336,01:10.6,03:00.2,41687,,,
0.15459372,0.29355106,0.10987671,0.0178927,0.017393593,0.029846678,09:10.7,11:00.5,41687.01,,,
0.15380193,0.22132771,0.13694586,1.47E-06,0.021020493,0.003689445,17:10.5,19:00.2,41687.01,,,
0.1372975,0.26051936,0.12276157,0.043684572,1.87E-07,0.016291907,25:10.0,27:00.0,41687.02,,,
0.16229735,0.19603635,0.14729093,2.98E-07,1.00E-07,7.77E-07,33:11.2,35:00.8,41687.02,,,
0.11670735,0.26158127,0.14130178,0.006606296,0.049063366,0.013820607,41:10.2,43:00.1,41687.03,,,
0.15849842,0.17507157,0.12362915,0.01693585,0.00520121,0.018919015,49:10.3,51:00.2,41687.03,,,
0.13862108,0.28113964,0.094077639,0.005151054,0.01027905,0.0082244,57:10.6,59:00.3,41687.04,,,
0.1841657,0.16329664,0.24947628,0.052030548,0.10043286,0.036886621,01:10.9,03:00.7,41688,,,
0.16173208,0.25463966,0.23916484,0.077064641,0.045849893,0.048141394,09:10.4,11:00.2,41688.01,,,
0.17614257,0.17480364,0.26482978,0.038357884,0.081285641,0.028264659,17:10.8,19:00.6,41688.01,,,
0.13944429,0.17678314,0.23755236,0.076701283,0.10452214,0.031360835,25:11.0,27:00.8,41688.02,,,
0.13673642,0.23751551,0.23915629,0.082708925,0.083370574,0.044346064,33:10.4,35:00.3,41688.02,,,
0.19104451,0.12517901,0.28509536,0.049502499,0.089950927,0.058709633,41:10.2,43:00.2,41688.03,,,
0.14400014,0.24761944,0.26451021,0.18029749,0.1893595,0.10932165,49:10.3,51:00.3,41688.03,,,
0.18233621,0.23357442,0.27283907,0.053512532,0.047463641,0.050486367,57:10.1,59:00.1,41688.04,,,
0.30545813,0.56283158,0.036849692,0.13221557,0.23472735,0.10329358,00:01.5,03:01.2,41689,,,
0.32493606,0.54396302,0.003703589,0.17506807,0.24369906,0.076153502,08:01.5,11:01.1,41689.01,,,
0.30901295,0.59097475,0.044185158,0.12343279,0.15778421,0.087050073,16:01.4,19:01.1,41689.01,,,
0.28608155,0.52297765,0.066006817,0.13822079,0.17322871,0.090240717,24:01.4,27:01.1,41689.02,,,
0.30538693,0.57621443,0.032832772,0.11255264,0.11969186,0.069733426,32:01.4,35:01.1,41689.02,,,
0.25684971,0.50182247,0.063041605,0.12772164,0.22509357,0.057676718,48:01.3,51:01.1,41689.03,,,
0.27571273,0.48479965,0.076085642,0.1698755,0.13430971,0.094509862,56:01.3,59:01.1,41689.04,,,
0.13853779,0.34784573,0.33573163,0.73366362,0.34097421,0.18830387,00:01.6,03:01.5,41691,,,
0.146676,0.38145807,0.29658207,0.75969499,0.37353536,0.20780557,08:01.7,11:01.6,41691.01,,,
0.15974028,0.34879372,0.27050057,0.5766592,0.33396485,0.15760565,16:01.6,19:01.1,41691.01,,,
0.13705185,0.37975401,0.32857391,0.50779468,0.33524722,0.14953843,24:01.2,27:00.9,41691.02,,,
0.1712745,0.44256756,0.31019515,0.47933462,0.32772166,0.14318629,32:01.4,35:01.1,41691.02,,,
0.16932936,0.2043505,0.29280871,0.70560765,0.34892288,0.18060522,40:00.9,43:00.8,41691.03,,,
0.1570195,0.40331152,0.27099785,0.48662376,0.27682221,0.17726713,48:01.3,51:01.0,41691.03,,,
0.17170228,0.31798187,0.2630825,0.41219431,0.22296886,0.123678,56:01.1,59:01.4,41691.04,,,
0.047594965,0.39490107,0.37889144,0.006849659,0.28997964,1.0143315,00:01.5,03:01.4,41692,,,
0.02259065,0.27847165,0.632918,0.10875908,0.43112007,0.19973442,08:01.6,11:01.5,41692.01,,,
0.026259422,0.42346698,0.4789159,0.11649492,0.38368705,0.11047257,16:01.4,19:01.3,41692.01,,,
0.058552224,0.26769707,0.58892524,0.026425907,0.28524235,0.17601857,24:01.3,27:01.3,41692.02,,,
0.036195721,0.29851663,0.58330387,0.037991352,0.32434699,0.16167086,32:01.4,35:01.3,41692.02,,,
0.027694393,0.33254936,0.61686814,0.053125456,0.3905822,0.16304956,40:01.4,43:01.4,41692.03,,,
