AMZ_date,date_num,,
10/7/2014 13:50,41919.58,,
10/7/2014 18:15,41919.76,,
10/7/2014 22:10,41919.92,,
10/8/2014 2:05,41920.09,,
10/8/2014 6:00,41920.25,,
10/8/2014 9:55,41920.41,,
10/8/2014 13:50,41920.58,,
10/8/2014 18:15,41920.76,,
10/8/2014 22:10,41920.92,,
10/9/2014 2:05,41921.09,,
10/9/2014 6:00,41921.25,,
10/9/2014 9:55,41921.41,,
10/9/2014 13:50,41921.58,,
10/9/2014 18:15,41921.76,,
10/9/2014 22:10,41921.92,,
10/10/2014 2:05,41922.09,,
10/10/2014 6:00,41922.25,,
10/10/2014 9:55,41922.41,,
10/10/2014 13:50,41922.58,,
10/10/2014 18:15,41922.76,,
10/10/2014 22:10,41922.92,,
10/11/2014 2:05,41923.09,,
10/11/2014 6:00,41923.25,,
10/11/2014 9:55,41923.41,,
