"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm","pct_occur","raw_cumsum","ISrawnorm_cumsum"
"1","1202_1412_blob_1",1,4875994.55163032,3.70947612182428,100862.139452871,54,0.118457395925635,0.0704156105936891,0.000754716981132075,0.140136935144524,1,0.118457395925635,0.0704156105936891
"2","1202_1412_blob_6",2,3452359.09769047,8.69718132859688,53752.0501665675,54,0.0838716007949294,0.165095370231417,0.00150943396226415,0.0746826074574514,1,0.202328996720565,0.235510980825107
"3","1202_1412_blob_5",3,2775445.25779714,2.78944116319508,44420.1073721983,54,0.0674266581497462,0.0529509279129568,0.00226415094339623,0.0617168913895508,1,0.269755654870311,0.288461908738063
"4","1221_0832_blob_15",4,2415829.74740106,5.6711410749704,34869.7049650671,53,0.0586901600989547,0.10765316946173,0.0030188679245283,0.0484476495313844,0.981481481481482,0.328445814969266,0.396115078199794
"5","1221_0832_blob_29",5,873659.154024408,0.401416917399071,16789.9661385839,53,0.0212246726727211,0.00761994858923398,0.00377358490566038,0.0233278255706732,0.981481481481482,0.349670487641987,0.403735026789028
"6","1221_0832_blob_5",6,827242.931033007,0.659300647819542,18539.2906283331,19,0.0200970371009326,0.0125152598793914,0.00452830188679245,0.0257583210360332,0.351851851851852,0.369767524742919,0.416250286668419
"7","1221_0832_blob_4",7,771184.977437065,0.640475005714232,12856.7725802228,32,0.0187351653569055,0.0121578996915567,0.00528301886792453,0.0178630823717998,0.592592592592593,0.388502690099825,0.428408186359976
"8","1202_1412_blob_41",8,630926.518090877,0.593494464106321,8851.13499802288,43,0.015327726797497,0.0112660854798732,0.0060377358490566,0.0122976861080063,0.796296296296296,0.403830416897322,0.439674271839849
"9","1221_0832_blob_25",9,549154.809118611,0.314528595604989,13051.7899484975,25,0.0133411651632137,0.00597057977497071,0.00679245283018868,0.0181340377217279,0.462962962962963,0.417171582060535,0.44564485161482
"10","1128_1901_fb_add_blob_43",10,501443.239074807,0.317176656961585,8265.57784636011,49,0.0121820604343081,0.00602084694240635,0.00754716981132075,0.0114841183507576,0.907407407407407,0.429353642494844,0.451665698557226
"11","1221_0832_blob_45",11,447029.205663321,0.251891706166578,7009.32831719572,44,0.010860126081945,0.00478156691422043,0.00830188679245283,0.00973869673122005,0.814814814814815,0.440213768576789,0.456447265471447
"12","1221_0832_blob_22",12,426952.75456235,1.31185747631727,8825.03891486713,38,0.0103723888435894,0.0249025043356654,0.00905660377358491,0.0122614284484666,0.703703703703704,0.450586157420378,0.481349769807112
"13","1221_0832_blob_37",13,414009.381262292,0.326111034535779,5992.73728892483,19,0.0100579425743445,0.00619044492106973,0.00981132075471698,0.00832625444345884,0.351851851851852,0.460644099994722,0.487540214728182
"14","1221_0832_blob_48",14,381432.980547068,0.476714894176886,7408.95039939187,52,0.00926653160033818,0.0090493021791074,0.0105660377358491,0.0102939280015344,0.962962962962963,0.469910631595061,0.496589516907289
