,Compound.Name,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,bbvol,anthrovol,cluster,Assigned_cluster,bb_vs_a
429,1129_1334_blob_623,0.670727089,0.669699534,0.033475924,-0.089343789,0.116213451,-0.073523822,0.231127223,0.808076807,NA,2a,-0.576949583
906,1221_0832_blob_571,0.669987165,0.742116589,0.099131934,-0.117554581,0.092034756,-0.041542774,0.322391553,0.866670303,1,2a,-0.54427875
1021,1221_0832_blob_864,0.668008588,0.692329517,0.133856919,-0.13841878,0.101644276,-0.075063386,0.165280196,0.798569216,NA,,-0.63328902
488,1202_0046_blob_1128,0.667508306,0.918998422,0.569388537,-0.140629186,0.070067981,0.043313118,0.501550998,0.896098217,NA,2a,-0.394547219
706,1202_1412_blob_751,0.665814224,0.83633879,0.386795941,-0.182195499,0.034821018,0.139899818,0.513003745,0.768391321,NA,,-0.255387576
444,1129_1334_blob_725,0.664388004,0.660463781,0.041592761,-0.125639759,0.086870556,-0.051339187,0.221074008,0.763538375,NA,,-0.542464368
827,1221_0832_blob_1032,0.66423878,0.925146314,0.466858653,-0.091185986,0.129133617,0.075698984,0.448733674,0.895497463,NA,2a,-0.446763789
309,1129_1334_blob_1067,0.663554034,0.889420921,0.493374948,-0.142173347,0.074022632,-0.017135952,0.409449609,0.921970429,NA,2a,-0.51252082
48,1128_1901_blob_1153,0.662868796,0.805243434,0.243136471,-0.025559199,0.209976306,-0.064705485,0.325791721,0.921447838,NA,2a,-0.595656116
801,1213_2145_blob_805,0.662497272,0.837504449,0.261233123,-0.10276005,0.164898244,0.015688512,0.382192104,0.89485774,NA,2a,-0.512665636
822,1221_0832_blob_1019,0.662300629,0.686284142,0.051928983,0.01152719,0.208690197,-0.051385611,0.315960694,0.80789371,NA,2a,-0.491933016
887,1221_0832_blob_224,0.65986094,0.888609128,0.501344953,-0.040224162,0.059528235,0.180480936,0.450007809,0.756847531,2,2a,-0.306839722
636,1202_1412_blob_1498,0.659245801,0.72978138,0.187860435,-0.158970417,0.190113781,-0.063437559,0.181250985,0.829823573,NA,2a,-0.648572588
914,1221_0832_blob_618,0.658144205,0.865224308,0.264732271,-0.034739332,0.190147624,0.053086255,0.376160289,0.894886157,2,2a,-0.518725868
988,1221_0832_blob_796,0.657028607,0.864314628,0.380392696,-0.006827186,0.119889466,0.121663975,0.411807301,0.782879792,2,2a,-0.37107249
138,1128_1901_blob_1549,0.65694304,0.766635364,0.315807244,-0.224877579,-0.012379597,0.037021122,0.26317915,0.802449818,NA,2a,-0.539270669
595,1202_1412_blob_1210,0.652123667,0.862694514,0.527478773,-0.250834501,0.031689329,-0.010982074,0.357756249,0.879837428,NA,2a,-0.522081179
940,1221_0832_blob_686,0.651187003,0.758323956,0.310848561,-0.03147218,0.092352228,0.160034702,0.412173046,0.660290336,NA,,-0.24811729
559,1202_0046_blob_967,0.650944834,0.885373946,0.434916107,-0.196471806,0.073344305,0.00973821,0.518501468,0.904776903,NA,2a,-0.386275435
1111,anthrovol,0.650358384,0.865980385,0.363983764,-0.149302011,0.119667177,-0.063735232,0.379247349,1,NA,2a,-0.620752651
817,1221_0832_blob_100,0.650358384,0.865980385,0.363983764,-0.149302011,0.119667177,-0.063735232,0.379247349,1,2,2a,-0.620752651
915,1221_0832_blob_630,0.650045351,0.811346662,0.290782111,-0.073055094,0.206662509,-0.067073441,0.320593805,0.917986243,2,2a,-0.597392438
42,1128_1901_blob_1135,0.647134107,0.606960867,0.057445962,-0.158435147,0.099402614,-0.102335261,0.109139423,0.716310505,NA,,-0.607171082
349,1129_1334_blob_1227,0.647024858,0.610096083,0.045693631,-0.076746678,0.221146879,-0.079370624,0.179273455,0.734852115,NA,,-0.55557866
262,1128_1901_blob_990,0.645932043,0.777362668,0.35909477,-0.181839344,-0.091713049,0.092211948,0.310991245,0.713508449,NA,,-0.402517203
895,1221_0832_blob_42,0.645317509,0.928260232,0.508764055,-0.111354226,0.134946048,0.019379034,0.447634804,0.931676456,2,2a,-0.484041653
846,1221_0832_blob_1113,0.642853006,0.924104482,0.536104207,-0.273881533,0.021813243,-0.007017131,0.514947025,0.936198322,NA,2a,-0.421251296
