"","Compound.Name","IS_index1","IS_index2","IS_index3","IS_appropriate1","IS_appropriate2","IS_appropriate3","AMS1_PMF_1r2","AMS1_PMF_2r2","AMS1_PMF_3r2","AMS1_PMF_4r2","AMS1_PMF_5r2","AMS1_PMF_6r2","AMS2_PMF_1r2","AMS2_PMF_2r2","AMS2_PMF_3r2","AMS2_PMF_4r2","AMS2_PMF_5r2","AMS2_PMF_6r2","cumsum_ISnormnorm","cumsum_ISrawnorm1","cumsum_ISrawnorm2","BlobID","Library.Name","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","Library.Reverse.Match.Factor_chamber","Library.RI_chamber"
"1246","1221_0832_blob_899",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",NA,NA,NA,NA,NA,NA,0.480007415244935,0.324918796347893,0.00176041125606735,-0.069942801932083,0.15057475153368,0.0914834906918613,0.000293388910068102,1.51545993085411e-05,0.000332482788097377,899,"amz_lib_1221_0832","C10 diacid (sebacic acid)",642,645,1922.147651,1922,"2-Bromosebacic acid, 2TMS derivative",679,726,NA,"C16H33BrO4Si2",424,"limonox_S_blob_847",566,593,1925
"1247","1221_0832_blob_900",25,11,4,"methoxyphenol-d3","dC14","d-C10 acid, TMS",0.598083225043605,0.0543368761681104,0.762503502110279,0.201648263118494,0.642780486024179,-0.0556592893961985,0.262330669421198,0.498207742713707,-0.188779420024022,-0.389859415383888,-0.0867119750409432,-0.320935703710279,0.000275832356339375,0.000654405210056561,0.000222640207146805,900,"amz_lib_1221_0832","C7 acid",459,502,1795.121951,NA,"4-Hexenoic acid, 4-methyl-6-(fluorodimethylsilyl)-6-trimethylsilyl-",651,667,NA,"C12H25FO2Si2",276,"limonox_L_blob_550",754,777,1791
"1248","1221_0832_blob_902",11,26,12,"dC14","pentaerythritol-C13","dC16",0.294766386570029,0.0141567572058009,-0.239026472352686,-0.0553864188653714,-0.266949470397724,-0.229106763603275,0.648791349163732,0.656611572295035,0.0599057795112704,-0.0387519104041647,-0.179724904021481,-0.312889802471122,0.000268206643227878,0.000106605004243414,0.000290912810366442,902,"amz_lib_1221_0832","beta-caryophyllonic acid, TMS",583,593,1934.228188,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",623,631,NA,"C13H26BNO6Si",331,"limonox_S_blob_847",539,565,1925
"1249","1221_0832_blob_905",11,26,12,"dC14","pentaerythritol-C13","dC16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37292529198915e-06,1.11441463014503e-05,NA,905,"amz_lib_1221_0832","C7 acid",453,462,1966.442953,NA,"Silane, [2-(cyclopentyloxy)ethoxy]trimethyl-",672,761,NA,"C10H22O2Si",202,"limonox_S_blob_687",495,514,NA
"1250","1221_0832_blob_909",25,4,11,"methoxyphenol-d3","d-C10 acid, TMS","dC14",NA,NA,NA,NA,NA,NA,0.411982029885053,0.313395216341238,0.00934587661385493,-0.0978736539488101,-0.0315721436217058,-0.163224222115438,0.000445058513952596,1.67736805162191e-05,0.000505235546017556,909,"amz_lib_1221_0832","C7 acid",458,531,1958.389262,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",644,653,NA,"C13H26BNO6Si",331,"limonox_S_blob_685",591,613,1963
"1251","1221_0832_blob_910",25,4,11,"methoxyphenol-d3","d-C10 acid, TMS","dC14",0.635489697501151,0.387181763353461,0.500195102083458,0.750728701694396,0.622948762930092,0.306718499568361,NA,NA,NA,NA,NA,NA,3.68564153011992e-05,0.000285796049309393,1.87864544240248e-06,910,"amz_lib_1221_0832","C7 acid",355,490,1861.744966,NA,"Phthalic acid, ethyl pentadecyl ester",610,729,NA,"C25H40O4",404,"bcp_ox_L_blob_650",524,588,1878
"1252","1221_0832_blob_912",11,26,12,"dC14","pentaerythritol-C13","dC16",0.716500549521864,0.386858267382574,0.467855605855079,0.405108812985093,0.767871969072173,0.0862473063421769,0.237236516539677,-0.220032831148027,-0.0245317959587067,0.609612757579898,0.826945356923646,0.614881211012689,0.00297025866350131,0.00160013061003914,0.00316277129381033,912,"amz_lib_1221_0832","C7 acid",529,598,1781.707317,NA,"2-Deoxypentofuranose, 3TMS derivative",688,735,NA,"C14H34O4Si3",350,"myrc_ox_L_blob_727",684,707,1774
"1253","1221_0832_blob_914",12,26,13,"dC16","pentaerythritol-C13","dC18",0.162379431629874,0.407043779428772,0.455612214716964,-0.248941893860365,0.278766384208033,-0.365633835139987,NA,NA,NA,NA,NA,NA,3.47238420574282e-05,0.00028185625124276,NA,914,"amz_lib_1221_0832","C33",719,737,3360.91954,3363,"tert-Hexadecanethiol",741,748,NA,"C16H34S",258,"apin_ox_S_blob_751",344,383,NA
"1254","1221_0832_blob_919",11,25,26,"dC14","methoxyphenol-d3","pentaerythritol-C13",0.825712823972044,0.433305205587465,0.119736004355866,0.17381773064146,0.430225554978232,-0.0365528900490028,0.00679216057048554,0.120759854318295,0.349833898557589,0.0229825843825471,0.34188215367503,0.417100736973541,0.00019713916024265,0.00103153776694178,7.99002860396684e-05,919,"amz_lib_1221_0832","C7 acid",456,512,1863.087248,NA,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",672,685,NA,"C14H24O4",256,"limonox_S_blob_804",633,665,1868
"1255","1221_0832_blob_920",11,26,12,"dC14","pentaerythritol-C13","dC16",0.756315814784775,0.234038346884,0.536243892100916,0.482741802677516,0.704916926369576,0.463026073545841,0.91620370852597,0.587360100038873,-0.278652606032756,-0.0965697300388511,0.249216611784467,-0.297329223728012,9.91865965972999e-05,0.000376928140669209,6.01619557542338e-05,920,"amz_lib_1221_0832","C7 acid",549,625,1717.073171,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",665,704,NA,"C15H30O4Si",302,"myrc_ox_L_blob_709",642,675,1709
"1256","1221_0832_blob_924",12,26,13,"dC16","pentaerythritol-C13","dC18",0.90727480526281,0.899524431031288,0.354654854162501,0.069023422651789,0.49548982916366,0.334070056443164,NA,NA,NA,NA,NA,NA,1.11911582354073e-05,9.08395419515985e-05,NA,924,"amz_lib_1221_0832","C33",555,716,3344.827586,3363,"tert-Hexadecanethiol",768,778,NA,"C16H34S",258,"bcp_ox_L_blob_18",340,354,NA
"1257","1221_0832_blob_928",11,25,26,"dC14","methoxyphenol-d3","pentaerythritol-C13",0.105001410274359,0.119614680459083,-0.541370463714026,-0.719673651721926,-0.600586499796769,-0.582233361465764,0.7387674992325,0.236104290783239,-0.219821303569107,0.054461337464703,-0.0524077735939039,-0.14372036755054,0.000500128518895184,5.30194423107384e-05,0.000562950489550268,928,"amz_lib_1221_0832","beta-caryophyllonic acid, TMS",599,618,1926.174497,1931,"1-Heptatriacotanol",645,655,NA,"C37H76O",536,"limonox_S_blob_847",539,563,1925
"1258","1221_0832_blob_933",1,7,25,"4-methoxy-benzaldehyde","d-C6diacid","methoxyphenol-d3",0.610496709884613,0.0499059419207153,0.658853985666889,-0.0482031852515854,0.433756792777374,-0.261219303110747,0.438633254613409,0.454944781829125,-0.309081817207255,-0.185136528774367,-0.01109865666814,-0.374986171108633,0.000191702700979026,0.000550495339795518,0.000141289811133046,933,"amz_lib_1221_0832","C7 acid",456,509,1676.829268,NA,"3-Octen-2-ol, (E)-, TMS derivative",646,715,NA,"C11H24OSi",200,"myrc_ox_L_blob_812",614,640,1676
"1259","1221_0832_blob_934",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",0.404469659662623,-0.254992070929885,0.633401156975799,0.0758417126769337,0.68705185755294,0.0206925089834835,0.0682979408136301,0.275669526657836,0.139997695802809,0.310360270384102,0.243531276437286,0.117576823862263,0.000551780492955286,0.000297258602650281,0.00058754260909474,934,"amz_lib_1221_0832","C7 acid",431,462,1601.219512,NA,"3-Methylene-1,4-bis(trimethylsilyloxy) butane",614,742,NA,"C11H26O2Si2",246,"limonox_S_blob_730",650,669,1595
"1260","1221_0832_blob_936",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",0.588249696510975,0.422663006910571,-0.0442938072547546,0.308865084308192,0.551844903846439,0.120224160233449,0.554037845267347,0.483287553590485,0.157459658650045,-0.0863129573905675,-0.0944643000229825,-0.253134290343163,0.000280394937162665,0.000467253821936314,0.000254139949306979,936,"amz_lib_1221_0832","farnesol",617,660,1838.926174,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",631,640,NA,"C13H26BNO6Si",331,"limonox_S_blob_754",629,666,1831
"1261","1221_0832_blob_937",11,26,12,"dC14","pentaerythritol-C13","dC16",0.728336307032493,0.187164301296452,-0.10830446119252,0.779789037370173,0.755148769309067,0.816376013331154,0.498946104871518,0.207916197736971,0.16112699764614,0.240837846586401,0.319022960222381,0.096039621732708,0.000123414377972347,8.01323112786884e-05,0.000129495812830463,937,"amz_lib_1221_0832","C7 acid",436,443,1971.812081,NA,"3-Octen-2-ol, (E)-, TMS derivative",689,733,NA,"C11H24OSi",200,"limonox_S_blob_687",454,478,NA
"1262","1221_0832_blob_941",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",0.189893335245029,-0.134003462088453,0.325698347032399,-0.24192459945773,0.102892807061886,-0.133275618038062,0.565142884456071,0.485782180652704,-0.187766974994981,-0.305816440174722,0.209897749761781,-0.257349009707815,0.000363522041642713,0.000236346203157275,0.000381391141626996,941,"amz_lib_1221_0832","C7 acid",515,565,1891.275168,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",676,718,NA,"C15H30O4Si",302,"limonox_S_blob_725",652,670,1893
"1263","1221_0832_blob_942",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",0.863777019337175,0.759642183741387,-0.475092891839591,-0.012566477206503,-0.0701965571938007,-0.142721643162354,0.960200340905757,0.999149297546445,-0.71377188577442,0.595800763436984,0.989706791348725,-0.706785611531275,3.90688220646767e-05,7.26461933928097e-05,3.43509651775724e-05,942,"amz_lib_1221_0832","C7 acid",523,549,1587.912088,NA,"Tripropylene glycol monomethyl ether, TMS derivative",717,796,NA,"C13H30O4Si",278,"limonox_S_blob_701",466,480,NA
"1264","1221_0832_blob_946",11,26,12,"dC14","pentaerythritol-C13","dC16",0.364742347133821,0.339392112003978,-0.362391796775375,0.183077904062257,0.225769854485627,-0.252582563297555,0.394016970084127,0.234436784353191,0.0832506500378192,-0.147258916987781,-0.100482407666479,-0.292841361907946,0.000535536074965375,0.000581937077206546,0.000529016407721244,946,"amz_lib_1221_0832","C7 acid",490,505,1540.659341,NA,"Propanoic acid, 3-(trimethylsilyl)-, ethyl ester",686,743,NA,"C8H18O2Si",174,"myrc_ox_L_blob_609",636,650,1543
"1265","1221_0832_blob_948",11,26,12,"dC14","pentaerythritol-C13","dC16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24730150430766e-06,1.82415291593826e-05,NA,948,"amz_lib_1221_0832","C7 acid",543,584,1791.463415,NA,"Ethyl 3-hydroxy-2,2-dimethylbutanoate, TMS derivative",720,773,NA,"C11H24O3Si",232,"apin_ox_S_blob_590",576,595,1795
"1266","1221_0832_blob_952",1,7,25,"4-methoxy-benzaldehyde","d-C6diacid","methoxyphenol-d3",0.641885622021056,0.0241024055518868,0.769781562785629,0.226887378868462,0.811312702329473,-0.00515644099753185,0.418172798666054,0.442841213830348,-0.0450067225286173,-0.205061552227541,-0.0168499399353387,-0.162356494036672,0.000555429730868476,0.000884440643589382,0.000509201383052211,952,"amz_lib_1221_0832","C7 acid",436,552,1947.651007,NA,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",667,759,NA,"C10H22O3Si2",246,"limonox_S_blob_706",537,560,1947
"1267","1221_0832_blob_953",25,7,1,"methoxyphenol-d3","d-C6diacid","4-methoxy-benzaldehyde",0.536223661734755,0.384926179579682,0.504603519320769,0.213905238482345,0.604237566676784,0.064416413829658,0.532173072026896,0.222020031519438,0.201986429495232,-0.138458976338558,-0.142893519797762,-0.208838780304625,0.000830515713647589,0.00252879700842007,0.000591895244389181,953,"amz_lib_1221_0832","beta-nocaryophyllonic acid, TMS",761,763,1986.577181,1985,"1b,4a-Epoxy-2H-cyclopenta[3,4]cyclopropa[8,9]cycloundec[1,2-b]oxiren-5(6H)-one, 7-(acetyloxy)decahydro-2,9,10-trihydroxy-3,6,8,8,10a-pentamethyl-",615,615,NA,"C22H32O8",424,"limonox_S_blob_788",498,537,1989
"1268","1221_0832_blob_954",11,26,12,"dC14","pentaerythritol-C13","dC16",NA,NA,NA,NA,NA,NA,0.207597356810521,0.098305108617295,-0.227653129627235,0.00490321127932271,0.440098162505289,0.0980937723609366,5.56629389972577e-05,1.50954964224816e-05,6.13629500693948e-05,954,"amz_lib_1221_0832","C7 acid",392,505,1897.986577,NA,"2-Isopropyl-3-ketobutyrate, bis(O-trimethylsilyl)-",615,673,NA,"C13H28O3Si2",288,"limonox_S_blob_725",650,667,1893
"1269","1221_0832_blob_961",25,7,4,"methoxyphenol-d3","d-C6diacid","d-C10 acid, TMS",0.554021693567942,0.4590423192386,0.405940226120775,-0.015331552918737,0.292923344236912,-0.16681263120261,0.429720832069926,0.494460268015528,-0.166823801265475,-0.144314376443488,-0.0383132518482086,-0.383237661302097,0.000252233994318941,0.000648552570150138,0.000196548446328887,961,"amz_lib_1221_0832","C7 acid",467,553,1804.026846,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",629,683,NA,"C15H30O4Si",302,"limonox_L_blob_644",609,638,1808
"1270","1221_0832_blob_965",11,26,12,"dC14","pentaerythritol-C13","dC16",0.608696584601014,0.407791542205444,0.531514566416175,0.132572364946509,0.642002625575439,-0.122108292888259,0.0778493923887714,0.173765300859551,-0.0483770154049987,0.231803119062189,0.255385837829743,0.194693868930887,0.000240832671259829,0.000301659335061131,0.000232286097082532,965,"amz_lib_1221_0832","2-Ketoglutaric acid, tri-TMS",529,608,1640.243902,1629,"1,7-Heptanediol, 2TMS derivative",685,775,NA,"C13H32O2Si2",276,"apin_ox_S_blob_656",663,698,1630
"1271","1221_0832_blob_966",25,11,4,"methoxyphenol-d3","dC14","d-C10 acid, TMS",0.997887005929819,-0.0293387013359187,0.622927679019642,-0.517662185820522,-0.0259813807056504,-0.465845072830672,0.364793548028553,0.428512209039522,-0.170434836417654,-0.15038244565111,-0.0908829953612321,-0.391586855415972,0.000126769079992603,9.69817184534136e-05,0.000130954413841789,966,"amz_lib_1221_0832","pinic acid 1",550,577,1689.02439,1692,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",652,671,NA,"C15H30O4Si",302,"limonox_S_blob_720",639,688,1675
"1272","1221_0832_blob_967",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",0.626308157857473,0.460177674914439,0.567352523010751,0.483734910226278,0.775346368906534,0.141566454716658,0.363034186150413,-0.0263695070597937,0.140623978615242,0.527491772501758,0.6935733195198,0.538523839759382,0.0013650602361185,0.00133128709741054,0.00136980559969969,967,"amz_lib_1221_0832","4-hydroxybenzoic acid",746,780,1652.439024,1651,"4-Hydroxybenzoic acid, 2TMS derivative",715,801,1635,"C13H22O3Si2",282,"myrc_ox_L_blob_633",456,616,1644
"1273","1221_0832_blob_968",11,26,12,"dC14","pentaerythritol-C13","dC16",0.205305402680367,0.562192908563273,0.136345075908653,-0.200699829192163,-0.138525290156817,-0.357698510282748,0.675524328091927,-0.314728436545659,-0.39094638549943,-0.159760190222503,-0.133359070008751,-0.225246783261688,0.000176186641289733,0.000369254628309553,0.000149059230887667,968,"amz_lib_1221_0832","levoglucosan",523,656,1742.682927,1726,"Arabinitol, 5TMS derivative",777,822,NA,"C20H52O5Si5",512,"apin_ox_L_blob_553",549,625,1726
"1274","1221_0832_blob_971",12,26,13,"dC16","pentaerythritol-C13","dC18",0.883190345157527,0.49421257505135,0.788038231321352,0.647951228658354,0.413176165077518,0.576481764161475,NA,NA,NA,NA,NA,NA,5.86076730373909e-06,4.75723250585589e-05,NA,971,"amz_lib_1221_0832","squalene",0,683,3229.885057,2868,"5-(7a-Isopropenyl-4,5-dimethyl-octahydroinden-4-yl)-3-methyl-pent-2-enal",728,753,NA,"C20H32O",288,"apin_ox_S_blob_592",270,344,NA
"1275","1221_0832_blob_974",11,26,12,"dC14","pentaerythritol-C13","dC16",0.786414957131858,0.257131737153675,-0.234350435096999,-0.0480614999806223,-0.293596869588294,-0.325387062034935,NA,NA,NA,NA,NA,NA,1.43718660900773e-05,6.8543175254839e-05,6.76041605937469e-06,974,"amz_lib_1221_0832","C7 acid",470,544,1725.609756,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",610,674,NA,"C13H26O3Si",258,"limonox_S_blob_775",577,613,1722
"1276","1221_0832_blob_976",25,4,11,"methoxyphenol-d3","d-C10 acid, TMS","dC14",NA,NA,NA,NA,NA,NA,-0.0225533658971525,0.0349024544522486,0.0775443462132064,0.733652583143164,0.75374882179156,0.717954370592966,0.000416863393972076,1.32759258464776e-05,0.000473570272465868,976,"amz_lib_1221_0832","C7 acid",544,592,1916.778523,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",672,727,NA,"C15H30O5Si",318,"limonox_S_blob_847",571,596,1925
"1277","1221_0832_blob_977",25,4,7,"methoxyphenol-d3","d-C10 acid, TMS","d-C6diacid",NA,NA,NA,NA,NA,NA,0.611754580461825,0.257058574653458,-0.334249410226873,-0.284459271855815,0.224831631010404,-0.353820467637322,0.000134888128834715,1.37452584906358e-05,0.000151909554353441,977,"amz_lib_1221_0832","C7 acid",475,524,1771.95122,NA,"Dodecanoic acid, 2,3-bis(acetyloxy)propyl ester",613,648,NA,"C19H34O6",358,"limonox_S_blob_790",628,656,1768
"1278","1221_0832_blob_978",25,4,11,"methoxyphenol-d3","d-C10 acid, TMS","dC14",0.543324802984166,0.995763288508715,-0.526726054968177,0.87989403971685,0.960474503585154,0.805759892208559,0.691724028444148,0.23273275156975,0.0621399088458924,-0.187653400556064,0.896603573230523,-0.95235395611529,3.66379672047383e-05,9.34271085105618e-05,2.86586933418692e-05,978,"amz_lib_1221_0832","C7 acid",474,538,1759.756098,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",636,681,NA,"C15H30O4Si",302,"limonox_S_blob_790",638,670,1768
"1279","1221_0832_blob_979",1,7,25,"4-methoxy-benzaldehyde","d-C6diacid","methoxyphenol-d3",0.769643857574693,0.181661684098106,0.461080798951176,-0.115071969765172,0.193762352197442,-0.194295015760456,0.40613447533204,0.509814794362399,0.0347957316268744,-0.211111473834447,-0.166290490461937,-0.265634621912248,0.000805100064347854,0.000995225967898673,0.000778386037370625,979,"amz_lib_1221_0832","C7 acid",475,547,1798.780488,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,677,NA,"C12H27BO5Si2",318,"myrc_ox_L_blob_562",660,689,1792
"1280","1221_0832_blob_981",25,4,7,"methoxyphenol-d3","d-C10 acid, TMS","d-C6diacid",NA,NA,NA,NA,NA,NA,0.396722910908338,0.459677133002841,-0.204742172695997,-0.162101258166527,-0.112049440294783,-0.400142457434865,0.000344986288169613,5.73138035157007e-05,0.000385406296028231,981,"amz_lib_1221_0832","C9 Diacid (azelaic acid)",470,563,1810.738255,1822,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",655,668,NA,"C13H26BNO6Si",331,"myrc_ox_L_blob_801",628,696,1819
