"","Compound.Name","cluster_vol.z1","cluster_vol.z2","cluster_vol.z3","cluster_vol.z4","cluster_vol.z5","cluster_vol.z6","bbvol","anthrovol","cluster"
"1","1128_1901_blob_1004",-0.0836812530908666,-0.137410686072536,-0.173109173934156,-0.205914516284707,-0.147609441536222,-0.254268010800538,-0.182752457543592,-0.155091311918737,1
"2","1128_1901_blob_1006",0.558886684895485,0.625172067306487,0.267152323875026,0.196471040042138,0.175005471069378,-0.0404952750233479,0.308562583485812,0.699214096436762,NA
"3","1128_1901_blob_1019",0.277084231343874,0.320717677659229,0.243979925241867,0.135420595820378,0.390460465480868,0.110890235173411,0.117286798903857,0.32581489024709,NA
"4","1128_1901_blob_1027",-0.104561984942155,-0.170891337857729,-0.175687538623052,0.252618474292778,0.496029124852764,0.0277470311338378,-0.191614201867361,-0.103701680217777,NA
"5","1128_1901_blob_1028",-0.0542015031169792,0.130313919156277,0.456886110235793,-0.353087555810148,-0.380369741730229,0.11194912661566,0.496515255102826,-0.130314646625829,NA
"6","1128_1901_blob_1030",0.0863251470098891,0.201632374006395,0.478705046223853,-0.169223326607347,-0.20763728652805,-0.0827070137236212,0.043195724324068,0.172804208131624,NA
"7","1128_1901_blob_1034",0.484439733608057,0.679309806045736,0.650228537083497,-0.260405345277218,0.0198017325478374,-0.061386454650274,0.296284222067815,0.645254658691352,NA
"8","1128_1901_blob_1043",0.510277944580668,0.622867299151947,0.762717300327078,-0.471544271790401,-0.22335618681681,-0.0207798724437669,0.485289181733738,0.431906358183211,NA
"9","1128_1901_blob_1045",0.0629384825398825,-0.138719369888856,-0.0435629638770957,0.222127589783575,0.363792232993929,-0.000858717748300455,-0.221378502524685,-0.0699355073728096,NA
"10","1128_1901_blob_1050",0.221985118014593,-0.0553191021716882,-0.101777942495533,-0.28167598566139,-0.216081636073077,-0.146280866118112,-0.133764552365445,0.031228473018595,NA
"11","1128_1901_blob_1052",0.320611277945672,-0.153414321498032,-0.0080017539029855,0.0735545309803311,0.0964902914154222,0.201929961169897,-0.21289153099591,-0.13978650028445,NA
