BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
1174,20200803_1535_blob_1174_,caice_ssa_final_0803_1535,999,999,,,,1447.457627,,"1H-Isoindole-1,3(2H)-dione, 2-methyl-",871,876,1425,C9H7NO2,161,,,,
1046,20200803_1535_blob_1046_,caice_ssa_final_0803_1535,999,999,,,,1489.265537,,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",870,873,1471,C14H20O2,220,,,,
805,20200803_1535_blob_805_,caice_ssa_final_0803_1535,999,999,,,,1590.960452,,"1-Dodecanol, TMS derivative",869,891,1558,C15H34OSi,258,,,,
19,20200803_1535_blob_19_,caice_ssa_final_0803_1535,999,999,,,,1311.499384,,"Cyclohexasiloxane, dodecamethyl-",868,871,1335,C12H36O6Si6,444,,,,
1273,20200803_0949_blob_1273_,caice_ssa_final_0805_0949,999,999,,,,1256.725455,,"Benzoic Acid, TMS derivative",868,918,1249,C10H14O2Si,194,,,,
458,20200803_1535_blob_458_,caice_ssa_final_0803_1535,999,999,,,,1569.491525,,"Heptasiloxane, hexadecamethyl-",867,889,1553,C16H48O6Si7,532,,,,
615,20200803_1535_blob_615_,caice_ssa_final_0803_1535,999,999,,,,1524.293785,,"Benzene-1,4-dicarboxylic acid, monohydrazide, methyl ester",867,874,,C9H10N2O3,194,,,,
783,20200803_1535_blob_783_,caice_ssa_final_0803_1535,999,999,,,,1947.222222,,"1H-Cyclopropa[l]phenanthrene,1a,9b-dihydro-",867,882,,C15H12,192,,,,
43,20200803_1535_blob_43_,caice_ssa_final_0803_1535,999,999,,,,1554.80226,,"Benzothiazole, 2-butyl-",866,866,,C11H13NS,191,T,,,
549,20200803_1535_blob_549_,caice_ssa_final_0803_1535,999,999,,,,1893.055556,,"Oxalic acid, 2-phenylethyl propyl ester",866,888,,C13H16O4,236,,,,
645,20200803_1535_blob_645_,caice_ssa_final_0803_1535,999,999,,,,1877.777778,,"Myristic acid, TMS derivative",866,880,1850,C17H36O2Si,300,,,,
659,20200803_1535_blob_659_,caice_ssa_final_0803_1535,999,999,,,,2646.601942,,"Heptadecane, 2,3-dimethyl-",866,894,,C19H40,268,,,,
1104,20200803_1535_blob_1104_,caice_ssa_final_0803_1535,999,999,,,,1938.888889,,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",866,914,1923,C17H24O3,276,,,,
755,20200803_1535_blob_755_,caice_ssa_final_0803_1535,999,999,,,,1938.888889,,Dibutyl phthalate,865,932,1965,C16H22O4,278,,,,
29,20200803_1535_blob_29_oil,caice_ssa_final_0803_1535,999,999,,,,2443.243243,,"Heptadecane, 2,3-dimethyl-",862,884,,C19H40,268,,,,
443,20200803_1535_blob_443_oil,caice_ssa_final_0803_1535,999,999,,,,2545.945946,,"Heptadecane, 2,3-dimethyl-",860,876,,C19H40,268,,,,
1058,20200803_1535_blob_1058_,caice_ssa_final_0803_1535,999,999,,,,1531.073446,,Butylated Hydroxytoluene,859,871,1513,C15H24O,220,,,,
739,20200803_1535_blob_739_,caice_ssa_final_0803_1535,999,999,,,,2749.514563,,"Eicosane, 7-hexyl-",858,863,,C26H54,366,,,,
700,20200803_1535_blob_700_,caice_ssa_final_0803_1535,999,999,,,,2293.333333,,"Pyrene, 4-methyl-",855,910,2259,C17H12,216,,,,
558,20200803_1535_blob_558_,caice_ssa_final_0803_1535,999,999,,,,1891.666667,,"1-Pentadecanol, TMS derivative",853,874,1856,C18H40OSi,300,,,,
688,20200803_1535_blob_688_,caice_ssa_final_0803_1535,999,999,,,,2192.366412,,"Phenanthrene, 2,3,5-trimethyl-",853,886,,C17H16,220,,,,
748,20200803_1535_blob_748_,caice_ssa_final_0803_1535,999,999,,,,2088.549618,,"Anthracene, 1,4-dimethyl-",853,892,,C16H14,206,,,,
1341,20200803_1535_blob_1341_,caice_ssa_final_0803_1535,999,999,,,,1388.506413,,"Ethanone, 1-[4-(1-methylethenyl)phenyl]-",851,856,,C11H12O,160,,,,
5,20200803_1535_blob_5_fb,caice_ssa_final_0803_1535,999,999,,,,2054.961832,,"Homosalate, TMS derivative",850,912,1998,C19H30O3Si,334,,,,
622,20200803_1535_blob_622_,caice_ssa_final_0803_1535,999,999,,,,2576.576577,,Diisooctyl phthalate,850,874,2543,C24H38O4,390,,,,
653,20200803_1535_blob_653_oil,caice_ssa_final_0803_1535,999,999,,,,2276.666667,,"Eicosane, 7-hexyl-",850,852,,C26H54,366,,,,
724,20200803_1535_blob_724_oil,caice_ssa_final_0803_1535,999,999,,,,2208.333333,,"Eicosane, 7-hexyl-",848,854,,C26H54,366,,,,
543,20200803_1535_blob_543_oil,caice_ssa_final_0803_1535,999,999,,,,2238.333333,,"Heptadecane, 2,3-dimethyl-",847,870,,C19H40,268,,,,
741,20200803_1535_blob_741_,caice_ssa_final_0803_1535,999,999,,,,1612.658228,,Diethyl Phthalate,847,908,1594,C12H14O4,222,,,,
33,20200803_1535_blob_33_oil,caice_ssa_final_0803_1535,999,999,,,,2341.666667,,"Heptadecane, 2,3-dimethyl-",846,871,,C19H40,268,,,,
728,20200803_1535_blob_728_,caice_ssa_final_0803_1535,999,999,,,,1720.253165,,"2-Propenoic acid, tridecyl ester",846,865,,C16H30O2,254,,,,
205,20200803_1535_blob_205_,caice_ssa_final_0803_1535,999,999,,,,2154.198473,,"9,10-Anthracenedione, 1-methyl-",845,854,,C15H10O2,222,,,,
742,20200803_1535_blob_742_,caice_ssa_final_0803_1535,999,999,,,,2135.877863,,Heneicosane,845,881,2100,C21H44,296,,,,
744,20200803_1535_blob_744_,caice_ssa_final_0803_1535,999,999,,,,2087.022901,,"10,18-Bisnorabieta-8,11,13-triene",845,887,,C18H26,242,,,,
693,20200803_1535_blob_693_,caice_ssa_final_0803_1535,999,999,,,,1725.316456,,"Benzothiazole, 2-butyl-",844,872,,C11H13NS,191,T,,,
514,20200803_1535_blob_514_oil,caice_ssa_final_0803_1535,999,999,,,,2423.423423,,17-Pentatriacontene,841,841,,C35H70,490,,,,
947,20200803_1535_blob_947_,caice_ssa_final_0803_1535,999,999,,,,2033.587786,,Eicosane,839,883,2000,C20H42,282,,,,
1349,20200803_1535_blob_1349_,caice_ssa_final_0803_1535,999,999,,,,1363.220523,,"Salicylic acid, TMS derivative",839,848,1357,C10H14O3Si,210,,,,
550,20200803_1535_blob_550_oil,caice_ssa_final_0803_1535,999,999,,,,2390,,17-Pentatriacontene,837,837,,C35H70,490,,,,
598,20200803_1535_blob_598_oil,caice_ssa_final_0803_1535,999,999,,,,2313.333333,,"Heneicosane, 11-(1-ethylpropyl)-",837,843,,C26H54,366,,,,
652,20200803_1535_blob_652_oil,caice_ssa_final_0803_1535,999,999,,,,2270,,"Heneicosane, 11-(1-ethylpropyl)-",835,838,,C26H54,366,,,,
506,20200803_1535_blob_506_oil,caice_ssa_final_0803_1535,999,999,,,,2386.666667,,17-Pentatriacontene,834,834,,C35H70,490,,,,
849,20200803_1535_blob_849_,caice_ssa_final_0803_1535,999,999,,,,1831.944444,,Phenanthridine,834,893,1832,C13H9N,179,,,,
568,20200803_1535_blob_568_oil,caice_ssa_final_0803_1535,999,999,,,,2363.333333,,17-Pentatriacontene,832,833,,C35H70,490,,,,
843,20200803_1535_blob_843_,caice_ssa_final_0803_1535,999,999,,,,1643.037975,,N-n-Butylphthalimide,832,840,,C12H13NO2,203,,,,
