Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_931_oil,2152.671756,2-Methyl-Z-4-tetradecene,753,808,,C15H30,210
20200803_1535_blob_975_,2260,Phorbol,753,759,,C20H28O6,364
20200803_0949_blob_1082_,2112.307692,1-Heptatriacotanol,753,759,,C37H76O,536
20200803_0949_blob_1477_,1700,N-n-Butylphthalimide,753,822,,C12H13NO2,203
20200803_0949_blob_2000_,1511.363636,"3-Buten-2-one, 4-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]hept-1-yl)-",753,813,1473,C13H20O2,208
20200803_1535_blob_677_,1701.265823,3-Ethylbenzothiazolin-2-thione,751,836,,C9H9NS2,195
20200803_1535_blob_1105_,2131.29771,"2,6,10,14,18,22-Tetracosahexaene, 2,6,10,15,19,23-hexamethyl-, (all-E)-, didehydro deriv.",751,763,,C30H48,408
20200803_1535_blob_1206_oil,2849.484536,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",751,798,,C30H52O2,444
20200803_0949_blob_649_,1646.835443,"D-Erythro-Pentopyranose, 2-deoxy-1,3,4-tris-O-(trimethylsilyl)-",751,767,,C14H34O4Si3,350
20200803_1535_blob_1041_,2120.610687,17-Pentatriacontene,750,751,,C35H70,490
20200803_1535_blob_818_,1768.35443,Diallyl phthalate,749,860,1712,C14H14O4,246
20200803_1535_blob_1136_,2186.259542,"2-[4-methyl-6-(2,6,6-trimethylcyclohex-1-enyl)hexa-1,3,5-trienyl]cyclohex-1-en-1-carboxaldehyde",749,753,,C23H32O,324
20200803_1535_blob_1252_oil,2876.28866,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",749,835,,C33H56,452
20200803_1535_blob_574_,2200,"Phenanthrene, 2,3,5-trimethyl-",748,823,,C17H16,220
20200803_1535_blob_721_,2221.666667,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",748,772,,C20H34O2,306
20200803_1535_blob_814_,2135.877863,tert-Hexadecanethiol,748,787,,C16H34S,258
20200803_1535_blob_945_,1820.833333,"Tetradecanoic acid, ethyl ester",748,818,1794,C16H32O2,256
20200803_1535_blob_1084_oil,2794.174757,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",748,790,,C30H52O2,444
20200803_0949_blob_595_,2543.636364,"Hexadecanoic acid, n.-octyl ester",748,753,,C24H48O2,368
20200803_1535_blob_1070_oil,2766.990291,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",747,790,,C30H52O2,444
20200803_1535_blob_1072_oil,2778.640777,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",747,794,,C30H52O2,444
20200803_1535_blob_1245_,1760.759494,"1-Hexadecanol, 2-methyl-",747,754,,C17H36O,256
20200803_1535_blob_1383_,1593.220339,"p-Hydroxydiisopropylbenzene, TMS derivative",747,762,,C15H26OSi,250
20200803_1535_blob_732_,2303.333333,9-Phenyl-5H-benzocycloheptene,746,836,,C17H14,218
20200803_1535_blob_884_,1823.611111,"9,10-Ethanoanthracene, 9,10-dihydro-11,12-diacetyl-",746,756,,C20H18O2,290
20200803_1535_blob_1059_,1944.444444,"4a-Methyl-1-methylene-1,2,3,4,4a,9,10,10a-octahydrophenanthrene",746,822,,C16H20,212
20200803_1535_blob_769_,1888.888889,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin",745,810,,C18H26O,258
20200803_1535_blob_773_,2067.175573,"1-Naphthalenepentanol, decahydro-5-(hydroxymethyl)-5,8a-dimethyl-ç?,2-bis(methylene)-, (1?§,4a??,5?§,8a?§)-",745,769,,C20H34O2,306
20200803_1535_blob_860_,2143.51145,"10,18-Bisnorabieta-5,7,9(10),11,13-pentaene",745,893,2082,C18H22,238
20200803_1535_blob_1017_,1919.444444,"Dibenzothiophene, 4-methyl-",744,774,1927,C13H10S,198
20200803_1535_blob_1167_oil,2786.407767,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",744,792,,C30H52O2,444
20200803_1535_blob_1271_oil,2841.237113,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",744,834,,C33H56,452
20200803_1535_blob_771_oil,2221.666667,"Hexadecanoic acid, 1-(hydroxymethyl)-1,2-ethanediyl ester",743,747,,C35H68O5,568
20200803_1535_blob_885_oil,2691.262136,"2,2,4-Trimethyl-3-(3,8,12,16-tetramethyl-heptadeca-3,7,11,15-tetraenyl)-cyclohexanol",743,763,,C30H52O,428
20200803_1535_blob_1148_oil,2826.804124,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",743,811,,C20H34O2,306
20200803_0949_blob_767_oil,2587.272727,"Dodecane, 1-cyclopentyl-4-(3-cyclopentylpropyl)-",743,753,,C25H48,348
20200803_0949_blob_707_,1763.291139,"Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",742,827,,C17H42O5Si4,438
20200803_1535_blob_4_,1811.111111,"Cyclononasiloxane, octadecamethyl-",741,867,1893,C18H54O9Si9,666
20200803_1535_blob_1030_,2114.503817,2-Methyl-Z-4-tetradecene,741,790,,C15H30,210
20200803_1535_blob_1145_oil,2818.556701,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",741,787,,C30H52O2,444
20200803_1535_blob_717_,2439.63964,Triphenyl phosphate,740,841,2387,C18H15O4P,326
20200803_1535_blob_894_,2470.27027,Phorbol,740,750,,C20H28O6,364
20200803_1535_blob_1255_oil,2884.536082,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",740,818,,C33H56,452
20200803_0949_blob_779_oil,2391.596639,"Dihydrophytol, TMS derivative",740,872,,C23H50OSi,370
20200803_1535_blob_867_,2457.657658,Phorbol,739,747,,C20H28O6,364
20200803_1535_blob_1099_,2016.793893,Phorbol,739,739,,C20H28O6,364
20200803_1535_blob_1363_,1717.721519,"4-Isopropenyl-4,7-dimethyl-1-oxaspiro[2.5]octane",739,780,,C12H20O,180
20200803_1535_blob_751_,1833.333333,"Benzothiazole, 2-butyl-",738,789,,C11H13NS,191
20200803_1535_blob_803_,1931.944444,9-Hexadecenoic acid,738,758,1942,C16H30O2,254
20200803_1535_blob_880_,2475.675676,17-Pentatriacontene,738,742,,C35H70,490
20200803_1535_blob_1004_,1929.166667,Phorbol,738,739,,C20H28O6,364
20200803_1535_blob_901_,2238.333333,Phorbol,736,737,,C20H28O6,364
20200803_1535_blob_933_,2488.288288,"9-Octadecene, 1,1'-[1,2-ethanediylbis(oxy)]bis-, (Z,Z)-",736,753,,C38H74O2,562
20200803_1535_blob_946_,2050.381679,"Palmitelaidic acid, TMS derivative",736,820,,C19H38O2Si,326
20200803_1535_blob_1065_oil,2810.309278,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",736,838,,C33H56,452
20200803_0949_blob_1227_,1830.985915,Calarene epoxide,736,799,,C15H24O,220
20200803_0949_blob_1303_,1793.670886,"(5R,10R)-6,10-Dimethyl-2-(propan-2-ylidene)spiro[4.5]dec-6-en-8-one",736,765,,C15H22O,218
20200803_1535_blob_660_,1818.055556,"6,9-Dimethoxy-4-methyl-2,3-dihydrofuro(3,2-c)quinoline",735,745,,C14H15NO3,245
20200803_1535_blob_831_,2265,Phorbol,735,736,,C20H28O6,364
20200803_1535_blob_928_,1895.833333,Ethyl iso-allocholate,735,742,,C26H44O5,436
20200803_1535_blob_1205_,2700.970874,Octocrylene,735,764,,C24H27NO2,361
20200803_0949_blob_18_,1892.957746,"Bicyclo[4.3.0]nonan-2-one, 8-isopropylidene-",735,796,,C12H18O,178
20200803_0949_blob_1567_,1635.443038,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",735,784,,C14H18O,202
20200803_1535_blob_988_,2042.748092,"1-Undecene-3,6-dione, 1-(2,6,6-trimethyl1-cyclohexen-1-yl)-",734,737,,C20H32O2,304
20200803_0949_blob_1276_,2953.684211,"Eicosane, 7-hexyl-",734,780,,C26H54,366
20200803_1535_blob_746_,2301.666667,"4a,7,7,10a-Tetramethyldodecahydrobenzo[f]chromen-3-ol",733,784,,C17H30O2,266
20200803_1535_blob_993_,1820.833333,"1-Pentadecanol, TMS derivative",733,773,1856,C18H40OSi,300
20200803_1535_blob_1122_,2094.656489,"Dasycarpidan-1-methanol, acetate (ester)",733,757,,C20H26N2O2,326
20200803_0949_blob_745_,2012.307692,"As-Indacen-1(2H)-one, 3,6,7,8-tetrahydro-3,3,6,6-tetramethyl-",732,739,,C16H20O,228
20200803_1535_blob_1284_,2870.103093,"Phthalic acid, decyl isohexyl ester",731,786,,C24H38O4,390
20200803_1535_blob_715_,2428.828829,"5-(2-Propenylidene)-10,11-dihydro-5H-dibenzo[a,d]cycloheptene",730,807,,C18H16,232
20200803_1535_blob_722_,2335,1-Heptatriacotanol,730,834,,C37H76O,536
20200803_1535_blob_890_,1639.240506,(2-(4-Isopropylphenyl)propan-2-ylperoxy)trimethylsilane,730,742,,C15H26O2Si,266
20200803_1535_blob_906_,2251.666667,Phorbol,730,733,,C20H28O6,364
20200803_1535_blob_1120_,2138.931298,"Octadecanoic acid, 4-hydroxy-, methyl ester",730,743,,C19H38O3,314
20200803_1535_blob_1048_,1537.853107,"Benzenemethanol, 4-(1,1-dimethylethyl)-?§-methyl-",729,732,,C12H18O,178
20200803_0949_blob_995_,1829.577465,"7-(1,3-Dimethylbuta-1,3-dienyl)-1,6,6-trimethyl-3,8-dioxatricyclo[5.1.0.0(2,4)]octane",729,748,,C15H22O2,234
20200803_1535_blob_795_,1737.974684,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",728,748,,C16H50O7Si8,578
20200803_1535_blob_762_,2350,"Podocarpa-8,11,13-triene-7??,13-diol, 14-isopropyl-",727,789,,C20H30O2,302
20200803_1535_blob_926_,2018.320611,"2,6-Dimethyldibenzothiophene",727,882,,C14H12S,212
20200803_1535_blob_965_,1838.888889,"Naphthalene, 6,7-diethyl-1,2,3,4-tetrahydro-1,1,4,4-tetramethyl-",727,762,,C18H28,244
20200803_1535_blob_970_,1791.139241,1-Dimethylthexylsilyloxytetradecane,727,799,,C22H48OSi,356
20200803_1535_blob_1323_oil,2865.979381,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",727,820,,C33H56,452
20200803_1535_blob_799_,2137.40458,"Acridin-9-amine, 1,2,3,4-tetrahydro-5,8-dimethyl-",726,751,,C15H18N2,226
20200803_1535_blob_893_,2479.279279,17-Pentatriacontene,726,731,,C35H70,490
20200803_1535_blob_729_oil,2260,Z-5-Methyl-6-heneicosen-11-one,725,776,,C22H42O,322
20200803_1535_blob_1018_,1875,tert-Hexadecanethiol,725,746,,C16H34S,258
20200803_1535_blob_665_oil,2518.918919,"Octadecanal, 2-bromo-",724,756,,C18H35BrO,346
20200803_1535_blob_800_,2248.333333,"Phenanthrene, 2,3,5-trimethyl-",724,824,,C17H16,220
20200803_1535_blob_847_,2114.503817,"Acridin-9-amine, 1,2,3,4-tetrahydro-5,8-dimethyl-",724,754,,C15H18N2,226
20200803_1535_blob_749_,1915.277778,"Benzoic acid, dec-2-yl ester",723,836,1914,C17H26O2,262
20200803_1535_blob_1013_,1975,"Benzene, 1,1'-(1,2-dimethyl-1,2-ethenediyl)bis-, (Z)-",722,805,,C16H16,208
20200803_0949_blob_885_oil,2704.854369,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",722,735,,C19H34O2,294
20200803_1535_blob_792_,1637.974684,"Cyclooctasiloxane, hexadecamethyl-",721,820,1704,C16H48O8Si8,592
20200803_1535_blob_858_,2454.054054,Phorbol,721,729,,C20H28O6,364
20200803_0949_blob_1043_,1821.126761,"1H-Indole-2,3-dione, 5-tert-butyl-",721,770,,C12H13NO2,203
20200803_1535_blob_1026_,1819.444444,"Indole-2-one, 2,3-dihydro-5-hydroxy-1,3-dimethyl-",720,752,,C10H11NO2,177
20200803_1535_blob_1080_,2045.801527,"2,6-Dimethyldibenzothiophene",720,857,,C14H12S,212
20200803_0949_blob_688_,1956.338028,"Cyclopropanebutanoic acid, 2-[[2-[[2-[(2-pentylcyclopropyl)methyl]cyclopropyl]methyl]cyclopropyl]methyl]-, methyl ester",720,732,,C25H42O2,374
20200803_0949_blob_1097_oil,2766.990291,"Spiro[4.5]decan-7-one, 1,8-dimethyl-8,9-epoxy-4-isopropyl-",720,759,,C15H24O2,236
20200803_1535_blob_979_,1577.40113,"Thiophene, 2-butyl-5-(2-methylpropyl)-",719,742,,C12H20S,196
20200803_1535_blob_1195_,1948.611111,"?§-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",719,742,,C13H26BNO6Si,331
20200803_0949_blob_932_,1284.974347,"Hexanoic acid, TBDMS derivative",719,728,1291,C12H26O2Si,230
20200803_0949_blob_961_oil,2726.213592,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",719,732,,C19H34O2,294
20200803_1535_blob_852_,2437.837838,Phorbol,718,729,,C20H28O6,364
20200803_1535_blob_877_,2497.297297,"Octadecanal, 2-bromo-",718,727,,C18H35BrO,346
20200803_1535_blob_478_,1726.582278,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",717,724,,C16H50O7Si8,578
20200803_1535_blob_1364_oil,2896.907216,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",717,806,,C33H56,452
20200803_0949_blob_1194_,2063.076923,"1-Heptadecanol, TMS derivative",717,737,2054,C20H44OSi,328
20200803_1535_blob_932_,2508.108108,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",716,783,,C30H52O2,444
20200803_0949_blob_1408_,1953.521127,"1-Hexadecanol, TMS derivative",716,788,1958,C19H42OSi,314
20200803_1535_blob_980_,2488.288288,"9-Octadecene, 1,1'-[1,2-ethanediylbis(oxy)]bis-, (Z,Z)-",715,735,,C38H74O2,562
20200803_0949_blob_1172_,1833.802817,"2(3H)-Benzofuranone, 6-ethenylhexahydro-3,6-dimethyl-7-(1-methylethenyl)-, [3S-(3?§,3a?§,6?§,7??,7a??)]-",715,778,1806,C15H22O2,234
20200803_1535_blob_761_,2114.503817,"9,10-Anthracenedione, 1-methyl-",714,843,,C15H10O2,222
20200803_1535_blob_827_,2062.59542,"7-Isopropyl-1,1,4a-trimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthrene",714,727,2074,C20H30,270
20200803_1535_blob_1178_,1781.012658,tert-Hexadecanethiol,714,727,,C16H34S,258
20200803_0949_blob_696_,1976.056338,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",714,786,,C20H34O2,306
20200803_0949_blob_822_,2176.923077,"Heptadecanoic acid, TMS derivative",714,839,2146,C20H42O2Si,342
20200803_0949_blob_982_,1923.943662,"Bicyclo[4.4.0]dec-2-ene-4-ol, 2-methyl-9-(prop-1-en-3-ol-2-yl)-",714,736,,C15H24O2,236
20200803_0949_blob_1363_,1741.772152,"1H-2-Indenol, 2,3,4,5,6,7-hexahydro-1-(2-hydroxy-2-methylpropyl)",714,733,,C13H22O2,210
20200803_1535_blob_810_,1805.555556,tert-Hexadecanethiol,713,742,,C16H34S,258
20200803_1535_blob_1042_,2094.656489,"Benzene, 1,1'-ethylidenebis[4-ethyl-",713,736,,C18H22,238
20200803_1535_blob_1091_,2180.152672,"7-Chloro-2,2,3,4,4-pentamethyl-9-(1-phenylethylidene)bicyclo[3.3.1]non-6-en-3-ol",713,726,,C22H29ClO,344
20200803_0949_blob_760_,1887.323944,Mono-TMS of (pyridoxine-H2O),713,763,,C11H17NO2Si,223
20200803_0949_blob_793_,2080,"2-[5-(2,2-Dimethyl-6-methylene-cyclohexyl)-3-methyl-pent-2-enyl]-[1,4]benzoquinone",713,764,,C21H28O2,312
20200803_0949_blob_1142_,1914.084507,"Limonen-6-ol, pivalate",713,738,,C15H24O2,236
20200803_1535_blob_870_,1829.166667,"Propanoic acid, 2-methyl-, (dodecahydro-6a-hydroxy-9a-methyl-3-methylene-2,9-dioxoazuleno[4,5-b]furan-6-yl)methyl ester, [3aS-(3a?§,6??,6a?§,9a??,9b?§)]-",712,716,,C19H26O6,350
20200803_1535_blob_1172_,1784.810127,"Isophthalic acid, 2TMS derivative",712,765,1748,C14H22O4Si2,310
20200803_1535_blob_911_,2230,"5-(7a-Isopropenyl-4,5-dimethyl-octahydroinden-4-yl)-3-methyl-pent-2-enal",711,809,,C20H32O,288
20200803_1535_blob_1125_,2125.19084,"5,8,11,14-Eicosatetraynoic acid",711,728,,C20H24O2,296
20200803_0949_blob_654_,1976.056338,"2H-Pyran, 2-(7-heptadecynyloxy)tetrahydro-",711,715,,C22H40O2,336
20200803_0949_blob_1730_,1786.075949,"Menthol, 1'-(butyn-3-one-1-yl)-, (1R,2S,5R)-",711,727,,C14H22O2,222
20200803_0949_blob_1128_oil,2926.315789,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",710,758,,C20H34O2,306
20200803_1535_blob_711_,1697.468354,"2-Pentanone, 4-cyclohexylidene-3,3-diethyl-",709,740,,C15H26O,222
20200803_1535_blob_1056_,1768.35443,"6-Ethoxy-1,2,3,4-tetrahydro-2,2,4-trimethylquinoline",709,747,,C14H21NO,219
20200803_1535_blob_1131_,1876.388889,"Acetate, (2,5,5,8a-tetramethyl-3,4,4a,5,6,7,8,8a-octahydro-1-naphthalenyl) ester",709,756,,C16H26O2,250
20200803_0949_blob_676_,2024.615385,1-Heptatriacotanol,709,716,,C37H76O,536
20200803_0949_blob_896_,1825.352113,Pentadecanenitrile,709,794,,C15H29N,223
20200803_0949_blob_1701_,1838.028169,"Acetic acid, 6,6-dimethyl-2-methylene-7-(3-oxobutylidene)oxepan-3-ylmethyl ester",709,742,,C16H24O4,280
20200803_1535_blob_759_,2412.612613,"Pyrene, 1,3-dimethyl-",707,873,,C18H14,230
20200803_1535_blob_917_,2228.333333,"Dibenzo[b,d]thiophene, 1,3,6,7-tetramethyl-",707,796,,C16H16S,240
20200803_0949_blob_788_oil,2627.184466,tert-Hexadecanethiol,707,736,,C16H34S,258
20200803_0949_blob_943_oil,2720.38835,"5,6,6-Trimethyl-5-(3-oxobut-1-enyl)-1-oxaspiro[2.5]octan-4-one",707,750,,C14H20O3,236
20200803_0949_blob_1231_,1694.936709,"Perhydrocyclopropa[e]azulene-4,5,6-triol, 1,1,4,6-tetramethyl",707,726,,C15H26O3,254
20200803_0949_blob_901_,1916.901408,"Pentadecanoic acid, TMS derivative",706,760,1950,C18H38O2Si,314
20200803_0949_blob_940_oil,2716.504854,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",706,722,,C19H34O2,294
20200803_1535_blob_801_,2231.666667,"Phenanthrene, 2,3,5-trimethyl-",705,805,,C17H16,220
20200803_1535_blob_887_,2039.694656,"2-Methyl-cis-7,8-epoxynonadecane",705,728,,C20H40O,296
20200803_1535_blob_1190_,1981.944444,?§-N-Normethadol,705,710,,C20H27NO,297
20200803_0949_blob_702_,1853.521127,7-Hydroxyfarnesen,705,758,,C15H24O,220
20200803_1535_blob_690_,1965.277778,"1,3-Di(2-benzothiazolyl)-1,3-bis(mercaptomethyl)-urea",704,762,,C17H14N4OS4,418
20200803_1535_blob_900_,2479.279279,"Octadecanal, 2-bromo-",704,718,,C18H35BrO,346
20200803_1535_blob_1111_,2093.129771,"Acetamide, N-[2-(3-ethyl-1-methyl-9H-carbazol-2-yl)ethyl]-N-methyl-",704,751,,C20H24N2O,308
20200803_0949_blob_1000_oil,2739.805825,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",704,732,,C19H34O2,294
20200803_1535_blob_768_,1895.833333,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",703,742,,C16H50O7Si8,578
20200803_1535_blob_882_,2370,"2,6,10,14,18,22-Tetracosahexaene, 2,6,10,15,19,23-hexamethyl-, (all-E)-, didehydro deriv.",703,724,,C30H48,408
20200803_1535_blob_1202_,2074.80916,17-Pentatriacontene,703,705,,C35H70,490
20200803_0949_blob_1173_,2112.307692,"2-[4-methyl-6-(2,6,6-trimethylcyclohex-1-enyl)hexa-1,3,5-trienyl]cyclohex-1-en-1-carboxaldehyde",703,704,,C23H32O,324
20200803_1535_blob_27_,1880.555556,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",702,710,,C16H50O7Si8,578
20200803_1535_blob_859_,1944.444444,Epistephamiersine,702,771,,C21H27NO6,389
20200803_1535_blob_916_,2253.333333,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaene-2,9-dione, anti-",702,794,,C16H12O2,236
20200803_1535_blob_920_,1884.722222,"2-[4-methyl-6-(2,6,6-trimethylcyclohex-1-enyl)hexa-1,3,5-trienyl]cyclohex-1-en-1-carboxaldehyde",702,702,,C23H32O,324
20200803_1535_blob_961_,1679.746835,"2-Benzothiazolamine, N-ethyl-",702,751,,C9H10N2S,178
20200803_1535_blob_1431_,1701.265823,2(3H)-Benzothiazolone,702,801,,C7H5NOS,151
20200803_0949_blob_701_,1318.73589,"3-Methyl-2-furoic acid, TMS derivative",702,728,,C9H14O3Si,198
20200803_0949_blob_888_oil,2693.203883,"Pentadec-7-ene, 7-bromomethyl-",702,773,,C16H31Br,302
20200803_1535_blob_923_,2143.51145,"Benz[e]azulene-3,8-dione, 3a,4,6a 7,9,10,10a,10b-octahydro-3a,10a-dihydroxy-5-(hydroxymethyl)-7-(1-hydroxy-1-methylethyl)-2,10-dimethyl-, [3aR-(3a?§,6a?§,7?§,10??,10a??,10b??)]-",701,724,,C20H28O6,364
20200803_1535_blob_1097_,2099.236641,?§-N-Normethadol,701,704,,C20H27NO,297
20200803_1535_blob_1243_,1769.620253,cis-Z-?§-Bisabolene epoxide,701,708,,C15H24O,220
20200803_0949_blob_954_,1783.544304,"7-Oxabicyclo[4.1.0]heptane, 2,2,6-trimethyl-1-(3-methyl-1,3-butadienyl)-5-methylene-",701,762,,C15H22O,218
20200803_1535_blob_686_,1822.222222,2-Octyl benzoate,700,806,,C15H22O2,234
20200803_0949_blob_831_,1895.774648,"3-Methyl-6,7-benzoisoquinoline",700,785,,C14H11N,193
20200803_0949_blob_1107_oil,2763.106796,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",700,724,,C19H34O2,294
20200803_1535_blob_682_,1952.777778,"Cyclohexanol, 5-methyl-2-(1-methyl-1-phenylethyl)-",699,751,,C16H24O,232
20200803_1535_blob_838_,2258.333333,"Benzo[b]dihydropyran, 6-hydroxy-4,4,5,7,8-pentamethyl-",699,777,,C14H20O2,220
20200803_1535_blob_937_,2260,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaene-2,9-dione, anti-",699,782,,C16H12O2,236
20200803_0949_blob_1139_,2140,"2(3H)-Furanone, 5-dodecyldihydro-",699,830,2105,C16H30O2,254
20200803_1535_blob_500_,2000,"3,7-Dimethoxyphenothiazine",698,712,,C14H13NO2S,259
20200803_1535_blob_727_,2170.992366,2-Bromodiphenylamine,698,763,,C12H10BrN,247
20200803_1535_blob_848_,1464.40678,"4-benzoxazolol, 7-ethyl-2-methyl-",698,801,,C10H11NO2,177
20200803_1535_blob_941_,2238.333333,17-Pentatriacontene,698,700,,C35H70,490
20200803_1535_blob_1139_,2100.763359,"1,4,7-Trimethyl-2-azafluorene",698,741,,C15H15N,209
20200803_1535_blob_930_,1801.388889,"Phthalic acid, 5-methylhex-2-yl ethyl ester",697,869,,C17H24O4,292
20200803_0949_blob_978_,2040,"Palmitic Acid, TMS derivative",697,741,2050,C19H40O2Si,328
20200803_0949_blob_1407_,2332.773109,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaene-2,9-dione, anti-",697,750,,C16H12O2,236
20200803_1535_blob_1016_,1944.444444,"Benzothiazole, 2-butyl-",696,793,,C11H13NS,191
20200803_1535_blob_1029_,2138.931298,?§-N-Normethadol,696,698,,C20H27NO,297
20200803_1535_blob_1550_,2835.051546,"17.alfa.,21??-28,30-Bisnorhopane",696,742,,C28H48,384
20200803_0949_blob_942_oil,2712.621359,10-Methyl-8-tetradecen-1-ol acetate,696,728,,C17H32O2,268
20200803_0949_blob_1225_,2865.263158,"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",696,780,,C14H24O,208
20200803_1535_blob_990_,2333.333333,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaene-2,9-dione, anti-",695,789,,C16H12O2,236
20200803_1535_blob_1053_,2109.923664,"Benzene, 1,1'-ethylidenebis[4-ethyl-",695,722,,C18H22,238
20200803_0949_blob_708_,2747.572816,"Dodecanoic acid, 3-hydroxy-",695,737,,C12H24O3,216
20200803_1535_blob_968_,2174.045802,Z-5-Methyl-6-heneicosen-11-one,694,738,,C22H42O,322
20200803_0949_blob_709_oil,2463.636364,"Ethanol, 2-(octadecyloxy)-",694,729,,C20H42O2,314
20200803_1535_blob_978_,1877.777778,6-Nitro-1-methyl-3-acetylindole,693,830,,C11H10N2O3,218
20200803_1535_blob_1093_,1975,?§-N-Normethadol,693,695,,C20H27NO,297
20200803_0949_blob_1009_,1667.088608,"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",693,768,,C14H22O2,222
20200803_1535_blob_747_,2418.018018,Phorbol,692,695,,C20H28O6,364
20200803_1535_blob_760_,2412.612613,Phorbol,692,695,,C20H28O6,364
20200803_1535_blob_899_,2271.666667,"3,12-Oleandione",692,692,,C30H48O2,440
20200803_1535_blob_984_,2493.693694,"Octadecanal, 2-bromo-",692,712,,C18H35BrO,346
20200803_1535_blob_1092_,1977.777778,"4-Acetyloxyimino-6,6-dimethyl-3-methylsulfanyl-4,5,6,7-tetrahydro-benzo[c]thiophene-1-carboxylic acid methyl ester",692,709,,C15H19NO4S2,341
20200803_1535_blob_696_oil,2363.333333,"3,4,7,8-Tetraazatricyclo[4.2.2.0(1,5)]dec-9-ene-3,4:7,8-bis(N-methyldicarboximide), 2,2-diphenyl-",691,694,,C24H20N6O4,456
20200803_1535_blob_813_,2181.679389,"1-Propene-2-thiol, 1,1-diphenyl-",691,715,,C15H14S,226
20200803_1535_blob_976_,2116.030534,"Acetic acid, 17-(1-acetoxy-ethyl)-10,13-dimethyl-3-oxo-2,3,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-11-yl (ester)",691,698,,C25H34O5,414
20200803_1535_blob_1090_,1876.388889,"Propanoic acid, 2-methyl-3-[4-t-butyl]phenyl-",691,720,,C14H20O2,220
20200803_1535_blob_1123_,2271.666667,"Benzene, 1,1'-ethylidenebis[4-ethyl-",691,736,,C18H22,238
