Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_1104_,1938.888889,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",866,914,1923,C17H24O3,276
20200803_1535_blob_755_,1938.888889,Dibutyl phthalate,865,932,1965,C16H22O4,278
20200803_1535_blob_29_oil,2443.243243,"Heptadecane, 2,3-dimethyl-",862,884,,C19H40,268
20200803_1535_blob_443_oil,2545.945946,"Heptadecane, 2,3-dimethyl-",860,876,,C19H40,268
20200803_1535_blob_1058_,1531.073446,Butylated Hydroxytoluene,859,871,1513,C15H24O,220
20200803_1535_blob_739_,2749.514563,"Eicosane, 7-hexyl-",858,863,,C26H54,366
20200803_1535_blob_700_,2293.333333,"Pyrene, 4-methyl-",855,910,2259,C17H12,216
20200803_1535_blob_558_,1891.666667,"1-Pentadecanol, TMS derivative",853,874,1856,C18H40OSi,300
20200803_1535_blob_688_,2192.366412,"Phenanthrene, 2,3,5-trimethyl-",853,886,,C17H16,220
20200803_1535_blob_748_,2088.549618,"Anthracene, 1,4-dimethyl-",853,892,,C16H14,206
20200803_1535_blob_1341_,1388.506413,"Ethanone, 1-[4-(1-methylethenyl)phenyl]-",851,856,,C11H12O,160
20200803_1535_blob_5_fb,2054.961832,"Homosalate, TMS derivative",850,912,1998,C19H30O3Si,334
20200803_1535_blob_622_,2576.576577,Diisooctyl phthalate,850,874,2543,C24H38O4,390
20200803_1535_blob_653_oil,2276.666667,"Eicosane, 7-hexyl-",850,852,,C26H54,366
20200803_1535_blob_724_oil,2208.333333,"Eicosane, 7-hexyl-",848,854,,C26H54,366
20200803_1535_blob_543_oil,2238.333333,"Heptadecane, 2,3-dimethyl-",847,870,,C19H40,268
20200803_1535_blob_741_,1612.658228,Diethyl Phthalate,847,908,1594,C12H14O4,222
20200803_1535_blob_33_oil,2341.666667,"Heptadecane, 2,3-dimethyl-",846,871,,C19H40,268
20200803_1535_blob_728_,1720.253165,"2-Propenoic acid, tridecyl ester",846,865,,C16H30O2,254
20200803_1535_blob_205_,2154.198473,"9,10-Anthracenedione, 1-methyl-",845,854,,C15H10O2,222
20200803_1535_blob_742_,2135.877863,Heneicosane,845,881,2100,C21H44,296
