"","X20200803_0949_blob_18_","X20200803_0949_blob_595_","X20200803_0949_blob_741_oil","X20200803_1535_blob_106_fb","X20200803_1535_blob_11_","X20200803_1535_blob_116_","X20200803_1535_blob_13_","X20200803_1535_blob_143_","X20200803_1535_blob_17_","X20200803_1535_blob_170_","X20200803_1535_blob_18_","X20200803_1535_blob_19_","X20200803_1535_blob_2_","X20200803_1535_blob_205_","X20200803_1535_blob_21_","X20200803_1535_blob_23_fb","X20200803_1535_blob_26_","X20200803_1535_blob_27_","X20200803_1535_blob_29_oil","X20200803_1535_blob_3_fb","X20200803_1535_blob_30_","X20200803_1535_blob_31_","X20200803_1535_blob_33_oil","X20200803_1535_blob_398_","X20200803_1535_blob_43_","X20200803_1535_blob_443_oil","X20200803_1535_blob_453_","X20200803_1535_blob_469_oil","X20200803_1535_blob_47_","X20200803_1535_blob_482_oil","X20200803_1535_blob_492_","X20200803_1535_blob_495_oil","X20200803_1535_blob_5_fb","X20200803_1535_blob_500_","X20200803_1535_blob_506_oil","X20200803_1535_blob_514_oil","X20200803_1535_blob_516_oil","X20200803_1535_blob_521_oil","X20200803_1535_blob_541_oil","X20200803_1535_blob_543_oil","X20200803_1535_blob_551_oil","X20200803_1535_blob_554_oil","X20200803_1535_blob_556_","X20200803_1535_blob_568_oil","X20200803_1535_blob_574_","X20200803_1535_blob_579_oil","X20200803_1535_blob_598_oil","X20200803_1535_blob_619_oil","X20200803_1535_blob_623_oil","X20200803_1535_blob_625_oil","X20200803_1535_blob_63_","X20200803_1535_blob_637_oil","X20200803_1535_blob_638_oil","X20200803_1535_blob_641_","X20200803_1535_blob_644_oil","X20200803_1535_blob_645_","X20200803_1535_blob_646_","X20200803_1535_blob_648_oil","X20200803_1535_blob_649_oil","X20200803_1535_blob_650_oil","X20200803_1535_blob_652_oil","X20200803_1535_blob_654_","X20200803_1535_blob_655_oil","X20200803_1535_blob_656_","X20200803_1535_blob_658_oil","X20200803_1535_blob_660_","X20200803_1535_blob_662_oil","X20200803_1535_blob_663_","X20200803_1535_blob_665_oil","X20200803_1535_blob_666_oil","X20200803_1535_blob_668_","X20200803_1535_blob_669_oil","X20200803_1535_blob_672_oil","X20200803_1535_blob_682_","X20200803_1535_blob_691_oil","X20200803_1535_blob_7_","X20200803_1535_blob_701_oil","X20200803_1535_blob_706_","X20200803_1535_blob_707_oil","X20200803_1535_blob_711_","X20200803_1535_blob_745_","X20200803_1535_blob_804_","X20200803_1535_blob_9_","X20200803_1535_blob_97_","Sub_iso_z"
"20200803_0949_blob_18_",1,-0.132792244137485,0.248168951157639,-0.122039333502042,-0.23703388994453,-0.432773426401573,-0.276465181606005,0.14760349361296,-0.644449547025252,-0.491174603325809,-0.101442649966862,-0.574985753577424,-0.354429414801376,-0.545894132155499,-0.00638924117776608,-0.229135025976396,-0.625168922122661,-0.430782442236521,-0.47451226786406,-0.578892131957348,-0.540418723697588,-0.592723898985897,-0.56051963610334,-0.265507487069654,-0.493966755059882,-0.249920989660752,0.318690686872175,-0.570553795980472,-0.23214557743565,-0.523099667404329,-0.240726212409054,-0.60059080969912,-0.283257969471076,0.128887521151584,-0.573538319598664,-0.44261891640941,-0.328035632261185,-0.391935198873308,-0.0910807538978024,-0.59224709634054,-0.636525508803963,-0.62090821863368,-0.448119587653963,-0.448920984388227,-0.666163625392031,-0.466566521586108,-0.43344566224721,-0.626116292050414,-0.305242755895947,-0.449317110399851,0.608182406643603,-0.529270173888994,-0.480956284814017,-0.57570540915757,-0.610051811194755,-0.097634705807484,-0.530687675789726,-0.469693698121877,-0.34727772690275,-0.332770685964329,-0.483033066392081,-0.283737791759708,-0.484588117294563,-0.482844731557662,-0.460878821515672,0.0103618286196788,-0.384704361249527,0.256189263018019,-0.570252800640393,-0.477307957208911,-0.271988917251624,-0.596003711795638,-0.327933731566895,-0.518667550770096,-0.149523266837192,-0.287808746566871,-0.29804409562812,-0.459085989309706,-0.535748523300213,-0.193530194568325,0.176753971420121,0.507588581013509,-0.0558072017010156,-0.555175087724629,0.282583502058324
"20200803_0949_blob_595_",-0.132792244137485,1,-0.0301661007080579,-0.179482830860545,0.378969807255286,0.327589099298397,0.406498240350886,0.383816743834203,0.327121038956118,-0.29922693263822,0.478740486898229,-0.0614417671581458,0.439471753708274,-0.00713127251703857,-0.0584638053340091,0.288848040552701,0.118642691152884,-0.197534543262574,0.0503096074876208,-0.0308798094070085,0.381560017711797,0.202171800597021,-0.00788372252506431,0.773919479146344,-0.138391064707279,0.321924540046083,-0.0160591964721499,-0.000398087620168359,0.425649806180692,0.165632921975968,0.535685509225881,0.124542020815573,0.403250071008756,-0.394843870760815,-0.0524765919611999,-0.167591272566068,0.284180274819235,-0.0161467461505836,0.365078958513979,0.120102800013832,0.269744836519043,0.127770651278958,-0.241161220767055,-0.153160574977152,0.244906109000222,0.33791949705824,-0.0567049246248282,0.00892209274984717,-0.153774374887251,0.126632034238392,-0.18400518993898,0.2345998990493,0.451447000477996,0.367609222991196,0.0691088015815875,-0.12482724938034,-0.079077571820408,0.182457693325339,0.309091787750026,-0.339660947820501,0.159230920774761,0.377236896719912,0.326408513844378,0.731436803488098,0.364203862223373,-0.0617424774813355,-0.44147742490251,0.0283073313684148,0.281277728815307,0.0458381783367814,0.0204241361577909,0.052693258273827,0.180843808768851,0.277313113159268,0.0657974791302252,0.431349390816469,-0.0989763804563989,0.343616003858051,0.0062206101621744,-0.381220886732428,-0.195028976134644,-0.0931057281738415,-0.25416765698647,0.402936683920768,-0.317047556247007
"20200803_0949_blob_741_oil",0.248168951157639,-0.0301661007080579,1,0.284474589020945,-0.280283712092306,-0.278705263391947,-0.284197649436438,0.268914365312761,-0.381847148594713,-0.25091709182083,-0.269830770698788,-0.428151498959559,-0.321337492720125,-0.222594039563223,0.327314819152847,0.195093838124215,-0.421561806436536,-0.405336969066719,-0.353586344871454,-0.282889440300481,-0.00397584936487629,-0.449722681384445,-0.425957321849463,-0.022725442768262,-0.263573929617714,-0.0942672112537219,0.37468975214761,-0.465972964295061,-0.265344236625415,-0.412628354490834,-0.271455060900096,-0.373188531448366,-0.28864808462171,-0.208126412036371,-0.421000010745921,-0.390389001462586,-0.0494809727409321,-0.173447397617544,0.193374587895721,-0.374932229243103,-0.232705363591044,-0.36630246425851,-0.235986431866165,-0.468947200748316,-0.354144490073439,-0.232083361358137,-0.512981769517896,-0.399905635138952,-0.253616780853923,-0.44550702958347,0.278265248395883,-0.302478048205897,-0.0591475007763434,-0.211432170413924,-0.386887596149727,0.256533098742316,-0.292358955568871,-0.30101070121894,-0.144615765188961,-0.280265405755317,-0.296852194391538,0.217419937398561,-0.157339249860835,-0.266659997634423,-0.151022836775353,0.185788922905055,-0.126387055397066,0.0270643667162711,-0.47294636917884,-0.490139550442132,0.156406570768905,-0.507079524120719,0.0403939632941371,-0.349041705116682,-0.169008562362502,-0.295651502321361,-0.345807376186978,-0.21025702456102,-0.198324005067054,-0.00712263204183443,0.224166528994906,0.41677771981108,-0.146815165476007,-0.413624345641286,-0.260460472685085
"20200803_1535_blob_106_fb",-0.122039333502042,-0.179482830860545,0.284474589020945,1,-0.0809619045661285,0.152581043691424,-0.0350507379497458,-0.0118618936750913,0.225401171405172,0.247292661578259,-0.150247362412627,0.221955888511066,0.0160256754506502,0.361658253828798,-0.0642854468119372,0.401348205447972,0.255816168729372,0.242570688773477,0.218914118873468,0.155462565374597,0.169690483714211,0.129012608761047,0.194753167568954,-0.057895014583689,0.241592885260344,0.107314289930338,-0.19763309658013,0.12289396439227,-0.0599704163881409,0.0131944019951167,0.0269541620831178,0.232029706147609,-0.0552988460462098,-0.227898189314535,0.227139286044046,0.181104822940974,-0.158236921960749,0.220219097901294,-0.159077951229911,0.258254828017953,0.300599900663511,0.217988035529771,0.229176003061248,0.329947705567029,0.24056625155538,0.321160073147559,-0.0709762416015519,0.284940405213622,-0.142774218659415,-0.12534519023928,-0.0245213027755334,0.139557480203138,0.0484244539180325,0.176382056153069,0.227855474944973,0.938552381780751,0.218172420051934,0.270297792704634,-0.224607003482184,0.354289659877515,0.186654720113195,0.201634124967319,0.350172491927567,0.0227338187678415,0.120588458888267,0.336100506360892,0.393893697962951,0.130626973801611,0.0811002102556628,0.0292353885018038,0.315799795559405,0.0070925269863183,0.218074466055621,0.215222206108842,0.291344569044408,-0.0467575554068225,-0.103218723788259,0.280107541066243,0.0812149381770693,0.315723558061366,-0.180811521430465,-0.058665519260228,0.0701094328117859,-0.0106849556533588,-0.33514405192901
"20200803_1535_blob_11_",-0.23703388994453,0.378969807255286,-0.280283712092306,-0.0809619045661285,1,0.889328351900403,0.990631542331489,0.0885186854806406,0.595195158760358,-0.0339557650278758,0.867064124698122,0.277161903242785,0.918600737705306,-0.0654263364064789,-0.380199561506942,-0.0741086460700209,0.409232884389388,0.324567883021526,0.643111037009937,-0.0748731673799853,0.102571980727613,0.70442568392279,0.609955392811428,0.387063817051034,-0.11445979735246,0.356759056499319,-0.410750055547266,0.37423479296171,0.992547939078387,0.570523880522069,0.886356808597537,0.448154140945696,0.980158815484073,-0.264518971729601,0.438778990586571,0.589136206017711,0.443123171530955,0.391555847841884,-0.10440073072935,0.585265069107138,0.343267206315682,0.410573666433994,-0.198408427697836,0.311622179056805,0.234765208231828,0.55895947201742,0.588804642399355,0.530425640322931,0.348910526856014,0.734545674601976,-0.123536008715711,0.138048404872521,0.401080231853463,0.407787292923477,0.563988999810593,-0.0763532384112893,0.0467120654970506,0.538929674097128,0.487523006917188,-0.0179494800765058,0.716467673306151,-0.222026900625903,0.293137879543017,0.657910286600153,0.469381248856966,-0.196072300687028,0.212403435057888,0.0156387947687444,0.621621767320003,0.338476646756273,-0.441449827669544,0.431588390786589,0.467890574493844,0.690232003315871,-0.00738240586931456,0.984283153517695,0.265783847528665,0.530510120882359,0.56439718487317,-0.315389683639357,-0.256398322431107,-0.114838234720461,-0.0638305761995174,0.828039437325475,-0.187486916770586
"20200803_1535_blob_116_",-0.432773426401573,0.327589099298397,-0.278705263391947,0.152581043691424,0.889328351900403,1,0.925826847157995,0.0853919245260188,0.820664012865154,0.170220322937135,0.802655646853782,0.504682657516436,0.955105584799002,0.221644914281019,-0.455389652417142,0.0556464325469595,0.654549848918491,0.530171744274623,0.818755334329753,0.0940752325508622,0.338361687853131,0.855893653194523,0.821860557841323,0.511832333896538,0.121562198181641,0.581639126137336,-0.570160177133443,0.609016263955047,0.866745761950285,0.732257078110509,0.852877282177327,0.650028766784206,0.93990864584891,-0.141718861842306,0.656650982152686,0.703455702151109,0.529636514810789,0.594112285052881,0.0129677415658302,0.838467970378005,0.610638046653199,0.676909350699885,0.00771949160243282,0.530654659619839,0.535565150319415,0.697758833046397,0.727458427637551,0.783506380191724,0.376446780585759,0.842098925482647,-0.226155751940681,0.365014999331493,0.5879662194342,0.599933992098484,0.815378372771221,0.142103564007638,0.381216761261189,0.727119101575591,0.586189422295167,0.192574678045536,0.86686253884684,-0.0372323713637897,0.526317623018712,0.774148835983876,0.620936170976691,0.043999637242306,0.465845161055589,0.0991719835434117,0.798186588807895,0.555225674775165,-0.285323636221378,0.64427906279813,0.641374110668474,0.87392855051494,0.0852210156353237,0.931600339799008,0.33117456380462,0.757079960459794,0.707720587267214,-0.206509696772457,-0.413031365409755,-0.179487667715237,0.0138155229544617,0.92452095312224,-0.250432901402282
"20200803_1535_blob_13_",-0.276465181606005,0.406498240350886,-0.284197649436438,-0.0350507379497458,0.990631542331489,0.925826847157995,1,0.12537315557179,0.653545595546622,-0.0236105887121074,0.876784234640409,0.321284564955376,0.961577043976679,-0.0202474684731471,-0.396717865812709,-0.0451134952863051,0.453567859579696,0.355368686425587,0.708195098234638,-0.0630871713471093,0.173223878134239,0.739320351801857,0.653640446574629,0.445183605758818,-0.0949687952656768,0.45301698982721,-0.441737547431596,0.425875059192149,0.987094124969701,0.603791485104903,0.918375211515513,0.505712423179333,0.994124658340914,-0.263336332129477,0.490755226247639,0.595689332167576,0.480021545530114,0.442188899352997,-0.0639983142151405,0.639093333924537,0.402731082707754,0.488280892922378,-0.187539501153091,0.354391782122172,0.293419361852467,0.61079781768016,0.618940426190341,0.582254821774936,0.335503896497036,0.749233073581363,-0.152281765613071,0.20732967710409,0.469922270449321,0.441987479144724,0.61698155557156,-0.0400382970782717,0.0954181684838516,0.593799390082072,0.510713278187968,0.0146110710182019,0.739919568926592,-0.168497245176356,0.367413859427638,0.713247938587442,0.518784401486023,-0.157935240382756,0.249580324299978,0.0277981687402679,0.673237338227909,0.399207262300558,-0.438253508688975,0.458975798805072,0.494930951566267,0.730986884913281,-0.00192820635440808,0.998002967105102,0.276134031728077,0.59489426500846,0.583601665021641,-0.337966693201436,-0.285695473231294,-0.126303047164697,-0.059007177212079,0.87100537208567,-0.516980924040769
"20200803_1535_blob_143_",0.14760349361296,0.383816743834203,0.268914365312761,-0.0118618936750913,0.0885186854806406,0.0853919245260188,0.12537315557179,1,-0.102970619507684,-0.558470937971711,0.137780621798008,-0.35225404303118,0.150613236050984,-0.449664535752918,0.416573327183868,0.117798547755591,-0.326188573111979,-0.473817913284238,-0.115385547564418,-0.536352306296793,0.600106603882875,-0.33178871347087,-0.285577435931498,0.4956759070455,-0.512776306017908,0.23297871625661,0.503647095687997,-0.340913481452827,0.102821321883114,-0.217416922860037,0.124516302543219,-0.363378328651801,0.134579502631007,-0.204378998991523,-0.387477176506761,-0.336224249419281,-0.0584852724464778,-0.142169535855204,0.238618724889504,-0.215100744214708,-0.257990305316275,-0.202838679138134,-0.631877186182683,-0.333817520111341,-0.297656644059376,-0.0352811326144086,-0.282935645542184,-0.299125552922106,-0.150574805070991,-0.160306027826533,0.0942141504714964,-0.305824132933243,0.1351145209938,-0.28779649506666,-0.269190816269227,0.00318268144979529,-0.267119812617244,-0.0871507377816977,-0.0911285150349192,-0.323784570596332,-0.0916119321968667,0.567959885248065,-0.142685181645763,0.25490080852776,-0.0217586640017565,-0.0919303718920228,-0.323272572995023,-0.00560963777317903,-0.150711360844428,-0.239390977586852,-0.237204668220528,-0.402486868435282,-0.0782687371808872,-0.174785553975339,-0.0574839696347611,0.133142099573666,-0.313233202389084,-0.0700753968592733,-0.349802670229953,-0.433588844910358,0.535052951919556,0.352392228069312,-0.0400621276351465,-0.00682974896546434,0.0820731467202255
"20200803_1535_blob_17_",-0.644449547025252,0.327121038956118,-0.381847148594713,0.225401171405172,0.595195158760358,0.820664012865154,0.653545595546622,-0.102970619507684,1,0.520512236844046,0.492181042952048,0.807912867181619,0.749209347437778,0.640884248882735,-0.377858609547656,0.411724662183376,0.882295946956621,0.658377354347089,0.848341644152474,0.541041064457112,0.493099150907824,0.873382493687204,0.88398995357168,0.432437540230221,0.571433975386852,0.650434157391384,-0.654043355891746,0.826051731845302,0.584973301834623,0.746639085026931,0.700850836899659,0.870655296211473,0.669019561460665,0.0470046682423786,0.806416349811847,0.704088411016945,0.559674209188602,0.63617746418493,0.0394262700389132,0.919981690104409,0.818300516445367,0.833502620391118,0.399447225291057,0.681843155465125,0.867043343958365,0.727580373128613,0.705778669384873,0.901190494440343,0.406209545095305,0.742930970160531,-0.468987868728771,0.663967297309002,0.595938205411827,0.756132923901567,0.903418247162117,0.202006578637752,0.701326242168708,0.783960867014257,0.609872896730893,0.337178640918125,0.780368600073466,0.222103018421455,0.655768462679838,0.84483738075049,0.737652309801272,0.276054501401757,0.522204014303423,0.0477883131871722,0.90180634475331,0.662737959432727,0.190054578783075,0.805079247526963,0.603947558290909,0.90415973949623,0.13453273498129,0.669875274130131,0.381618089033528,0.866080518968154,0.689400038454412,0.129730473413129,-0.533810324252937,-0.40936964655691,0.107789666565852,0.895146700441279,-0.0876271457140839
"20200803_1535_blob_170_",-0.491174603325809,-0.29922693263822,-0.25091709182083,0.247292661578259,-0.0339557650278758,0.170220322937135,-0.0236105887121074,-0.558470937971711,0.520512236844046,1,-0.14900836756481,0.708681857107288,0.0245655675031679,0.799733181374963,-0.250544991516644,0.367703443026325,0.761620951650147,0.762893115138634,0.414572295431405,0.734174333283374,0.0691224195606966,0.512708011261286,0.586482040486044,-0.280925028437966,0.849238921593522,0.139692138779526,-0.488708039966311,0.556435442809823,-0.0492094218417639,0.368157997874427,0.0572142087524077,0.703678483366686,-0.0277094637865984,0.439954955557268,0.716133914547107,0.426998759659516,0.188362668994252,0.536542879307576,-0.13025915407004,0.586189347596922,0.581837638171742,0.543870321008139,0.900528879217663,0.617150644578637,0.675128555277121,0.210618228452384,0.490983933147917,0.647993650916529,0.204348564358781,0.342125982664897,-0.313516734554554,0.552752590453354,-0.0669842889816929,0.411629158301257,0.615532646377931,0.197499013406447,0.726313528181243,0.395583219019676,0.251763699833896,0.60409862281798,0.250773401027189,-0.0166705289850702,0.409843744781135,0.167227397448893,0.274526508998657,0.395932575777738,0.631081112725229,0.136970221019235,0.433004346792784,0.510174172635045,0.526327717680628,0.620579237688566,0.292602127537316,0.525122021519222,0.0298548673267998,-0.0226645183842753,0.474625126529417,0.464101136018036,0.433069516455067,0.751349003984039,-0.377160819763081,-0.412870938322295,0.459407665805468,0.280483951144743,0.0103764740963434
