Date_time,btz_ppt
7/24/2019 13:59,180.36
7/27/2019 6:08,369.1
7/27/2019 14:13,450.19
7/30/2019 13:34,967.23
7/31/2019 13:56,628.21
8/2/2019 6:13,659.55
8/2/2019 13:36,682.72
8/3/2019 13:50,334.41
8/4/2019 13:41,556
8/5/2019 13:34,618.06
8/6/2019 5:20,556.65
8/6/2019 13:39,664.39
8/7/2019 14:01,578.43
8/8/2019 5:46,490.9
8/8/2019 13:37,
8/9/2019 13:52,637.75
8/10/2019 5:40,552.45
8/10/2019 13:45,662.62
8/11/2019 13:45,376.23
8/12/2019 5:01,340.57
