Column1,Formula,C,H,N,O,S,P,ExactMass,0724.csv,0726.csv,0730.csv,0802.csv,0806.csv,0809.csv,0812.csv,Replication,Latter TPs common,Column2,N/C,O/C,H/C,DBE,DBE/C,NOSC,AI-mod,Column3,Spearmans',ChlA,î(280 nm) L/mg*cm,î(350 nm) L/mg*cm,Slope 350-400,Slope 275-295,SR (Smaller:Larger),E2:E3 (A 250:365 nm),Column4,Column5,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,Column6
3033,C22H27NO6P2,22,27,1,6,0,2,462.1240832,2706.3,NA,577.5,NA,NA,1501.3,NA,4,2,,0.045454545,0.272727273,1.227272727,11,,-0.545454545,0.40625,,,-0.2231523,-0.324035808,-0.297877237,0.942141805,0.454768732,-0.218143578,0.46565474,,,0,0,3,0,0,0,3
3353,C23H25NO6P2,23,25,1,6,0,2,472.1084332,NA,2411.6,NA,4388.8,1949.1,NA,NA,4,2,,0.043478261,0.260869565,1.086956522,13,,-0.434782609,0.5,,,0.921824871,-0.598829931,-0.610393244,0.793311788,0.629642466,-0.987355367,0.668593588,,,0,0,3,0,0,0,3
3387,C23H27NO6P2,23,27,1,6,0,2,474.1240832,NA,NA,NA,2735.9,2049.4,2682.1,NA,4,1,,0.043478261,0.260869565,1.173913043,12,,-0.52173913,0.441176471,,,0.577346717,-0.789010648,-0.854296413,0.97173312,0.541480791,-0.797765356,0.801008149,,,0,0,3,0,0,0,3
3668,C24H23NO6P2,24,23,1,6,0,2,482.0927832,NA,NA,NA,2437.8,742.1,3275.3,NA,4,1,,0.041666667,0.25,0.958333333,15,,-0.333333333,0.583333333,,,0.21287202,-0.486636144,-0.583664019,0.802517233,0.170399929,-0.969832304,0.503820028,,,0,2,0,0,0,0,2
3689,C24H25NO6P2,24,25,1,6,0,2,484.1084332,NA,4237.7,3561.1,5538.3,NA,5387.5,NA,3,2,,0.041666667,0.25,1.041666667,14,,-0.416666667,0.527777778,,,0.753234906,0.479189596,0.512208372,0.646007573,-0.380185407,-0.768079586,-0.498302182,,,0,2,0,0,0,0,2
4018,C25H25NO6P2,25,25,1,6,0,2,496.1084332,NA,NA,NA,3725.5,2872.3,4643.5,NA,4,1,,0.04,0.24,1,15,,-0.4,0.552631579,,,0.000237283,-0.289743591,-0.397653146,0.657296845,-0.043027325,-0.999488739,0.308617535,,,0,2,0,0,0,0,2
4049,C25H27NO7P2,25,27,1,7,0,2,514.1189978,3258.9,NA,409.1,NA,NA,1695.7,1638,3,1,,0.04,0.28,1.08,14,,-0.4,0.486486486,,,-0.186811969,-0.237356671,-0.226669397,0.886299493,0.372999564,-0.13697428,0.393528117,,,0,0,3,0,0,0,3
4077,C25H29NO7P2,25,29,1,7,0,2,516.1346478,3076.3,NA,292.6,NA,NA,683.7,725.9,3,1,,0.04,0.28,1.16,13,,-0.48,0.432432432,,,-0.443267406,-0.552955302,-0.548529349,0.989142156,0.68300251,0.23263552,0.702342508,,,0,0,3,0,0,0,3
4331,C26H25NO6P2,26,25,1,6,0,2,508.1084332,3706.7,1804.9,NA,NA,1524.8,NA,NA,4,2,,0.038461538,0.230769231,0.961538462,16,,-0.384615385,0.575,,,-0.63541774,-0.670549939,-0.67397479,0.839312575,0.770349425,-0.960101298,0.83022454,,,0,2,0,0,0,0,2
4332,C26H25NO7P2,26,25,1,7,0,2,524.1033478,2504.6,360.2,NA,271.5,NA,987.4,NA,3,2,,0.038461538,0.269230769,0.961538462,16,,-0.307692308,0.564102564,,,-0.534532593,-0.219662132,-0.244071999,0.64234136,0.299490987,-0.07465008,0.507967826,,,0,2,0,0,0,0,2
4360,C26H27NO7P2,26,27,1,7,0,2,526.1189978,NA,NA,565.3,NA,NA,1544,677.6,4,1,,0.038461538,0.269230769,1.038461538,15,,-0.384615385,0.512820513,,,0.998872095,0.208685865,0.254479473,0.994489266,-0.411137771,-0.479341692,-0.478839747,,,0,2,0,0,0,0,2
5002,C28H29NO7P2,28,29,1,7,0,2,552.1346478,1739.3,NA,NA,390.5,NA,690.1,NA,4,2,,0.035714286,0.25,1.035714286,16,,-0.428571429,0.511627907,,,-0.833404158,-0.50020787,-0.514624113,0.651247746,0.533681378,0.395631776,0.665431779,,,0,2,0,0,0,0,2
5063,C28H33NO6P2,28,33,1,6,0,2,540.1710332,NA,NA,208.7,1187.9,NA,1072.4,NA,4,2,,0.035714286,0.214285714,1.178571429,14,,-0.642857143,0.431818182,,,0.749142117,0.363343547,0.407279784,0.715823078,-0.248261089,-0.713128869,-0.41445781,,,0,0,3,0,0,0,3
5680,C30H31NO7P2,30,31,1,7,0,2,578.1502978,2282.1,NA,NA,791.8,NA,805.3,NA,4,2,,0.033333333,0.233333333,1.033333333,17,,-0.466666667,0.510638298,,,-0.703284678,-0.666176592,-0.678560194,0.792232593,0.694826964,0.574495114,0.803590586,,,0,2,0,0,0,0,2
6051,C31H35NO6P2,31,35,1,6,0,2,578.1866832,NA,NA,203.1,NA,NA,714,448.7,4,1,,0.032258065,0.193548387,1.129032258,16,,-0.64516129,0.46,,,0.903122891,0.570027862,0.608062778,0.876939263,-0.731153041,-0.780967373,-0.780610088,,,0,0,3,0,0,0,3
6898,C34H35NO8P2,34,35,1,8,0,2,646.1765124,2551.4,NA,NA,NA,215.4,NA,636.2,4,1,,0.029411765,0.235294118,1.029411765,19,,-0.470588235,0.5,,,-0.792612568,-0.966341263,-0.99405212,0.930439982,0.949858301,0.011302754,0.999663142,,,0,0,3,0,0,0,3
550,C13H17NO5S,13,17,1,5,1,0,298.0754663,NA,NA,NA,NA,619,699.7,914.6,4,0,,0.076923077,0.384615385,1.307692308,6,,-0.153846154,0.235294118,,,-0.939018238,0.519798183,0.075148936,0.646515566,-0.984491673,-0.785968274,0.447613439,,,0,0,3,0,0,0,3
