"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Formula","Mass","inverse_slope"
"181","eicosanol, TMS",2018-12-01,0.000264709440863587,0.971242880151723,60.54346457,0.548701175,2390,2390.322581,"Alcohol","C23H50OSi",NA,3777.72699280239
"182","dodecyl benzene",2018-12-01,0.000347767070015275,0.997071047423438,48.66358532,0.61853587,1920,1920.805369,"Benz","C18H30",NA,2875.48789468789
"183","dimethyl Glutaric Acid, TMS",2018-12-01,0.00388078260929282,0.99836332778335,34.00411893,0.89787465,1456,1456.830601,"Acid","C13H28O4Si2",NA,257.679983827341
"184","dibenz(ah)anthracene",2018-12-01,0.000425700552368324,0.929804687841645,77.79213542,1.51641052,3280,3280.45977,"PAH","C22H14",NA,2349.0690684723
"185","deoxycholic Acid",2018-12-01,0.00169584640635392,0.969821437737395,78.89635496,0.967709345,3347,3347.126437,"Acid","C33H64O4Si3",NA,589.67604392311
"186","cycloisolongifolene",2018-12-01,0.0207252241451873,0.984878024506967,30.04415917,0.648465025,1355,1355.197993,"Sesq","C15H24",NA,48.2503828665329
"187","citronellol",2018-12-01,0.00786313562021937,0.979265647490417,29.32070499,0.528748405,1338,1338.828029,"Alcohol","C13H28OSi",NA,127.175728398807
"188","cis-Vaccenic Acid, TMS",2018-12-01,0.000495823787894591,0.97248936239912,57.45926515,0.688370565,2259,2259.677419,"Acid","C21H42O2Si",NA,2016.84554959794
"189","chrysene",2018-12-01,0.000271533125575549,0.961392727599397,63.627664,1.29693005,2531,2531.578947,"PAH","C18H12",NA,3682.79191675186
"190","cholesterol",2018-12-01,0.000304101891022163,0.982536357312535,76.6117628,0.83801634,3209,3209.195402,"Alcohol","C30H54OSi",NA,3288.37152784138
"191","bisabolol",2018-12-01,0.00835335784850269,0.966427939947995,44.3228602,0.55867756,1770,1770.731707,"Alcohol","C18H34OSi",NA,119.712338216092
"192","beta-sitosterol",2018-12-01,0.000681119584375732,0.949079344164862,79.8863449,0.867945495,3406,3406.593407,"Alcohol","C32H58OSi",NA,1468.1709687096
"193","beta-nocaryophyllonic acid, TMS",2018-12-01,0.00117026896522948,0.967637924019013,50.49125905,1.725914605,1985,1985.234899,"Acid",NA,NA,854.504417113981
"194","beta-nocaryophyllone aldehyde",2018-12-01,0.00259956498190708,0.899416251740879,43.90401831,0.269362395,1757,1757.317073,"Aldehyde",NA,NA,384.679747173077
"195","beta-nocaryophyllinic acid, TMS",2018-12-01,6.89423261072335e-05,0.949588465136751,54.18468305,1.247048125,2127,2127.407407,"Acid",NA,NA,14504.8775761437
"196","beta-caryophyllonic acid, TMS",2018-12-01,0.000305837532303159,0.968158948880822,48.96819761,1.326859205,1931,1931.543624,"Acid",NA,NA,3269.70987657838
"197","beta-caryophyllinic acid, TMS",2018-12-01,0.000369248051284847,0.94187036384501,52.47123893,0.927803805,2060,2060.740741,"Acid",NA,NA,2708.20657419957
"198","beta-caryophyllene aldehyde",2018-12-01,0.0020952420640595,0.901474012866024,42.60941608,1.965347845,1715,1715.853659,"Aldehyde",NA,NA,477.271823219564
"199","benzophenone",2018-12-01,0.000892621747318372,0.958254705872793,41.01020157,1.17721343,1664,1664.634146,"PAH",NA,NA,1120.29535803291
"200","anthraquinone",2018-12-01,0.000395753713439862,0.972491047831465,51.36701938,1.446575825,2017,2017.777778,"PAH",NA,NA,2526.82404748164
"201","abietic acid",2018-12-01,0.000306297341930419,0.964496339234197,62.2569087,0.83801634,2468,2468.421053,"Acid",NA,NA,3264.8014301971
"202","a-Amyrin",2018-12-01,0.000695580384436374,0.992599922090481,81.14287059,1.05749681,3479,3479.120879,"PAH","C33H58OSi",NA,1437.64836153379
"203","Humulene",2018-12-01,0.0277014350363338,0.940835726295951,35.2078327,0.677576316,1490,1490,"Sesq",NA,NA,36.0992128634628
"204","Longifolene",2018-12-01,0.455220073479751,0.886770238952993,33.53448492,0.657647601,1442,1442,"Sesq",NA,NA,2.19673968319519
"205","a-farnesene",2018-12-01,0.416351837789299,0.837537252882828,34.78949576,0.53807531,1478,1478,"Sesq",NA,NA,2.40181478556621
"206","alloaromadendrene",2018-12-01,0.103196365943448,0.97806528746284,35.3219246,0.627754528,1493,1493,"Sesq",NA,NA,9.69026371091405
"207","aromadendrene",2018-12-01,0.154231962732565,0.948364932378631,34.52328134,0.627754528,1470,1470,"Sesq",NA,NA,6.48374034981308
"208","cedrene",2018-12-01,0.457756002910922,0.963958429507823,33.76266871,0.637718886,1449,1449,"Sesq",NA,NA,2.18456993166859
"209","Me-OH-glutatric acid",2018-12-01,0.00252792166930131,0.93023240610384,39.71559934,0.828039955,1623,1623.170732,"Acid","C15H34O5",NA,395.581877454451
"210","MBTCA",2018-12-01,0.000274714475102917,0.998892353352787,44.51324288,0.97768573,1776,1776.829268,"Acid","C17H36O6Si3",NA,3640.1430963016
"211","FAME18 (Methyl Stearate)",2018-12-01,0.000280504035614604,0.994402062331947,55.06044338,0.71829972,2161,2161.481481,"Acid","C19H38O2",NA,3565.01109800054
"212","FAME16 (Methyl Palmitate)",2018-12-01,0.000300723265603384,0.99654709393034,49.69165179,0.728276105,1957,1957.04698,"Acid","C17H34O2",NA,3325.31637681427
"213","DEET",2018-12-01,0.000858512492794484,0.990632249651364,38.99214515,1.785772915,1600,1600,"Amide","C12H17NO",NA,1164.80541447332
"214","C9 acid",2018-12-01,0.00995910270583122,0.970318518149771,31.22453179,0.688370565,1381,1381.906882,"Acid","C12H26O2Si",NA,100.410652398884
"215","C9 Diacid (azelaic acid)",2018-12-01,0.000229440705186109,0.995235764826066,45.88399818,0.947756575,1822,1822.818792,"Acid","C15H32O4Si2",NA,4358.42454018288
"216","C8 acid",2018-12-01,0.00394979037942641,0.939952702078759,27.34072511,0.71829972,1293,1293.392792,"Acid","C11H24O2Si",NA,253.177992738243
"217","C28 acid",2018-12-01,0.00110828870538817,0.971980124401646,77.9825181,0.73825249,3291,3291.954023,"Acid",NA,NA,902.291970619477
"218","C26 acid",2018-12-01,0.000721290703916406,0.9532215389018,74.47947678,0.71829972,3088,3088.172043,"Acid",NA,NA,1386.40356040953
"219","C24 acid",2018-12-01,0.000468264298516057,0.939656971707976,70.78605278,0.69834695,2886,2886.868687,"Acid",NA,NA,2135.54610754872
"220","C22 acid",2018-12-01,0.000357031098401596,0.951967880112505,66.82609303,0.688370565,2684,2684.90566,"Acid",NA,NA,2800.87646279815
"221","C18 Acid",2018-12-01,9.9599262596093e-05,0.843456712103501,57.95426012,0.69834695,2280,2280.645161,"Acid",NA,NA,10040.234976993
"222","C17 acid",2018-12-01,0.000486072667990765,0.966519086696076,55.47928528,0.668417795,2177,2177.777778,"Acid",NA,NA,2057.30555501837
"223","C16 Acid",2018-12-01,0.00013279033584357,0.776333804873773,52.92815736,0.688370565,2078,2078.518519,"Acid",NA,NA,7530.6685057113
"224","C14 Diacid",2018-12-01,0.000284469279409831,0.954146939423006,58.83002045,0.887898265,2317,2317.741935,"Acid",NA,NA,3515.31807608411
"225","C13 acid",2018-12-01,0.000309031714312591,0.988348372115379,44.51324288,0.688370565,1776,1776.829268,"Acid",NA,NA,3235.91383565404
"226","C12 diacid",2018-12-01,0.000244125945988146,0.978137942655444,53.99430037,0.907851035,2120,2120,"Acid",NA,NA,4096.24628776064
"227","C10 diacid (sebacic acid)",2018-12-01,0.000193763223012435,0.991047346381714,48.70166185,0.93778019,1922,1922.147651,"Acid",NA,NA,5160.93809987784
"228","C10 carboxylic acid",2018-12-01,0.0063613047926893,0.985894941050421,34.80372618,0.688370565,1479,1479.781421,"Acid",NA,NA,157.200453773139
"229","C35",2018-12-01,0.00115917476181327,0.986367186029218,82.6278555,0.71829972,3564,3564.835165,"Alkane",NA,NA,862.682688532424
"230","C33",2018-12-01,0.000657470493052531,0.964972082861332,79.16289072,0.63848864,3363,3363.218391,"Alkane",NA,NA,1520.98080532429
"231","C32",2018-12-01,0.000557297703900792,0.970919658511316,77.44944659,0.628512255,3259,3259.770115,"Alkane",NA,NA,1794.37308461981
"232","C31",2018-12-01,0.000470727182275462,0.974299409649417,75.73600247,0.61853587,3159,3159.139785,"Alkane",NA,NA,2124.37275273986
"233","C30",2018-12-01,0.000428027213865814,0.974976407404274,73.94640527,0.5985831,3058,3058.064516,"Alkane",NA,NA,2336.30004729909
"234","C29",2018-12-01,0.000375576446752323,0.963293732759404,72.08065501,0.588606715,2955,2955.555556,"Alkane",NA,NA,2662.57378130918
"235","C28",2018-12-01,0.000291896584564369,0.969937014363428,70.13875167,0.57863033,2852,2852.525253,"Alkane",NA,NA,3425.87084906257
"236","C27",2018-12-01,0.000303991968283747,0.969907928366882,68.15877179,0.568653945,2750,2750.943396,"Alkane",NA,NA,3289.56059479373
"237","C26",2018-12-01,0.000461329245763925,0.98765660594139,66.10263884,0.568653945,2649,2649.056604,"Alkane",NA,NA,2167.64926390929
"238","C25",2018-12-01,0.000274648181118847,0.984333643902508,63.93227628,0.55867756,2545,2545.614035,"Alkane",NA,NA,3641.02174617088
"239","C24",2018-12-01,0.000252664401299715,0.990350621427487,61.72383719,0.548701175,2443,2443.859649,"Alkane",NA,NA,3957.81912630337
"240","C23",2018-12-01,0.000259671696566766,0.995561568622233,59.40116849,0.548701175,2341,2341.935484,"Alkane",NA,NA,3851.01654597494
"241","C22",2018-12-01,0.000258507751946922,0.998197218795933,56.96427018,0.53872479,2238,2238.709677,"Alkane",NA,NA,3868.35594858805
"242","C21",2018-12-01,0.000272823972373738,0.99868070660001,54.4512188,0.51877202,2137,2137.777778,"Alkane",NA,NA,3665.36705443946
"243","C20",2018-12-01,0.000284964656670058,0.997434530673186,51.78586128,0.51877202,2034,2034.074074,"Alkane",NA,NA,3509.20711250812
"244","C19",2018-12-01,0.00030052600681671,0.999154885732884,49.04435068,0.508795635,1934,1934.228188,"Alkane",NA,NA,3327.49904273641
"245","C17",2018-12-01,0.000649245849063327,0.952476219548859,43.06633451,0.488842865,1730,1730.487805,"Alkane",NA,NA,1540.24858448107
"246","C16",2018-12-01,0.00272375679199613,0.902120076077596,39.82982895,0.488842865,1626,1626.829268,"Alkane",NA,NA,367.139974809257
"247","C14",2018-12-01,0.033372595492708,0.946574679522107,32.82374631,0.468890095,1422,1422.95082,"Alkane",NA,NA,29.9647056285599
"248","9H-Florenone",2018-12-01,0.000285915386578602,0.997434019063018,44.55131942,1.386717515,1778,1778.04878,"Ketone",NA,NA,3497.53824712433
"249","4-terpineol",2018-12-01,0.0250057890647064,0.986538615041154,23.87576033,0.77815803,1206,1206.678663,"Alcohol",NA,NA,39.9907396408226
"250","4-nitrocatechol",2018-12-01,0.000458965375344198,0.957606669868763,44.28478367,1.566292445,1769,1769.512195,"Cat",NA,NA,2178.81359623274
"251","4-hydroxybenzoic acid",2018-12-01,0.000943657275538065,0.999001581522644,40.59135967,0.887898265,1651,1651.219512,"Acid",NA,NA,1059.70676634672
"252","4, 4 dimethoxy-benzophenone",2018-12-01,0.000345888091803325,0.946436785552483,58.25887241,1.446575825,2293,2293.548387,"Ketone",NA,NA,2891.10849346212
"253","3-5-dimethoxyphenol",2018-12-01,0.00127282178047786,0.961373910890492,36.4029407,0.87792188,1525,1525.68306,"Alcohol",NA,NA,785.655945975851
"254","2-Ketoglutaric acid, tri-TMS",2018-12-01,0.024792524112063,0.921250022167191,39.90598202,0.7981108,1629,1629.268293,"Acid",NA,NA,40.3347394351606
"255","16-OH C16 Acid, TMS",2018-12-01,0.000332769003492458,0.953544242687343,61.4192249,0.688370565,2429,2429.824561,"Acid",NA,NA,3005.08758179055
"256","12-OH C18 Acid, TMS",2018-12-01,0.000480869906896963,0.97781817167224,62.29498523,0.69834695,2470,2470.175439,"Acid",NA,NA,2079.564525992
"257","xanthone",2018-12-04,0.00048665040665778,0.952891201072335,48.24474342,1.37674113,1906,1906.040268,"Ketone",NA,NA,2054.86317553458
"258","verbenone (-)",2018-12-04,0.0427077294926366,0.958533639835745,25.09420948,2.065111695,1237,1237.171543,"Ketone",NA,NA,23.4149652037206
"259","vanillin",2018-12-04,0.00121389776449559,0.997872257298658,37.54523678,1.33683559,1558,1558.469945,"Aldehyde",NA,NA,823.792603667518
"260","vanillic acid",2018-12-04,0.000291907072079573,0.996755247670769,44.89400825,0.87792188,1789,1789.02439,"Acid",NA,NA,3425.74776580748
"261","tridecanal",2018-12-04,0.00708375557587981,0.887142114670536,36.8217826,0.927803805,1537,1537.704918,"Aldehyde",NA,NA,141.168055459875
"262","triacetin",2018-12-04,0.00369630597815811,0.951024498069409,30.386848,2.11499362,1362,1362.952186,"Misc",NA,NA,270.540373526735
"263","threitol",2018-12-04,0.00134730223362372,0.907993311948758,36.25063456,0.528748405,1521,1521.311475,"Alcohol",NA,NA,742.223960625662
"264","syringol",2018-12-04,0.00369129582831717,0.99220043754156,32.67144016,0.81806357,1418,1418.579235,"Alcohol",NA,NA,270.907574605282
"265","syringic acid",2018-12-04,0.000280378888905194,0.987852073817127,48.77781493,0.87792188,1924,1924.832215,"Acid",NA,NA,3566.60233552083
"266","syringaldehyde",2018-12-04,0.000325166119523673,0.998208903149557,42.95210491,1.326859205,1726,1726.829268,"Aldehyde",NA,NA,3075.35115117427
"267","stigmasterol",2018-12-04,0.00118807891278716,0.994388971752586,78.85827843,0.85796911,3344,3344.827586,"Misc",NA,NA,841.694932244917
"268","squalene",2018-12-04,0.000420911777192557,0.922226921932894,70.44336395,0.5985831,2868,2868.686869,"Misc",NA,NA,2375.79477264787
"269","sinapinaldehyde",2018-12-04,0.000501812618588552,0.986131254484321,51.74778474,1.53636329,2032,2032.592593,"Aldehyde",NA,NA,1992.77571539093
"270","retene",2018-12-04,0.000216380481364312,0.986392705299885,57.64964783,1.047520425,2267,2267.741935,"PAH",NA,NA,4621.48893326628
"271","resorcinol",2018-12-04,0.00164282557014853,0.905195690935031,31.98606251,0.728276105,1399,1399.138423,"Cat",NA,NA,608.707350415534
"272","quinoline",2018-12-04,0.00152194133254296,0.996922503846021,26.73150054,1.09740235,1278,1278.146352,"PAH",NA,NA,657.055550445651
"273","pyrocatechol",2018-12-04,0.00699633380501413,0.964506211888929,29.35878153,0.67839418,1339,1339.689606,"Cat",NA,NA,142.932002370059
"274","pyrene",2018-12-04,0.000232482825801056,0.991312749805265,55.32697913,1.21711897,2171,2171.851852,"PAH",NA,NA,4301.39300206088
"275","pinonic acid",2018-12-04,0.00285740642204706,0.994289780087928,37.27870103,1.466528595,1550,1550.819672,"Acid",NA,NA,349.967716277334
"276","pinic acid 2",2018-12-04,0.00174342906718368,0.986363751778661,42.03826804,0.97768573,1697,1697.560976,"Acid",NA,NA,573.582268887712
"277","pinic acid 1",2018-12-04,0.0012368523656299,0.99382102969008,41.8859619,0.967709345,1692,1692.682927,"Acid",NA,NA,808.503931259997
"278","phthalimide",2018-12-04,0.00225038758511528,0.453814688590148,38.76368594,1.13730789,1593,1593.442623,"Amide",NA,NA,444.367897607634
"279","phthalic acid",2018-12-04,0.00127113905717948,0.977380605531984,42.57133954,1.107378735,1714,1714.634146,"Acid",NA,NA,786.695990774521
"280","perylene",2018-12-04,0.000247498849582255,0.953298109393464,72.30911422,1.45655221,2967,2967.676768,"PAH",NA,NA,4040.4228209055
"281","pentadecanone",2018-12-04,0.00068226468068038,0.997754392057457,42.95210491,0.947756575,1726,1726.829268,"Ketone",NA,NA,1465.70682656878
"282","palmitoleic Acid",2018-12-04,0.000591499943023422,0.982998977801789,52.35700932,0.708323335,2056,2056.296296,"Acid",NA,NA,1690.61723808214
"283","p-anisic acid (4-methozybenzoic acid)",2018-12-04,0.00154893337704908,0.990101800210402,37.05024181,0.967709345,1544,1544.262295,"Acid",NA,NA,645.605559811185
"284","oleic Acid, TMS",2018-12-04,0.000348198414142082,0.983863829979246,57.26888247,0.69834695,2251,2251.612903,"Acid",NA,NA,2871.92577388348
"285","octadecanone",2018-12-04,0.000385542015273348,0.988622956343611,51.7097082,0.847992725,2031,2031.111111,"Ketone",NA,NA,2593.75103201399
"286","octadecanol",2018-12-04,0.000161172033788748,0.996246219589898,55.8219741,0.548701175,2191,2191.111111,"Alcohol",NA,NA,6204.55035835014
"287","octadecanal",2018-12-04,0.00128189385377176,0.976400011608896,52.35700932,0.867945495,2056,2056.296296,"Aldehyde",NA,NA,780.095791127843
"288","monostearin TMS",2018-12-04,0.00777135074605594,0.9631283194065,68.92030251,0.708323335,2788,2788.679245,"Alcohol",NA,NA,128.677759205182
"289","monopalmitin",2018-12-04,0.000672875541429322,0.965061034999452,65.68379694,0.748228875,2628,2628.301887,"Alcohol",NA,NA,1486.15893791562
"290","mannosan",2018-12-04,0.00596480144716445,0.926051475315727,42.30480379,0.85796911,1706,1706.097561,"Sugar",NA,NA,167.65017391742
"291","maltol",2018-12-04,0.0342126706655877,0.872688158396097,28.33071505,1.09740235,1316,1316.427025,"Alcohol",NA,NA,29.2289371319333
"292","lupeol",2018-12-04,0.000697589548612662,0.925342503875055,81.21902366,1.03754404,3483,3483.516484,"Misc",NA,NA,1433.50771522991
"293","linoleic Acid, TMS",2018-12-04,0.000723614909652067,0.950022713682406,57.11657633,0.69834695,2245,2245.16129,"Acid",NA,NA,1381.95051906936
"294","levoglucosan",2018-12-04,0.00208070934550675,0.998452197012711,42.95210491,0.847992725,1726,1726.829268,"Sugar",NA,NA,480.605329215961
"295","ketopinic acid",2018-12-04,0.00211440034501839,0.930582943473572,36.55524684,1.326859205,1530,1530.054645,"Acid",NA,NA,472.947331074759
"296","isopimaric acid",2018-12-04,0.000339875024856379,0.987628324318005,60.42923497,0.867945495,2385,2385.483871,"Acid",NA,NA,2942.25796797682
"297","isoeugenol",2018-12-04,0.00263894766236409,0.879020788149975,38.68753286,0.77815803,1591,1591.256831,"Alcohol",NA,NA,378.938928672861
"298","ionone",2018-12-04,0.00776975495341622,0.837674737000744,33.73758317,1.33683559,1449,1449.180328,"Ketone",NA,NA,128.704187711907
"299","hydroquinone",2018-12-04,0.00143063789592598,0.888550001164651,32.74759324,0.728276105,1420,1420.765027,"Benz",NA,NA,698.988893589145
"300","homosalate, TMS",2018-12-04,0.000343721259521766,0.982740450967339,52.31893278,0.927803805,2054,2054.814815,"Misc",NA,NA,2909.33415463257
"301","hexadecanol, TMS",2018-12-04,0.000275552382636937,0.9961924895623,50.60548866,0.528748405,1989,1989.261745,"Alcohol",NA,NA,3629.07404548769
"302","hexadecanamide",2018-12-04,0.00104204355547956,0.913821612111181,56.35504561,1.227095355,2212,2212.903226,"Amide",NA,NA,959.652784897064
"303","glyceric acid",2018-12-04,0.00149162992905149,0.765107748111074,29.92992957,0.688370565,1352,1352.613262,"Acid",NA,NA,670.407572631564
"304","gamma dodecalactone",2018-12-04,0.000577323233815277,0.992707325606596,42.4190334,1.89551315,1709,1709.756098,"Sugar","C12H22O2",NA,1732.13191749003
"305","galactosan",2018-12-04,0.00895921884719098,0.931100315000735,41.61942614,0.83801634,1684,1684.146341,"Sugar","C15H34O5Si3",NA,111.616873865464
"306","erythreitol",2018-12-04,0.00109914879301936,0.977609900400304,36.51717031,0.53872479,1528,1528.961749,"Alcohol",NA,NA,909.794930723619
"307","ergosterol",2018-12-04,0.00208132416254448,0.897324486782497,78.05867117,0.83801634,3296,3296.551724,"Alcohol","C31H52OSi",NA,480.463359814874
"308","eicosanol, TMS",2018-12-04,0.000277166001906208,0.964528087430655,60.54346457,0.548701175,2390,2390.322581,"Alcohol","C23H50OSi",NA,3607.94611576638
"309","dodecyl benzene",2018-12-04,0.000396996215162834,0.998467712079304,48.66358532,0.61853587,1920,1920.805369,"Benz","C18H30",NA,2518.91570197926
"310","dimethyl Glutaric Acid, TMS",2018-12-04,0.00291152165359932,0.894144944564376,34.00411893,0.89787465,1456,1456.830601,"Acid","C13H28O4Si2",NA,343.463013151136
"311","dibenz(ah)anthracene",2018-12-04,0.000556662525964753,0.931333929837903,77.79213542,1.51641052,3280,3280.45977,"PAH","C22H14",NA,1796.4205480994
"312","deoxycholic Acid",2018-12-04,0.00287408750220648,0.92458873535992,78.89635496,0.967709345,3347,3347.126437,"Acid","C33H64O4Si3",NA,347.936518714995
"313","cycloisolongifolene",2018-12-04,0.0192293291157035,0.99223217917071,30.04415917,0.648465025,1355,1355.197993,"Sesq","C15H24",NA,52.0038943627709
"314","citronellol",2018-12-04,0.00460856258762528,0.888502386041856,29.32070499,0.528748405,1338,1338.828029,"Alcohol","C13H28OSi",NA,216.987397043312
"315","cis-Vaccenic Acid, TMS",2018-12-04,0.000621495386300166,0.97096921226518,57.45926515,0.688370565,2259,2259.677419,"Acid","C21H42O2Si",NA,1609.02240313177
"316","chrysene",2018-12-04,0.000319556019843776,0.951605876997632,63.627664,1.29693005,2531,2531.578947,"PAH","C18H12",NA,3129.34176764649
"317","cholesterol",2018-12-04,0.000473446542287058,0.983153781628613,76.6117628,0.83801634,3209,3209.195402,"Alcohol","C30H54OSi",NA,2112.17088030539
"318","bisabolol",2018-12-04,0.0159623251663745,0.917176085967893,44.3228602,0.55867756,1770,1770.731707,"Alcohol","C18H34OSi",NA,62.6475146682613
"319","beta-sitosterol",2018-12-04,0.00140130131943949,0.977227580468077,79.8863449,0.867945495,3406,3406.593407,"Alcohol","C32H58OSi",NA,713.622392363114
"320","beta-nocaryophyllonic acid, TMS",2018-12-04,0.00136942625069031,0.982891090024959,50.49125905,1.725914605,1985,1985.234899,"Acid",NA,NA,730.232825240435
"321","beta-nocaryophyllone aldehyde",2018-12-04,0.00371543244604222,0.964517327068019,43.90401831,0.269362395,1757,1757.317073,"Aldehyde",NA,NA,269.147673796418
"322","beta-nocaryophyllinic acid, TMS",2018-12-04,0.000162262751266763,0.779391168030059,54.18468305,1.247048125,2127,2127.407407,"Acid",NA,NA,6162.84385783638
"323","beta-caryophyllonic acid, TMS",2018-12-04,0.000367175418099078,0.963703817976772,48.96819761,1.326859205,1931,1931.543624,"Acid",NA,NA,2723.49386889011
"324","beta-caryophyllinic acid, TMS",2018-12-04,0.000486389315054157,0.950957332685331,52.47123893,0.927803805,2060,2060.740741,"Acid",NA,NA,2055.96621687435
"325","beta-caryophyllene aldehyde",2018-12-04,0.00318859272235624,0.962205893319284,42.60941608,1.965347845,1715,1715.853659,"Aldehyde",NA,NA,313.617977294084
"326","benzophenone",2018-12-04,0.000756671289587966,0.977059177766808,41.01020157,1.17721343,1664,1664.634146,"PAH",NA,NA,1321.57782878816
"327","anthraquinone",2018-12-04,0.000454798873496531,0.966015862589727,51.36701938,1.446575825,2017,2017.777778,"PAH",NA,NA,2198.77413572272
"328","abietic acid",2018-12-04,0.000364754454936659,0.973243474122087,62.2569087,0.83801634,2468,2468.421053,"Acid",NA,NA,2741.57035360583
"329","a-Amyrin",2018-12-04,0.000375282806344632,0.917082361825202,81.14287059,1.05749681,3479,3479.120879,"PAH","C33H58OSi",NA,2664.65711483108
"330","Humulene",2018-12-04,0.00673957448408409,0.822858281914311,35.2078327,0.677576316,1490,1490,"Sesq",NA,NA,148.377320016503
"331","Longifolene",2018-12-04,0.0106503301493419,0.782609846619399,33.53448492,0.657647601,1442,1442,"Sesq",NA,NA,93.8938029129356
"332","a-farnesene",2018-12-04,0.19668432640113,0.982709759635246,34.78949576,0.53807531,1478,1478,"Sesq",NA,NA,5.08428921763975
"333","alloaromadendrene",2018-12-04,0.0104764137811009,0.824769565876573,35.3219246,0.627754528,1493,1493,"Sesq",NA,NA,95.4525108395366
"334","aromadendrene",2018-12-04,0.0155616751126003,0.829146278243347,34.52328134,0.627754528,1470,1470,"Sesq",NA,NA,64.2604342247386
"335","caryophyllene",2018-12-04,0.0122258059513778,0.834640780157563,33.83872997,0.667611959,1451,1451,"Sesq",NA,NA,81.7941985973775
"336","cedrene",2018-12-04,0.0083269516197573,0.776445445496265,33.76266871,0.637718886,1449,1449,"Sesq",NA,NA,120.091967104421
"337","Me-OH-glutatric acid",2018-12-04,0.00395462843293674,0.898316143562352,39.71559934,0.828039955,1623,1623.170732,"Acid","C15H34O5",NA,252.868257273261
"338","MBTCA",2018-12-04,0.000488894275239967,0.767437951621085,44.51324288,0.97768573,1776,1776.829268,"Acid","C17H36O6Si3",NA,2045.43200983314
"339","FAME18 (Methyl Stearate)",2018-12-04,0.000363634387234047,0.988555604950063,55.06044338,0.71829972,2161,2161.481481,"Acid","C19H38O2",NA,2750.01494662375
"340","FAME16 (Methyl Palmitate)",2018-12-04,0.000376154453933558,0.994928262846858,49.69165179,0.728276105,1957,1957.04698,"Acid","C17H34O2",NA,2658.48241205894
"341","DEET",2018-12-04,0.000619378881480306,0.987325517800713,38.99214515,1.785772915,1600,1600,"Amide","C12H17NO",NA,1614.52065916425
"342","C9 acid",2018-12-04,0.00260906967387551,0.809849875858004,31.22453179,0.688370565,1381,1381.906882,"Acid","C12H26O2Si",NA,383.278380801001
"343","C9 Diacid (azelaic acid)",2018-12-04,0.000297351690398932,0.993216814268752,45.88399818,0.947756575,1822,1822.818792,"Acid","C15H32O4Si2",NA,3363.02106996056
"344","C8 acid",2018-12-04,0.00968897971224802,0.974699457611447,27.34072511,0.71829972,1293,1293.392792,"Acid","C11H24O2Si",NA,103.21004168642
"345","C28 acid",2018-12-04,0.00189835133504506,0.980862692016499,77.9825181,0.73825249,3291,3291.954023,"Acid",NA,NA,526.772879992871
"346","C26 acid",2018-12-04,0.00149976091679109,0.985375484553882,74.47947678,0.71829972,3088,3088.172043,"Acid",NA,NA,666.772942809856
"347","C24 acid",2018-12-04,0.000844201842540516,0.96794606209588,70.78605278,0.69834695,2886,2886.868687,"Acid",NA,NA,1184.55083797333
"348","C22 acid",2018-12-04,0.00056527856290029,0.957788002435646,66.82609303,0.688370565,2684,2684.90566,"Acid",NA,NA,1769.03931199739
"349","C18 Acid",2018-12-04,0.000104026262977991,0.851104748382038,57.95426012,0.69834695,2280,2280.645161,"Acid",NA,NA,9612.95706846233
"350","C17 acid",2018-12-04,0.000683676531489246,0.957250289698739,55.47928528,0.668417795,2177,2177.777778,"Acid",NA,NA,1462.68001597438
"351","C16 Acid",2018-12-04,0.000124823261355873,0.741821132128751,52.92815736,0.688370565,2078,2078.518519,"Acid",NA,NA,8011.32728898168
"352","C14 Diacid",2018-12-04,0.000489630514634967,0.964299884406679,58.83002045,0.887898265,2317,2317.741935,"Acid",NA,NA,2042.35636895615
"353","C13 acid",2018-12-04,0.000372624437683305,0.9934094032083,44.51324288,0.688370565,1776,1776.829268,"Acid",NA,NA,2683.6672501064
"354","C12 diacid",2018-12-04,0.000350342097416134,0.974738602608512,53.99430037,0.907851035,2120,2120,"Acid",NA,NA,2854.35295208673
"355","C10 diacid (sebacic acid)",2018-12-04,0.0003180373512462,0.983721875664556,48.70166185,0.93778019,1922,1922.147651,"Acid",NA,NA,3144.28477058305
"356","C10 carboxylic acid",2018-12-04,0.00361417758725674,0.882975342685163,34.80372618,0.688370565,1479,1479.781421,"Acid",NA,NA,276.688119456528
"357","C35",2018-12-04,0.00131129414471848,0.990666252869685,82.6278555,0.71829972,3564,3564.835165,"Alkane",NA,NA,762.605403240545
"358","C33",2018-12-04,0.000915789553989708,0.989705485109265,79.16289072,0.63848864,3363,3363.218391,"Alkane",NA,NA,1091.95392723516
"359","C32",2018-12-04,0.000793031645108994,0.985094876194424,77.44944659,0.628512255,3259,3259.770115,"Alkane",NA,NA,1260.98372765763
"360","C31",2018-12-04,0.000657990992633572,0.972580048057413,75.73600247,0.61853587,3159,3159.139785,"Alkane",NA,NA,1519.77764315216
"361","C30",2018-12-04,0.000521696725665036,0.962132112070505,73.94640527,0.5985831,3058,3058.064516,"Alkane",NA,NA,1916.82245796203
"362","C29",2018-12-04,0.000426842964267815,0.948670451402432,72.08065501,0.588606715,2955,2955.555556,"Alkane",NA,NA,2342.78196834133
