"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Formula","Mass","inverse_slope"
"35","maltol",2018-11-27,0.0107826290284223,0.888884724281474,28.33071505,1.09740235,1316,1316.427025,"Alcohol",NA,NA,92.7417606006909
"36","lupeol",2018-11-27,0.000261950203320695,0.966179344945914,81.21902366,1.03754404,3483,3483.516484,"Misc",NA,NA,3817.51946485699
"37","linoleic Acid, TMS",2018-11-27,0.000453834565263641,0.949364686964411,57.11657633,0.69834695,2245,2245.16129,"Acid",NA,NA,2203.44609366429
"38","levoglucosan",2018-11-27,0.00127868255887107,0.987771574225393,42.95210491,0.847992725,1726,1726.829268,"Sugar",NA,NA,782.054930727204
"39","ketopinic acid",2018-11-27,0.000927272926275902,0.887532742032953,36.55524684,1.326859205,1530,1530.054645,"Acid",NA,NA,1078.43114110555
"40","isopimaric acid",2018-11-27,0.000258075648850076,0.993201898134644,60.42923497,0.867945495,2385,2385.483871,"Acid",NA,NA,3874.83284244663
"41","isoeugenol",2018-11-27,0.00210968169265954,0.881039767954389,38.68753286,0.77815803,1591,1591.256831,"Alcohol",NA,NA,474.005156076112
"42","ionone",2018-11-27,0.00430930635798714,0.843950555754555,33.73758317,1.33683559,1449,1449.180328,"Ketone",NA,NA,232.055908057346
"43","hydroquinone",2018-11-27,0.00114237211120451,0.86480030729544,32.74759324,0.728276105,1420,1420.765027,"Benz",NA,NA,875.371510028905
"44","homosalate, TMS",2018-11-27,0.000328078544091332,0.957555118707335,52.31893278,0.927803805,2054,2054.814815,"Misc",NA,NA,3048.0505903538
"45","hexadecanol, TMS",2018-11-27,0.000208662457703134,0.998764734099365,50.60548866,0.528748405,1989,1989.261745,"Alcohol",NA,NA,4792.42893526497
"46","hexadecanamide",2018-11-27,0.000655681913304626,0.928611859704988,56.35504561,1.227095355,2212,2212.903226,"Amide",NA,NA,1525.12976141132
"47","glyceric acid",2018-11-27,0.00146231398202291,0.789843181109449,29.92992957,0.688370565,1352,1352.613262,"Acid",NA,NA,683.847663561717
"48","gamma dodecalactone",2018-11-27,0.00044544039549451,0.983576708777524,42.4190334,1.89551315,1709,1709.756098,"Sugar","C12H22O2",NA,2244.9692711184
"49","galactosan",2018-11-27,0.00342411581348522,0.966756720979768,41.61942614,0.83801634,1684,1684.146341,"Sugar","C15H34O5Si3",NA,292.046196586486
"50","erythreitol",2018-11-27,0.000778551017522229,0.969287259767672,36.51717031,0.53872479,1528,1528.961749,"Alcohol",NA,NA,1284.43734256817
"51","ergosterol",2018-11-27,0.000800646732883113,0.873664973246593,78.05867117,0.83801634,3296,3296.551724,"Alcohol","C31H52OSi",NA,1248.990296131
"52","eicosanol, TMS",2018-11-27,0.000197518881685245,0.982039272389993,60.54346457,0.548701175,2390,2390.322581,"Alcohol","C23H50OSi",NA,5062.8071173142
"53","dodecyl benzene",2018-11-27,0.000329515419744944,0.996973205086227,48.66358532,0.61853587,1920,1920.805369,"Benz","C18H30",NA,3034.75934684341
"54","dimethyl Glutaric Acid, TMS",2018-11-27,0.00140250156969736,0.911930734787084,34.00411893,0.89787465,1456,1456.830601,"Acid","C13H28O4Si2",NA,713.011679705846
"55","dibenz(ah)anthracene",2018-11-27,0.000317537244574616,0.929805712967564,77.79213542,1.51641052,3280,3280.45977,"PAH","C22H14",NA,3149.23687562899
"56","deoxycholic Acid",2018-11-27,0.00130549083046314,0.801745129347421,78.89635496,0.967709345,3347,3347.126437,"Acid","C33H64O4Si3",NA,765.995422308127
"57","cycloisolongifolene",2018-11-27,0.0146699500148089,0.996011447905698,30.04415917,0.648465025,1355,1355.197993,"Sesq","C15H24",NA,68.166558099416
"58","citronellol",2018-11-27,0.00486311455050701,0.964474958634925,29.32070499,0.528748405,1338,1338.828029,"Alcohol","C13H28OSi",NA,205.629538357418
"59","cis-Vaccenic Acid, TMS",2018-11-27,0.000418878099567235,0.96939570248031,57.45926515,0.688370565,2259,2259.677419,"Acid","C21H42O2Si",NA,2387.32939495561
"60","chrysene",2018-11-27,0.000232119259266467,0.96265508245446,63.627664,1.29693005,2531,2531.578947,"PAH","C18H12",NA,4308.13023943018
"61","cholesterol",2018-11-27,0.000239612374283925,0.976457602831227,76.6117628,0.83801634,3209,3209.195402,"Alcohol","C30H54OSi",NA,4173.40716642232
"62","bisabolol",2018-11-27,0.00490621769499841,0.975231018668579,44.3228602,0.55867756,1770,1770.731707,"Alcohol","C18H34OSi",NA,203.822998115114
"63","beta-sitosterol",2018-11-27,0.00048741669012624,0.968578258932837,79.8863449,0.867945495,3406,3406.593407,"Alcohol","C32H58OSi",NA,2051.6326589904
"64","beta-nocaryophyllonic acid, TMS",2018-11-27,0.000961569603987629,0.985192856038025,50.49125905,1.725914605,1985,1985.234899,"Acid",NA,NA,1039.9663174179
"65","beta-nocaryophyllone aldehyde",2018-11-27,0.00324227583382734,0.954261783624734,43.90401831,0.269362395,1757,1757.317073,"Aldehyde",NA,NA,308.425331850792
"66","beta-nocaryophyllinic acid, TMS",2018-11-27,0.000106760343076124,0.587718335922543,54.18468305,1.247048125,2127,2127.407407,"Acid",NA,NA,9366.77394608002
