"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat"
"52","ergosterol",2020-11-27,0.641652535125038,0.868659605900267,78.05867117,0.83801634,3296,3296.551724,"Alcohol"
"53","eicosanol, TMS",2020-11-27,5.57787133755683,0.976980360827424,60.54346457,0.548701175,2390,2390.322581,"Alcohol"
"54","dodecyl benzene",2020-11-27,4.91706890188584,0.997034496814881,48.66358532,0.61853587,1920,1920.805369,"Benz"
"55","dimethyl Glutaric Acid, TMS",2020-11-27,3.95677786777297,0.919883060547472,34.00411893,0.89787465,1456,1456.830601,"Acid"
"56","dibenz(ah)anthracene",2020-11-27,0.0161105305085579,0.921603524132636,77.79213542,1.51641052,3280,3280.45977,"PAH"
"57","deoxycholic Acid (maybe)",2020-11-27,3.6199118081321,0.983199990011682,78.89635496,0.967709345,3347,3347.126437,"Acid"
"58","cycloisolongifolene",2020-11-27,32.7732632004215,0.969503716126557,30.04415917,0.648465025,1355,1355.197993,"Sesq"
"59","citronellol",2020-11-27,27.3210196137312,0.967966349700156,29.32070499,0.528748405,1338,1338.828029,"Alcohol"
"60","cis-Vaccenic Acid, TMS",2020-11-27,1.65061283221047,0.855258117547908,57.45926515,0.688370565,2259,2259.677419,"Acid"
"61","chrysene",2020-11-27,0.2835296062781,0.957804122885072,63.627664,1.29693005,2531,2531.578947,"PAH"
"62","cholesterol",2020-11-27,0.203547624365986,0.974562260674021,76.6117628,0.83801634,3209,3209.195402,"Alcohol"
"63","borneol",2020-11-27,4.50831174273819,0.944190217339188,25.77958713,0.61853587,1254,1254.323789,"Alcohol"
"64","bisabolol",2020-11-27,93.3400038686861,0.975396798944252,44.3228602,0.55867756,1770,1770.731707,"Alcohol"
"65","beta-sitosterol",2020-11-27,0.400829204321096,0.971347373506587,79.8863449,0.867945495,3406,3406.593407,"Alcohol"
"66","beta-nocaryophyllonic acid, TMS",2020-11-27,0.0514895884502472,0.98195757562708,50.49125905,1.725914605,1985,1985.234899,"Acid"
"67","beta-nocaryophyllone aldehyde",2020-11-27,152.617951875582,0.958297812200036,43.90401831,0.269362395,1757,1757.317073,"Aldehyde"
"68","beta-nocaryophyllinic acid, TMS",2020-11-27,0.26928499055579,0.560874843713646,54.18468305,1.247048125,2127,2127.407407,"Acid"
"69","beta-caryophyllonic acid, TMS",2020-11-27,0.242752016162264,0.957423053140704,48.96819761,1.326859205,1931,1931.543624,"Acid"
"70","beta-caryophyllinic acid, TMS",2020-11-27,1.74079740181286,0.966711721413709,52.47123893,0.927803805,2060,2060.740741,"Acid"
