Name,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Haofei_cat
"dimethyl Glutaric Acid, TMS",C7H12O4,,34.00411893,0.89787465,1456,1456.830601,Acid,
dodecyl benzene,C18H30,,48.66358532,0.61853587,1920,1920.805369,Benz,
"eicosanol, TMS",C20H42O,,60.54346457,0.548701175,2390,2390.322581,Alcohol,
ergosterol,C28H44O,,78.05867117,0.83801634,3296,3296.551724,Alcohol,
erythreitol,C4H10O4,,36.51717031,0.53872479,1528,1528.961749,Alcohol,
FAME16 (Methyl Palmitate),C17H34O2,,49.69165179,0.728276105,1957,1957.04698,Acid,
FAME18 (Methyl Stearate),C19H38O2,,55.06044338,0.71829972,2161,2161.481481,Acid,
farnesol,C15H26O,,46.15053394,0.548701175,1832,1832.214765,Alcohol,
galactosan,C6H10O5,,41.61942614,0.83801634,1684,1684.146341,Sugar,
gamma dodecalactone,C12H22O2,,42.4190334,1.89551315,1709,1709.756098,Sugar,
glyceric acid (?),C3H6O4,,29.92992957,0.688370565,1352,1352.613262,Acid,
hexadecanamide,C16H33NO,,56.35504561,1.227095355,2212,2212.903226,Amide,
"hexadecanol, TMS",C13H35O,,50.60548866,0.528748405,1989,1989.261745,Alcohol,
"homosalate, TMS",C16H22O3,,52.31893278,0.927803805,2054,2054.814815,Misc,
hydroquinone,C6H6O2,,32.74759324,0.728276105,1420,1420.765027,Benz,
ionone,C13H20O,,33.73758317,1.33683559,1449,1449.180328,Ketone,
isoeugenol,C10H12O2,,38.68753286,0.77815803,1591,1591.256831,Alcohol,
isopimaric acid,C20H30O2,,60.42923497,0.867945495,2385,2385.483871,Acid,
ketopinic acid,C10H14O3,,36.55524684,1.326859205,1530,1530.054645,Acid,
levoglucosan,C6H10O5,,42.95210491,0.847992725,1726,1726.829268,Sugar,
"linoleic Acid, TMS",C18H32O2,,57.11657633,0.69834695,2245,2245.16129,Acid,
lupeol,C30H50O,,81.21902366,1.03754404,3483,3483.516484,Misc,
maltol,C6H6O3,,28.33071505,1.09740235,1316,1316.427025,Alcohol,
mannosan,C6H10O5,,42.30480379,0.85796911,1706,1706.097561,Sugar,
MBTCA,C8H12O6,,44.51324288,0.97768573,1776,1776.829268,Acid,
Me-OH-glutatric acid (?),,,39.71559934,0.828039955,1623,1623.170732,Acid,
monopalmitin,,,65.68379694,0.748228875,2628,2628.301887,Alcohol,
monostearin TMS,,,68.92030251,0.708323335,2788,2788.679245,Alcohol,
nonanol,,,28.40686812,0.508795635,1318,1318.150179,Alcohol,
octadecanal (?),,,52.35700932,0.867945495,2056,2056.296296,Aldehyde,
octadecanol,,,55.8219741,0.548701175,2191,2191.111111,Alcohol,
octadecanone,,,51.7097082,0.847992725,2031,2031.111111,Ketone,
"oleic Acid, TMS",,,57.26888247,0.69834695,2251,2251.612903,Acid,
palmitoleic Acid,,,52.35700932,0.708323335,2056,2056.296296,Acid,
p-anisic acid (4-methozybenzoic acid),,,37.05024181,0.967709345,1544,1544.262295,Acid,
pentadecanone,,,42.95210491,0.947756575,1726,1726.829268,Ketone,
perylene,,,72.30911422,1.45655221,2967,2967.676768,PAH,
phthalic acid,,,42.57133954,1.107378735,1714,1714.634146,Acid,
phthalimide,,,38.76368594,1.13730789,1593,1593.442623,Amide,
pinic acid 1,,,41.8859619,0.967709345,1692,1692.682927,Acid,
pinic acid 2,,,42.03826804,0.97768573,1697,1697.560976,Acid,
pinonic acid,,,37.27870103,1.466528595,1550,1550.819672,Acid,
pyrene,,,55.32697913,1.21711897,2171,2171.851852,PAH,
pyrocatechol,,,29.35878153,0.67839418,1339,1339.689606,Cat,
quinoline,,,26.73150054,1.09740235,1278,1278.146352,PAH,
resorcinol,,,31.98606251,0.728276105,1399,1399.138423,Cat,
