Compound Name,BlobID,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Quantifier_1,Quantifier_2,Quantifier_Response_1,Quantifier_Response_2,Volume_Ratio,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,H_Cat
nonanol,651,nonanol,,,TRUE,1318.150179,1318,99,amze_unnamedsesq_1,0,999,999,95.26999664,,0,28.40686812,0.508795635,,,0,0,0,0,2,4,10,20,40,
monostearin TMS,188,monostearin TMS,,,TRUE,2788.679245,2789,98,amze_unnamedsesq_1,0,999,999,96.51999664,,0,68.92030251,0.708323335,,,0,0,0,0,6,12,30,60,120,
monopalmitin,35,monopalmitin,,,TRUE,2628.301887,2628,97,amze_unnamedsesq_1,0,999,999,98.34999847,,0,65.68379694,0.748228875,,,0,0,0,0,6,12,30,60,120,
mannosan,687,mannosan,,,TRUE,1706.097561,1706,96,amze_unnamedsesq_1,0,999,999,92.76999664,,0,42.30480379,0.85796911,,,0,0,0,0,2,4,10,20,40,
maltol,713,maltol,,,TRUE,1316.427025,1316,95,amze_unnamedsesq_1,0,999,999,98.25,,0,28.33071505,1.09740235,,,0,0,0,0,2,4,10,20,40,
lupeol,68,lupeol,,,TRUE,3483.516484,3484,94,amze_unnamedsesq_1,0,999,999,98.16999817,,0,81.21902366,1.03754404,,,0,0,0,0,2,4,10,20,40,
"linoleic Acid, TMS",92,"linoleic Acid, TMS",,,TRUE,2245.16129,2245,93,amze_unnamedsesq_1,0,999,999,91.08999634,,0,57.11657633,0.69834695,,,0,0,0,0,2,4,10,20,40,
levoglucosan,97,levoglucosan,,,TRUE,1726.829268,1727,92,amze_unnamedsesq_1,0,999,999,90.08000183,,0,42.95210491,0.847992725,,,0,0,0,0,2,4,10,20,40,
ketopinic acid,140,ketopinic acid,,,TRUE,1530.054645,1530,91,amze_unnamedsesq_1,0,999,999,95.54000092,,0,36.55524684,1.326859205,,,0,0,0,0,4,8,20,40,80,
isopimaric acid,26,isopimaric acid,,,TRUE,2385.483871,2385,90,amze_unnamedsesq_1,0,999,999,98.37999725,,0,60.42923497,0.867945495,,,0,0,0,0,2,4,10,20,40,
isoeugenol,665,isoeugenol,,,TRUE,1591.256831,1591,89,amze_unnamedsesq_1,0,999,999,93.44000244,,0,38.68753286,0.77815803,,,0,0,0,0,2,4,10,20,40,
ionone,701,ionone,,,TRUE,1449.180328,1449,86,amze_unnamedsesq_1,0,999,999,95.86000061,,0,33.73758317,1.33683559,,,0,0,0,0,4,8,20,40,80,
hydroquinone,650,hydroquinone,,,TRUE,1420.765027,1421,85,amze_unnamedsesq_1,0,999,999,94.51999664,,0,32.74759324,0.728276105,,,0,0,0,0,2,4,10,20,40,
"homosalate, TMS",15,"homosalate, TMS",,,TRUE,2054.814815,2055,84,amze_unnamedsesq_1,0,999,999,93.79000092,,0,52.31893278,0.927803805,,,0,0,0,0,2,4,10,20,40,
"hexadecanol, TMS",7,"hexadecanol, TMS",,,TRUE,1989.261745,1989,83,amze_unnamedsesq_1,0,999,999,93.08999634,,0,50.60548866,0.528748405,,,0,0,0,0,2,4,10,20,40,
hexadecanamide,241,hexadecanamide,,,TRUE,2212.903226,2213,82,amze_unnamedsesq_1,0,999,999,94.38999939,,0,56.35504561,1.227095355,,,0,0,0,0,2,4,10,20,40,
glyceric acid ,781,glyceric acid (?),,,TRUE,1352.613262,1353,81,amze_unnamedsesq_1,0,999,999,93.25,,0,29.92992957,0.688370565,,,0,0,0,0,4,8,20,40,80,
