,BB1,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT3,SQT4,SQT5
BB1,1,,,,,,,,,,,,,
BB3,0.780693299,1,,,,,,,,,,,,
BB4,0.864825977,0.854981694,1,,,,,,,,,,,
BB5,0.83002383,0.808826672,0.743226347,1,,,,,,,,,,
ISOP1,0.225198051,0.031633739,0.098589935,0.499902815,1,,,,,,,,,
ISOP2,0.230204181,0.054743304,0.10892513,0.555795049,0.947266365,1,,,,,,,,
ISOP3,-0.006321563,0.013728272,-0.138067864,0.332273997,0.24739672,0.432422932,1,,,,,,,
MT1,-0.04802253,-0.059112676,-0.243877802,0.347916766,0.547750171,0.660018984,0.335492296,1,,,,,,
MT2,0.040088484,0.07836273,0.179749764,0.381332964,0.403227881,0.47747574,0.156645889,0.473307824,1,,,,,
MT3,-0.114477999,-0.055498451,-0.131001121,0.159655545,0.141262194,0.323378423,0.824797417,0.289739277,0.219552791,1,,,,
SQT1,0.404226155,0.219693029,-0.16155007,0.40754135,0.371523008,0.420035345,0.685338852,0.430217982,0.157145628,0.546178273,1,,,
SQT3,0.627108793,0.099132817,-0.497644487,0.640983496,0.38316156,0.491833111,0.738514169,0.389921937,0.731023322,0.861098881,NA,1,,
SQT4,0.203547502,0.13989748,0.156561054,0.448794631,0.492930702,0.630055527,0.323663656,0.724784547,0.807245985,0.853682939,NA,NA,1,
SQT5,0.1861401,0.07332484,-0.043704999,0.711663815,0.48834377,0.613577009,0.664770917,0.635627687,0.436933917,0.624607154,0.676577996,0.712385813,0.517833115,1
