"","BB1","BB3","BB4","BB5","ISOP1","ISOP2","ISOP3","MT1","MT2","MT3","SQT1","SQT3","SQT4","SQT5"
"BB1",1,0.780693299132419,0.864825977380969,0.830023829577402,0.225198051277751,0.230204181394236,-0.00632156306387793,-0.0480225299694104,0.0400884836264066,-0.114477999051324,0.404226155313757,0.627108793168268,0.203547502415001,0.186140100446317
"BB3",0.780693299132419,1,0.854981694373519,0.808826672084681,0.0316337387822655,0.0547433038581496,0.0137282723119848,-0.059112676128939,0.0783627301288575,-0.0554984510889596,0.219693028899903,0.0991328167283952,0.139897479925746,0.0733248398371086
"BB4",0.864825977380969,0.854981694373519,1,0.743226347206423,0.0985899351280313,0.108925130396453,-0.138067864324565,-0.243877802463253,0.179749764210477,-0.131001121096659,-0.161550070249182,-0.497644487078095,0.156561054430387,-0.0437049985193317
"BB5",0.830023829577402,0.808826672084681,0.743226347206423,1,0.499902815077401,0.555795048563838,0.332273996513614,0.347916766327886,0.381332964354683,0.159655544681992,0.407541349941648,0.640983496158049,0.448794630760749,0.711663814891098
"ISOP1",0.225198051277751,0.0316337387822655,0.0985899351280313,0.499902815077401,1,0.947266364712905,0.247396719604675,0.547750170820035,0.40322788073125,0.141262193722376,0.371523008398394,0.383161559706146,0.492930702231542,0.488343770003534
"ISOP2",0.230204181394236,0.0547433038581496,0.108925130396453,0.555795048563838,0.947266364712905,1,0.432422931578823,0.660018984452436,0.477475739868051,0.3233784225432,0.420035345115952,0.491833110748799,0.630055526781111,0.61357700851178
"ISOP3",-0.00632156306387793,0.0137282723119848,-0.138067864324565,0.332273996513614,0.247396719604675,0.432422931578823,1,0.335492296083045,0.15664588889245,0.824797416950303,0.685338852456617,0.738514168772156,0.323663655853568,0.664770916961403
"MT1",-0.0480225299694104,-0.059112676128939,-0.243877802463253,0.347916766327886,0.547750170820035,0.660018984452436,0.335492296083045,1,0.473307824373106,0.28973927658328,0.430217981615367,0.389921937152275,0.724784546816364,0.635627687400745
"MT2",0.0400884836264066,0.0783627301288575,0.179749764210477,0.381332964354683,0.40322788073125,0.477475739868051,0.15664588889245,0.473307824373106,1,0.219552790541446,0.157145627763476,0.731023322299016,0.807245985237043,0.436933917280989
"MT3",-0.114477999051324,-0.0554984510889596,-0.131001121096659,0.159655544681992,0.141262193722376,0.3233784225432,0.824797416950303,0.28973927658328,0.219552790541446,1,0.5461782726756,0.86109888132743,0.853682939284404,0.624607153845904
"SQT1",0.404226155313757,0.219693028899903,-0.161550070249182,0.407541349941648,0.371523008398394,0.420035345115952,0.685338852456617,0.430217981615367,0.157145627763476,0.5461782726756,1,NA,NA,0.676577996076909
"SQT3",0.627108793168268,0.0991328167283952,-0.497644487078095,0.640983496158049,0.383161559706146,0.491833110748799,0.738514168772156,0.389921937152275,0.731023322299016,0.86109888132743,NA,1,NA,0.712385813447144
"SQT4",0.203547502415001,0.139897479925746,0.156561054430387,0.448794630760749,0.492930702231542,0.630055526781111,0.323663655853568,0.724784546816364,0.807245985237043,0.853682939284404,NA,NA,1,0.51783311514221
"SQT5",0.186140100446317,0.0733248398371086,-0.0437049985193317,0.711663814891098,0.488343770003534,0.61357700851178,0.664770916961403,0.635627687400745,0.436933917280989,0.624607153845904,0.676577996076909,0.712385813447144,0.51783311514221,1
