"","4-methoxy-benzaldehyde","chrysene-d","d-anthraquinone","d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS","d-C6diacid","d-cholestane","d-cholesterol","d-pyrene","dC14","dC16","dC18","dC20","dC22","dC24","dC26","dC28","dC30","dC32","dC34","dC36","dibenzanthracene-d","glucose-13C6","methoxyphenol-d3","pentaerythritol-C13","perylene-d"
"dC24",0.781360679069961,0.948389362550558,0.962832701393262,0.582721096988111,0.84097764282044,0.836933633779285,0.598629377215396,0.961082755279624,0.83766558303544,0.968333451823018,0.592906968361021,0.704460130163179,0.901699563606042,0.973913052096517,0.982466606609848,1,0.980271720767985,0.962185970255864,0.814218111078884,0.896381833645603,0.809312601829544,0.833653291907468,0.633599756579798,0.471992432680523,0.652799252765914,0.720649397072541,0.733928115379506
"dC26",0.73679755796149,0.945349650164221,0.946963827211104,0.595346680731982,0.841584495562073,0.826563545208396,0.639149070289284,0.938912841768586,0.849372311557228,0.968803772552473,0.577554975651068,0.701965996337277,0.907443611800914,0.96778341626329,0.978392312690278,0.980271720767985,1,0.956349705091469,0.842863372299873,0.928662847277996,0.837794181885089,0.870747818285949,0.575290615374356,0.448431300548325,0.693915869329029,0.751203480002127,0.763707989904954
"dC28",0.70619607910416,0.920492760996737,0.926092139829085,0.514041736735449,0.797569179593911,0.869198725636817,0.627237212363939,0.961843280596593,0.879503969584282,0.929864803771541,0.548648813426823,0.635199630552146,0.843564501262146,0.933076173115903,0.927321146928604,0.962185970255864,0.956349705091469,1,0.882641591713164,0.931143668559008,0.89368338117455,0.87933300717077,0.562161597264666,0.479066365823144,0.636395773516267,0.70586785867859,0.768997532149237
"dC30",0.529612586403351,0.821331447281758,0.786404657501693,0.476233923080938,0.688071703811172,0.73603668578137,0.548201659170181,0.831905351436152,0.791286400997422,0.802146411044932,0.435539013410578,0.480432107163008,0.690455933160792,0.79868627849474,0.775367374972024,0.814218111078884,0.842863372299873,0.882641591713164,1,0.942464849816344,0.968302202781472,0.961069470050132,0.325995367571278,0.504500786019332,0.601487647410118,0.636027501381937,0.725911420946223
"dC32",0.660483398944636,0.851621757951726,0.842024630850332,0.567577101052912,0.793908476814129,0.795384322219225,0.61472201907663,0.86007526171711,0.840185644273755,0.877881406600634,0.485170890711705,0.634222999214601,0.844304123892377,0.891111414793288,0.895080136057144,0.896381833645603,0.928662847277996,0.931143668559008,0.942464849816344,1,0.959155512322796,0.969407970196935,0.331056364205833,0.439250347930142,0.638200247783726,0.713622218751587,0.704993957513511
"dC34",0.534810412134058,0.777804388635937,0.764481299225823,0.477051873793862,0.713670770567439,0.740591752443691,0.567966741792676,0.813419197980339,0.799091089802227,0.784702524798982,0.401727149365676,0.503132521811715,0.717503902736667,0.805594565482824,0.778952327985588,0.809312601829544,0.837794181885089,0.89368338117455,0.968302202781472,0.959155512322796,1,0.979458109958991,0.323699368040445,0.427982599055793,0.542938593780516,0.653882396303645,0.691629009706277
"dC36",0.584088537454608,0.795013811674517,0.775429009946983,0.549553953079095,0.759098187849789,0.722264037160988,0.562719719256717,0.810209298984181,0.791051699430211,0.806977318125672,0.393628773061521,0.544990203648742,0.763908190061267,0.838663904643694,0.817374010541858,0.833653291907468,0.870747818285949,0.87933300717077,0.961069470050132,0.969407970196935,0.979458109958991,1,0.281959253123513,0.414741754858963,0.565541257034901,0.698271683196074,0.683294096717039
"dibenzanthracene-d",0.0557304216150211,0.734534051124535,0.603952357009848,0.0955207060841959,0.0323512762567511,0.524841259624235,0.248092193548323,0.651615831488346,0.546829973775553,0.605917830521407,0.45399232687379,0.215843508665716,0.326681997679811,0.446081041069278,0.498841488481835,0.633599756579798,0.575290615374356,0.562161597264666,0.325995367571278,0.331056364205833,0.323699368040445,0.281959253123513,1,0.243538769354178,0.270891371941012,0.240880039025891,0.6501322141681
"glucose-13C6",0.305669799778375,0.550883364824091,0.513958507651703,0.284320378507125,0.324442113085683,0.518326100685512,0.208572689675029,0.468400903134276,0.383080366056776,0.479508813658135,0.559642691047676,0.384367834435152,0.359398931197404,0.391578416767575,0.41533364131509,0.471992432680523,0.448431300548325,0.479066365823144,0.504500786019332,0.439250347930142,0.427982599055793,0.414741754858963,0.243538769354178,1,0.330686772195621,0.328136837189868,0.216208103130484
"methoxyphenol-d3",0.551255299587543,0.677398030801125,0.677373656582597,0.551682740675032,0.482519204111928,0.474093206908264,0.673700922131936,0.641640023872304,0.521673013209021,0.70447485364343,0.638110362651197,0.482035532523089,0.623248958047091,0.659530540006201,0.663340471905918,0.652799252765914,0.693915869329029,0.636395773516267,0.601487647410118,0.638200247783726,0.542938593780516,0.565541257034901,0.270891371941012,0.330686772195621,1,0.603780848529341,0.699181194064852
"pentaerythritol-C13",0.588468348446891,0.651427473958316,0.655165801877252,0.852703890184271,0.7724388234418,0.615917324905708,0.777082269915131,0.691311521078259,0.645796543011154,0.666089526057089,0.544042151332498,0.723843680538118,0.823735743925099,0.750087561499623,0.730500874073404,0.720649397072541,0.751203480002127,0.70586785867859,0.636027501381937,0.713622218751587,0.653882396303645,0.698271683196074,0.240880039025891,0.328136837189868,0.603780848529341,1,0.536620541865898
"perylene-d",0.521705604199449,0.806422587205327,0.748115934779078,0.44515100364099,0.546725411414745,0.678961501462886,0.553936555642136,0.828355204499155,0.80325880314828,0.761128902306627,0.558784917701615,0.497575742051335,0.627729924111332,0.695332306566036,0.688687560317793,0.733928115379506,0.763707989904954,0.768997532149237,0.725911420946223,0.704993957513511,0.691629009706277,0.683294096717039,0.6501322141681,0.216208103130484,0.699181194064852,0.536620541865898,1
