BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
1178,,"blob668_g48_1,2,4,5-Tetrazine",,false,0,18.666734813352374,2.829997141702887,2696.0,60000.0,caice_voc_g48,702,C2H2N4,205,82,909.0,,,909.090909090909
798,,"blob291_g48_Decane, 2,2,5-trimethyl-",,false,0,19.583400554186642,0.6699993233006835,5005.0,60219.0,caice_voc_g48,892,C13H28,277,184,929.0,,,929.090909090909
1212,,"blob259_g48_9-Octadecene, (E)-",,false,0,49.25003725755024,3.189996778103254,2415.0,60347.0,caice_voc_g48,670,C18H36,247,252,,,,1772.7272727272727
896,,"blob438_g48_Decane, 2,5,9-trimethyl-",,false,0,31.50005518503213,0.8199991718008365,4300.0,60898.0,caice_voc_g48,849,C13H28,327,184,1216.0,,,1215.909090909091
1229,,"blob259_g48_9-Octadecene, (E)-",,false,0,53.50003296505458,1.3599986264013872,2499.0,60957.0,caice_voc_g48,701,C18H36,247,252,,,,
1223,,blob20_g48_1-Decene,,false,0,22.583397524189703,1.149998838501173,2428.0,61206.0,caice_voc_g48,820,C10H20,32,140,996.0,,,994.5454545454545
1194,,"blob259_g48_9-Octadecene, (E)-",,false,0,51.25003523755228,1.2799987072013057,2590.0,62051.0,caice_voc_g48,686,C18H36,247,252,,,,
1161,,blob628_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,0,49.91670325088425,3.7499962125038255,2650.0,62353.0,caice_voc_g48,684,-,12,0,1791.0,,,1796.9696969696968
953,,blob318_g48_1-Hexadecanol,,false,0,48.66670451338298,2.8099971619028663,3837.0,62359.0,caice_voc_g48,706,C16H34O,172,242,,,,1751.5151515151517
912,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,0,51.66670148338604,1.1599988284011833,4094.0,62577.0,caice_voc_g48,686,C21H44,208,296,,,,
1099,,blob192_g48_1-Iodo-2-methylundecane,,false,0,55.416697695889866,1.3499986365013772,2928.0,62877.0,caice_voc_g48,680,C12H25I,85,296,1724.0,,,
1395,,blob657_g48_2-Hexyl-1-octanol,,false,0,49.416703755883745,1.5499984345015811,1865.0,62964.0,caice_voc_g48,672,C14H30O,216,214,1773.0,,,1778.787878787879
1203,,blob154_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,0,49.91670325088425,3.8399961216039173,2472.0,63104.0,caice_voc_g48,628,-,5,0,,,,1796.9696969696968
967,,"blob289_g48_1-Hexadecanol, 2-methyl-",,false,0,55.08336469922286,3.4699964953035396,4060.0,63254.0,caice_voc_g48,684,C17H36O,81,256,1776.0,,,
1492,,"blob535_g48_Octadecane, 6-methyl-",,false,0,43.000043570043864,2.2499977275022953,1582.0,63258.0,caice_voc_g48,576,C19H40,299,268,,,,1556.7567567567567
1663,,blob229_g48_1-Iodo-2-methylundecane,,false,0,45.50004104504641,2.6999972730027544,1269.0,63299.0,caice_voc_g48,677,C12H25I,138,296,,,,1639.9999999999998
1108,,"blob537_g48_Benzoic acid, 2-(1-oxopropyl)-",,false,0,16.83340333168384,3.679996283203754,2805.0,63420.0,caice_voc_g48,846,C10H10O3,144,178,870.0,,,870.689655172414
957,,blob232_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,0,52.833366971720565,4.94999500050505,3817.0,63537.0,caice_voc_g48,726,-,4,0,1770.0,,,
1047,,blob334_g48_Benzyl 2-chloroethyl sulfone,,false,0,25.750060992526265,1.2399987476012648,3061.0,63634.0,caice_voc_g48,814,C9H11ClO2S,154,218,1070.0,,,1070.0
1060,,"blob632_g48_Octadecane, 6-methyl-",,false,0,55.500030945056615,3.939996020604019,3132.0,63783.0,caice_voc_g48,635,C19H40,368,268,,,,
1624,,"blob783_g48_4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",,false,0,15.000071850015301,1.1199988688011424,1360.0,63972.0,caice_voc_g48,878,C28H46O2,337,414,835.0,,,832.7586206896552
699,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,false,0,48.166705018382466,2.8499971215029074,5993.0,64038.0,caice_voc_g48,773,C21H38O4,269,354,1733.0,,,1733.3333333333333
835,,"blob389_g48_Decane, 6-ethyl-2-methyl-",,false,0,33.58338641420092,0.8899991011009079,4929.0,64296.0,caice_voc_g48,828,C13H28,261,184,1273.0,,,1272.7272727272725
1145,,"blob486_g48_2,4-Pentadienoic acid, 1-cyclopenten-3-on-1-yl ester",,false,0,23.416730015857222,2.0099979699020505,2710.0,64862.0,caice_voc_g48,861,C10H10O3,310,178,1014.0,,,1014.0000000000001
1209,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",,false,0,14.666738853348296,1.0799989092011018,2533.0,64872.0,caice_voc_g48,879,C6H18O3Si3,120,222,,,,825.8620689655174
939,,"blob259_g48_9-Octadecene, (E)-",,false,0,49.25003725755024,1.2399987476012648,4001.0,65148.0,caice_voc_g48,724,C18H36,247,252,,,,1772.7272727272727
972,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,0,48.75003776254973,0.9199990708009385,3835.0,65385.0,caice_voc_g48,762,C21H44,208,296,,,,1754.5454545454545
1587,,"blob718_g48_2,3-Butanedione",,false,0,34.750051902535446,4.749995202504845,1431.0,65908.0,caice_voc_g48,425,C4H6O2,315,86,,,,1329.2687091845492
1299,,"blob259_g48_9-Octadecene, (E)-",,false,0,43.58337631421113,2.3099976669023565,2226.0,66081.0,caice_voc_g48,701,C18H36,247,252,,,,1575.6756756756758
1115,,"blob705_g48_Pentanoic acid, 10-undecenyl ester",,false,0,50.83336899171852,2.9599970104030193,2758.0,66110.0,caice_voc_g48,639,C16H30O2,363,254,1663.0,,,
1431,,"blob520_g48_1-Decanol, 5,9-dimethyl-",,false,0,54.00003246005508,1.0099989799010303,1779.0,66382.0,caice_voc_g48,601,C12H26O,158,186,1623.0,,,
833,,blob419_g48_1-Iodo-2-methylundecane,,false,0,56.000030440057124,3.6099963539036826,4646.0,66433.0,caice_voc_g48,657,C12H25I,292,296,1671.0,,,
1085,,"blob335_g48_Tetradecane, 1-iodo-",,false,0,55.500030945056615,3.7699961923038456,3020.0,66514.0,caice_voc_g48,587,C14H29I,238,324,1712.0,,,
1562,,blob378_g48_Dodecanal,,false,0,46.500040035047434,1.48999849510152,1439.0,66544.0,caice_voc_g48,646,C12H24O,163,184,,,,1674.2857142857142
1292,,"blob416_g48_6-[(Z)-1-Butenyl]-1,4-cycloheptadiene",,false,0,29.666723703363594,5.149994798505253,2189.0,67110.0,caice_voc_g48,358,C11H16,306,148,1177.0,,,1168.0851063829787
1396,,blob657_g48_2-Hexyl-1-octanol,,false,0,53.33336646672107,3.639996323603713,1837.0,67587.0,caice_voc_g48,579,C14H30O,216,214,1773.0,,,
1507,,"blob513_g48_Oxalic acid, allyl undecyl ester",,false,0,44.58337530421215,1.749998232501785,1679.0,67704.0,caice_voc_g48,653,C16H28O4,199,284,,,,1608.5714285714287
1052,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,false,0,53.66669946338808,3.2199967478032847,2967.0,67798.0,caice_voc_g48,656,C21H38O4,269,354,1733.0,,,
1071,,"blob514_g48_1H-Imidazole-4-ethanamine, -methyl-",,false,0,18.833401311685876,4.279995677204366,2978.0,68129.0,caice_voc_g48,833,C6H11N3,123,125,913.0,,,912.7272727272726
1169,,"blob263_g48_1,10-Dicyanodecane",,false,0,33.500053165034174,3.429996535703499,2596.0,68412.0,caice_voc_g48,891,C12H20N2,151,192,1270.0,,,1270.4545454545455
619,,"blob145_g48_2-Mercapto-4,6-dimethylnicotinonitrile, TBDMS derivative",,false,0,17.500069325017854,0.5299994647005406,7398.0,68633.0,caice_voc_g48,888,C14H22N2SSi,98,278,883.0,,,884.4827586206898
1110,,"blob259_g48_9-Octadecene, (E)-",,false,0,49.25003725755024,3.1099968589031723,2766.0,68650.0,caice_voc_g48,678,C18H36,247,252,,,,1772.7272727272727
942,,blob567_g48_1-Iodo-2-methylundecane,,false,0,55.500030945056615,3.6199963438036926,3964.0,69365.0,caice_voc_g48,660,C12H25I,232,296,,,,
1199,,blob378_g48_Dodecanal,,false,0,39.583380354207044,1.4299985557014587,2466.0,70195.0,caice_voc_g48,299,C12H24O,163,184,,,,1870.3625334846984
940,,"blob420_g48_Octane, 2,3,7-trimethyl-",,false,0,32.916720420866916,0.8699991213008875,4002.0,70316.0,caice_voc_g48,851,C11H24,320,156,1255.0,,,1254.5454545454545
1346,,blob378_g48_Dodecanal,,false,0,42.583377324210105,1.4599985254014893,2076.0,70565.0,caice_voc_g48,674,C12H24O,163,184,,,,1543.2432432432431
1138,,blob150_g48_1-Octene,,false,0,30.666722693364616,1.1699988183011936,2680.0,70634.0,caice_voc_g48,598,C8H16,84,112,,,,1193.6170212765958
1061,,blob232_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,0,52.91670022088731,1.0099989799010303,3024.0,70651.0,caice_voc_g48,687,-,4,0,1770.0,,,
788,,"blob288_g48_Sulfurous acid, butyl 2-ethylhexyl ester",,false,0,23.583396514190724,0.7599992324007753,5000.0,70953.0,caice_voc_g48,864,C12H26O3S,174,250,1018.0,,,1018.0000000000001
1190,,"blob397_g48_2-Undecanethiol, 2-methyl-",,false,0,29.083390959196333,0.9499990405009691,2528.0,71154.0,caice_voc_g48,774,C12H26S,166,202,1138.0,,,1153.1914893617022
910,,"blob478_g48_2-Butanone, 3,3-dimethyl-1-thiocyanato-",,false,0,19.916733550853653,2.129997848702173,4184.0,71446.0,caice_voc_g48,844,C7H11NOS,301,157,936.0,,,936.3636363636365
981,,"blob131_g48_3-Eicosene, (E)-",,false,0,53.33336646672107,1.189998798101214,3495.0,71771.0,caice_voc_g48,723,C20H40,58,280,1697.0,,,
1119,,"blob131_g48_3-Eicosene, (E)-",,false,0,47.58337227421521,1.1699988183011936,2846.0,71956.0,caice_voc_g48,742,C20H40,58,280,1697.0,,,1712.121212121212
1096,,"blob131_g48_3-Eicosene, (E)-",,false,0,50.66670249338502,1.3299986567013566,2885.0,72266.0,caice_voc_g48,713,C20H40,58,280,1697.0,,,
1116,,"blob251_g48_Heptadecane, 2,6-dimethyl-",,false,0,55.91669719089037,1.3099986769013363,2952.0,72308.0,caice_voc_g48,624,C19H40,201,268,1706.0,,,
779,,"blob259_g48_9-Octadecene, (E)-",,false,0,49.500037005050494,2.8099971619028663,4984.0,72686.0,caice_voc_g48,739,C18H36,247,252,,,,1781.8181818181818
1207,,"blob289_g48_1-Hexadecanol, 2-methyl-",,false,0,53.50003296505458,3.279996687203346,2567.0,72745.0,caice_voc_g48,632,C17H36O,81,256,1776.0,,,
1080,,blob374_g48_4-Trifluoroacetoxyhexadecane,,false,0,45.00004155004591,1.1299988587011527,2937.0,72786.0,caice_voc_g48,748,C18H33F3O2,210,338,1623.0,,,1622.857142857143
1064,,"blob560_g48_Benzene, 1-(1-hydroxyheptyl)-3-[1-(tetrahydropyran-2-yloxy)heptyl]-",,false,0,49.416703755883745,3.929996030704009,3186.0,72790.0,caice_voc_g48,764,C25H42O3,153,390,1779.0,,,1778.787878787879
1072,,blob220_g48_1-Iodo-2-methylundecane,,false,0,47.16670602838145,2.389997586102438,2914.0,73203.0,caice_voc_g48,736,C12H25I,109,296,1689.0,,,1697.142857142857
903,,"blob289_g48_1-Hexadecanol, 2-methyl-",,false,0,55.500030945056615,3.589996374103662,4081.0,73417.0,caice_voc_g48,667,C17H36O,81,256,1776.0,,,
1258,,blob463_g48_4-Trifluoroacetoxypentadecane,,false,0,51.25003523755228,1.3599986264013872,2379.0,73881.0,caice_voc_g48,663,C17H31F3O2,317,324,1785.0,,,
999,,"blob550_g48_Phenol, 4-chloro-2,6-bis(1,1-dimethylethyl)-",,false,0,47.58337227421521,3.6899962731037643,3337.0,73919.0,caice_voc_g48,776,C14H21ClO,340,240,1712.0,,,1712.121212121212
913,,blob378_g48_Dodecanal,,false,0,41.91671133087609,1.5399984446015709,4181.0,74296.0,caice_voc_g48,763,C12H24O,163,184,,,,1521.6216216216214
1287,,blob378_g48_Dodecanal,,false,0,49.33337050671699,1.4699985153014996,2145.0,74333.0,caice_voc_g48,628,C12H24O,163,184,,,,1775.7575757575758
773,,"blob138_g48_2,4(1H,3H)-Pyrimidinedione, 3,6-dimethyl-",,false,0,34.41671890586844,4.959994990405059,5051.0,74354.0,caice_voc_g48,847,C6H8N2O2,35,140,1295.0,,,1295.4545454545455
918,,blob378_g48_Dodecanal,,false,0,52.2500342275533,2.9999969700030604,3944.0,74511.0,caice_voc_g48,636,C12H24O,163,184,,,,
1068,,blob374_g48_4-Trifluoroacetoxyhexadecane,,false,0,51.50003498505253,3.0899968791031522,3097.0,74748.0,caice_voc_g48,648,C18H33F3O2,210,338,1623.0,,,
1566,,blob378_g48_Dodecanal,,false,0,45.50004104504641,1.4699985153014996,1542.0,74874.0,caice_voc_g48,624,C12H24O,163,184,,,,1639.9999999999998
1684,,"blob480_g48_Sulfurous acid, butyl 2-ethylhexyl ester",,false,0,40.16671309837431,0.34999964650035703,1255.0,75386.0,caice_voc_g48,577,C12H26O3S,134,250,,,,1740.7356467650534
1153,,"blob490_g48_Benzene, (1-nitropropyl)-",,false,0,47.08337277921469,1.9299980507019687,2643.0,75728.0,caice_voc_g48,755,C9H11NO2,264,165,1694.0,,,1694.285714285714
594,,"blob85_g48_Cyclopropane, nonyl-",,false,0,34.33338565670169,1.0299989597010506,8123.0,75795.0,caice_voc_g48,838,C12H24,69,168,1298.0,,,1293.181818181818
1034,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",,false,0,35.91671739086997,1.0199989698010405,3123.0,75904.0,caice_voc_g48,790,C11H22,135,154,1532.0,,,1534.1496734763996
924,,"blob445_g48_Heptadecane, 2,6-dimethyl-",,false,0,46.33337353671393,2.729997242702785,4013.0,76022.0,caice_voc_g48,752,C19H40,184,268,1680.0,,,1668.5714285714284
1288,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",,false,0,51.00003549005203,3.4499965155035195,2163.0,76234.0,caice_voc_g48,695,C21H38O4,149,354,1797.0,,,
987,,"blob480_g48_Sulfurous acid, butyl 2-ethylhexyl ester",,false,0,55.500030945056615,3.6699962933037438,3778.0,76365.0,caice_voc_g48,630,C12H26O3S,134,250,,,,
1151,,blob695_g48_Z-10-Pentadecen-1-ol,,false,0,50.91670224088527,3.0599969094031216,2675.0,76535.0,caice_voc_g48,652,C15H30O,296,226,1570.0,,,
