BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
427,,"blob246_g48_Silane, trimethyl(3-methyl-1-butynyl)-",1950.0175620634,1428.0,,false,0,38.916698607500656,3.0899995983000523,10183.0,352874.0,caice_voc_g48,843,C8H16Si,126,140,,
350,,"blob705_g48_Pentanoic acid, 10-undecenyl ester",1608.5714285714287,1663.0,,false,0,44.583364537500756,1.3699998219000231,15807.0,348346.0,caice_voc_g48,734,C16H30O2,363,254,,
466,,"blob495_g48_1,4-Dioxane, 2,5-dimethyl-",862.7118644067796,863.0,,false,0,16.416701532500277,2.7399996438000462,8997.0,347126.0,caice_voc_g48,829,C6H12O2,253,116,,
349,,"blob205_g48_Octane, 5-ethyl-2-methyl-",1131.9148936170213,1132.0,,false,0,28.250033327500482,0.8399998908000142,16058.0,346250.0,caice_voc_g48,865,C11H24,107,156,,
209,,"blob151_g48_Heptasiloxane, hexadecamethyl-",1559.4594594594596,1559.0,,false,0,43.083364732500726,0.6099999207000103,28253.0,345509.0,caice_voc_g48,885,C16H48O6Si7,96,532,,
475,,"blob491_g48_2-Decene, 8-methyl-, (Z)-",1140.4255319148933,1032.0,,false,0,28.583366617500484,0.9699998739000164,8663.0,342466.0,caice_voc_g48,694,C11H22,262,154,,
380,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",825.4237288135594,828.0,,false,0,14.583368437500246,0.9399998778000159,13466.0,338955.0,caice_voc_g48,877,C6H18O3Si3,17,222,,
234,,"blob30_g48_Octane, 2,2,6-trimethyl-",981.8181818181818,962.0,,false,0,22.000034140000373,0.6999999090000119,24999.0,329481.0,caice_voc_g48,890,C11H24,43,156,,
318,,"blob131_g48_3-Eicosene, (E)-",1621.954240542781,1697.0,,false,0,36.416698932500616,1.0399998648000177,18589.0,329306.0,caice_voc_g48,863,C20H40,58,280,,
211,,blob32_g48_Cetene,1545.945945945946,1597.0,,false,0,42.666698120000724,1.129999853100019,26313.0,328664.0,caice_voc_g48,878,C16H32,41,224,,
966,,"blob500_g48_Tetradecane, 1-fluoro-",,,,false,0,51.08336369250086,3.3899995593000574,3808.0,327864.0,caice_voc_g48,675,C14H29F,246,216,,
773,,"blob641_g48_1,2,3,6-Tetrahydrobenzylalcohol, methyl ether",,1090.0,,false,0,9.00003583000015,4.499999415000076,4889.0,323557.0,caice_voc_g48,674,C8H14O,334,126,,
385,,"blob200_g48_3,5-Dimethyldodecane",1662.857142857143,1472.0,,false,0,46.16669766500078,1.0299998661000174,13079.0,316709.0,caice_voc_g48,829,C14H30,89,198,,
553,,blob186_g48_4-Trifluoroacetoxyhexadecane,1784.8484848484848,1581.0,,false,0,49.58336388750084,1.2499998375000212,7545.0,312454.0,caice_voc_g48,762,C18H33F3O2,131,338,,
223,,"blob143_g48_Heptadecane, 2,6-dimethyl-",1417.074269288285,1516.0,,false,0,35.2500324175006,0.879999885600015,25720.0,309240.0,caice_voc_g48,854,C19H40,51,268,,
628,,"blob641_g48_1,2,3,6-Tetrahydrobenzylalcohol, methyl ether",,1090.0,,false,0,8.916702507500151,4.7199993864000795,6302.0,305272.0,caice_voc_g48,592,C8H14O,334,126,,
583,,blob220_g48_1-Iodo-2-methylundecane,,1689.0,,false,0,54.00002998000092,2.0199997374000342,6976.0,305075.0,caice_voc_g48,763,C12H25I,109,296,,
