BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
311,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",,false,0,15.000078200000218,1.0599998728000153,10171.0,193054.0,caice_voc_g48,884,C6H18O3Si3,120,222,,,,833.3333333333334
559,,blob610_g48_Isopropyl myristate,,false,0,37.1667422066672,1.7599997888000254,3793.0,193379.0,caice_voc_g48,527,C17H34O2,285,270,,,,1750.0101846317948
220,,"blob134_g48_Heptane, 5-ethyl-2,2,3-trimethyl-",,false,0,25.41674361666703,0.6999999160000101,21882.0,194692.0,caice_voc_g48,919,C12H26,57,170,1060.0,,,1060.0
605,,"blob445_g48_Heptadecane, 2,6-dimethyl-",,false,0,54.833406753334124,2.1199997456000306,2960.0,195936.0,caice_voc_g48,755,C19H40,184,268,1680.0,,,
369,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",,false,0,53.166740286667434,1.37999983440002,7124.0,198359.0,caice_voc_g48,822,C21H38O4,149,354,1797.0,,,
258,,"blob155_g48_1,4-Methanoazulen-9-one, decahydro-1,5,5,8a-tetramethyl-, [1R-(1,3a,4,8a)]-",,false,0,42.66674154666728,2.559999692800037,14388.0,198637.0,caice_voc_g48,885,C15H24O,78,220,1543.0,,,1543.2432432432433
542,,"blob289_g48_1-Hexadecanol, 2-methyl-",,false,0,53.083406963334106,2.0999997480000303,3732.0,202266.0,caice_voc_g48,741,C17H36O,81,256,1776.0,,,
548,,blob378_g48_Dodecanal,,false,0,55.75007331000081,3.0799996304000445,3881.0,206566.0,caice_voc_g48,712,C12H24O,163,184,,,,
263,,blob190_g48_trans-2-Undecen-1-ol,,false,0,49.333407413334044,2.139999743200031,13949.0,208197.0,caice_voc_g48,863,C11H22O,110,170,1773.0,,,1773.5294117647059
270,,"blob247_g48_Tetradecane, 1-iodo-",,false,0,46.25007445000067,0.9999998800000144,14258.0,212307.0,caice_voc_g48,847,C14H29I,104,324,1663.0,,,1664.7058823529412
350,,blob364_g48_gamma aminobutyric acid_CAICE_vocstand_incomplete,,false,0,25.91674355666704,4.059999512800059,8109.0,217818.0,caice_voc_g48,858,-,7,0,1072.0,,,1072.0
308,,"blob157_g48_3-Undecene, 9-methyl-, (Z)-",,false,0,28.000076640000405,0.8799998944000127,11943.0,226859.0,caice_voc_g48,878,C12H24,56,168,1126.0,,,1123.404255319149
219,,"blob310_g48_Decane, 2,5,9-trimethyl-",,false,0,38.083408763333885,1.179999858400017,17663.0,236703.0,caice_voc_g48,839,C13H28,159,184,1413.0,,,1399.999999999971
171,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,false,0,38.8334086733339,1.0799998704000155,39552.0,239271.0,caice_voc_g48,755,C12H24,86,168,,,,1890.9494308900175
395,,"blob324_g48_Ethane-1,2-diimine, N,N'-diamino-",,false,0,24.750077030000355,2.219999733600032,6788.0,240176.0,caice_voc_g48,723,C2H6N4,113,86,1044.0,,,1044.0
243,,blob220_g48_1-Iodo-2-methylundecane,,false,0,40.41674181666725,0.8799998944000127,16536.0,242742.0,caice_voc_g48,841,C12H25I,109,296,1689.0,,,1696.4222309181496
187,,blob378_g48_Dodecanal,,false,0,40.16674184666725,2.139999743200031,29722.0,244153.0,caice_voc_g48,805,C12H24O,163,184,,,,1749.9919302594608
630,,"blob487_g48_Hydroxylamine, O-decyl-",,false,0,55.41674001666747,2.0999997480000303,2841.0,245913.0,caice_voc_g48,746,C10H23NO,87,173,,,,
363,,"blob247_g48_Tetradecane, 1-iodo-",,false,0,53.66674022666744,1.2199998536000176,7748.0,247248.0,caice_voc_g48,842,C14H29I,104,324,1663.0,,,
300,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",,false,0,12.916745116666853,0.7399999112000106,11083.0,248869.0,caice_voc_g48,875,C6H18O3Si3,120,222,,,,
260,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",,false,0,14.833411553333548,1.0799998704000155,13392.0,249563.0,caice_voc_g48,903,C6H18O3Si3,120,222,,,,830.0
168,,blob150_g48_1-Octene,,false,0,13.166745086666857,0.7799999064000113,38285.0,251852.0,caice_voc_g48,887,C8H16,84,112,,,,
232,,"blob183_g48_Hexanal, 5-methyl-",,false,0,20.58341086333363,2.239999731200032,17593.0,256398.0,caice_voc_g48,903,C7H14O,73,114,951.0,,,949.0909090909091
295,,"blob207_g48_2-Undecanethiol, 2-methyl-",,false,0,27.500076700000395,0.8799998944000127,11330.0,257857.0,caice_voc_g48,874,C12H26S,80,202,1111.0,,,1110.6382978723404
223,,"blob170_g48_Cyclopentane, undecyl-",,false,0,46.333407773334,1.2399998512000179,20155.0,260525.0,caice_voc_g48,893,C16H32,93,224,1666.0,,,1667.6470588235295
148,,"blob34_g48_Hexasiloxane, tetradecamethyl-",,false,0,38.083408763333885,0.559999932800008,56497.0,264517.0,caice_voc_g48,904,C14H42O5Si6,48,458,1400.0,,,1399.999999999971
162,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,0,36.083409003333855,0.8599998968000124,45905.0,265370.0,caice_voc_g48,785,C21H44,208,296,,,,1555.0057712913504
377,,"blob138_g48_2,4(1H,3H)-Pyrimidinedione, 3,6-dimethyl-",,false,0,34.583409183333835,3.9799995224000573,6885.0,271050.0,caice_voc_g48,825,C6H8N2O2,35,140,1295.0,,,1297.7272727272727
280,,"blob207_g48_2-Undecanethiol, 2-methyl-",,false,0,26.583410143333715,0.8199999016000118,13439.0,281684.0,caice_voc_g48,778,C12H26S,80,202,1111.0,,,1088.0
