BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
2,"d-C15 alcohol, TMS",,,,true,1868.456375838926,1869.0,4,amzi0503_b,0,934,934,86.4000015258789,,14,47.25365133730423,0.5387003100838792,3780.7807880965993,51433.03126524653,,,0.0,0.0,2.79205024092559
5,dC22,,,,true,2200.0,2200.0,15,amzi0503_b,0,924,924,97.4000015258789,,5,56.12508110432446,0.5387003100838792,2441.4539799762424,45564.958390936255,,,0.0,0.0,1.0
4,dC20,,,,true,2000.0,2000.0,14,amzi0503_b,0,937,937,98.66000366210938,,4,50.98498231227412,0.5287243784156592,2462.5926173739135,42103.08034858485,,,0.0,0.0,1.0
6,dC24,,,,true,2400.0,2400.0,16,amzi0503_b,0,907,907,98.2699966430664,,6,60.88443183770441,0.5586521734203191,2224.1273860703222,39132.42462148485,,,0.0,0.0,1.0
1,pentaerythritol-C13,,,,true,1524.590163934426,1525.0,26,amzi0503_b,0,955,955,98.02999877929688,,64,36.40233166519794,0.5187484467474393,3887.7239262619987,38859.657109096566,,,0.0,0.0,8.394004461510397
3,C16 Acid,,,,true,2078.5185185185187,2079.0,42,amze_unnamedsesq_1,0,922,922,57.0099983215332,,4,53.002947023227215,0.678363353438959,2606.940045618918,34900.7505996929,,,0.0,0.0,0.8289358002012784
11,octadecanol,,,,true,2189.62962962963,2191.0,101,amze_unnamedsesq_1,0,905,905,90.30999755859375,,5,55.85855746325519,0.5486762417520992,1736.9531132448465,30106.815150434202,,,0.0,0.0,0.6607449279800731
7,1130_1618_blob_563,,,,true,2280.0,2279.0,161,fb_amz_compiled_t,0,906,906,52.810001373291016,,5,58.028821397676445,0.678363353438959,2164.885993606411,27660.62128285765,,,0.0,0.0,0.607059070383347
8,dC26,,,,true,2600.0,2600.0,17,amzi0503_b,0,922,922,63.290000915527344,,8,65.22495970654693,0.5786040367567592,2024.832765985746,25815.142515783664,,,0.0,0.0,1.0
10,"d-C22 acid, TMS",,,,true,2647.1698113207553,2647.0,5,amzi0503_b,0,916,916,98.87999725341797,,8,66.17682985322293,0.708291148443619,1813.9332172553986,23461.013316188342,,,0.0,0.0,0.9088082044034435
13,dC28,,,,true,2800.0,2800.0,18,amzi0503_b,0,894,895,63.290000915527344,,13,69.26088912845313,0.5885799684249792,1500.3050679680891,21848.49596609469,,,0.0,0.0,1.0
14,dC18,,,,true,1800.0,1800.0,13,amzi0503_b,0,889,889,98.7699966430664,,14,45.31183623808521,0.5087725150792193,1464.8870687028393,18421.241319853907,,,0.0,0.0,1.0
19,dC30,,,,true,3000.0,3000.0,19,amzi0503_b,0,884,884,62.11000061035156,,19,73.03029490929005,0.6085318317614191,1249.3976224036887,17037.198200506064,,,0.0,0.0,1.0
15,"hexadecanol, TMS",,,,true,1989.2617449664428,1989.0,83,amze_unnamedsesq_1,0,919,919,91.66000366210938,,4,50.680383865337795,0.5287243784156592,1427.7127616261132,15416.035258394433,,,0.0,0.0,0.3661498192236804
20,syringic acid,,,,true,1923.489932885906,1925.0,123,amze_unnamedsesq_1,0,914,915,74.06999969482422,,4,48.814718377852856,0.8679060551351387,1083.9423946351744,15323.514854897734,,,0.0,0.0,0.3639523457198252
12,vanillic acid,,,,true,1787.8787878787878,1789.0,129,amze_unnamedsesq_1,0,937,937,98.55000305175781,,14,44.931088179414814,0.8778819868033587,1582.6561908517033,15246.737500928904,,,0.0,0.0,0.8276715578605656
25,MBTCA,,,,true,1775.7575757575755,1777.0,32,amze_unnamedsesq_1,0,912,912,98.4000015258789,,14,44.550340120744416,0.9676653718173386,957.6740477113053,15076.404988377215,,,0.0,0.0,0.8184250304635161
18,C20,,,,true,2034.074074074074,2034.0,71,amze_unnamedsesq_1,0,925,925,98.98999786376953,,4,51.860702847216025,0.5187484467474393,1278.3991459403187,14963.033907617173,,,0.0,0.0,0.35539047936002394
17,dC32,,,,true,3200.0,3200.0,20,amzi0503_b,0,914,914,62.4900016784668,,17,76.57125185492472,0.638459626766079,1278.185965872166,13842.339335594375,,,0.0,0.0,1.0
16,C19,,,,true,1932.8859060402683,1934.0,70,amze_unnamedsesq_1,0,938,938,91.66000366210938,,4,49.08124201892213,0.5087725150792193,1368.2397029185668,13746.02341033328,,,0.0,0.0,0.32648498153877487
27,"homosalate, TMS",,,,true,2054.814814814815,2055.0,84,amze_unnamedsesq_1,0,938,938,81.26000213623047,,4,52.39375012935458,0.9177857134762387,896.7214984013699,13613.037681428508,,,0.0,0.0,0.3233264067313323
30,C21,,,,true,2137.777777777778,2138.0,72,amze_unnamedsesq_1,0,914,914,53.470001220703125,,5,54.525939257908796,0.5187484467474393,883.8892267928459,13172.680293364296,,,0.0,0.0,0.28909672604868647
21,syringaldehyde,,,,true,1726.060606060606,1727.0,122,amze_unnamedsesq_1,0,942,942,97.52999877929688,,14,42.989273080195794,1.3267989118732582,993.8707922119647,12108.60924377245,,,0.0,0.0,0.6573177688477553
29,d-C6diacid,,,,true,1524.590163934426,1524.0,6,amzi0503_b,0,934,937,98.44999694824219,,64,36.40233166519794,0.9975931668219986,863.3292059381492,11760.503604782154,,,0.0,0.0,2.5403651774642633
34,d-cholestane,,,,true,2915.151515151516,2913.0,8,amzi0503_b,0,935,935,98.55000305175781,,19,71.4311530628744,0.8280023284622589,762.70790866483,11349.300222195587,,,0.0,0.0,0.6661482767664506
22,C22,,,,true,2238.4,2239.0,73,amze_unnamedsesq_1,0,895,895,98.68000030517578,,5,57.03887644513341,0.5287243784156592,1038.6224905462004,11052.641087473934,,,0.0,0.0,0.24256888358472672
23,dodecyl benzene,,,,true,1920.8053691275165,1921.0,7,amze_unnamedsesq_1,0,946,946,98.98999786376953,,4,48.738568766118775,0.6185077634296391,1014.1858337684534,10842.444413872037,,,0.0,0.0,0.25752140518232813
32,dC34,,,,true,3400.0,3400.0,21,amzi0503_b,0,922,922,62.11000061035156,,32,79.88375996535719,0.6683874217707391,848.9396836082451,10812.699805737173,,,0.0,0.0,1.0
38,cholesterol,,,,true,3209.195402298851,3209.0,24,amze_unnamedsesq_1,0,921,922,98.98999786376953,,17,76.72355107839289,0.8379782601304788,724.5023454283364,10310.9683922161,,,0.0,0.0,0.7448862610745526
26,C9 Diacid (azelaic acid),,,,true,1821.4765100671143,1823.0,27,amze_unnamedsesq_1,0,912,912,93.66999816894531,,14,45.92103313195785,0.9477135084808986,935.4914199323393,10257.274588095312,,,0.0,0.0,0.5568177741116883
37,d-pyrene,,,,true,2168.8888888888887,2167.0,10,amzi0503_b,0,906,906,97.2699966430664,,5,55.32551018111663,1.2270395951910582,712.7502890670439,10191.351407047565,,,0.0,0.0,0.22366642628329098
31,C23,,,,true,2340.8,2342.0,74,amze_unnamedsesq_1,0,871,871,98.88999938964844,,6,59.47566402062395,0.5287243784156592,886.3046454251744,9660.021777121847,,,0.0,0.0,0.24685467027816646
36,C18,,,,true,1829.530201342282,1831.0,69,amze_unnamedsesq_1,0,932,932,60.650001525878906,,14,46.149481967160085,0.4987965834109993,785.9201271859929,9611.268287345863,,,0.0,0.0,0.5217492198523616
24,monopalmitin,,,,true,2628.301886792453,2628.0,97,amze_unnamedsesq_1,0,900,901,98.83999633789062,,8,65.79608179455252,0.7282430117800589,982.4879857292399,9551.83704348109,,,0.0,0.0,0.3700090765581089
28,C24,,,,true,2442.1052631578946,2444.0,51,amze_unnamedsesq_1,0,869,869,54.63999938964844,,6,61.798227178513365,0.5387003100838792,912.3949777903035,9499.292551775841,,,0.0,0.0,0.24274735449334897
39,d-cholesterol,,,,true,3202.2988505747126,3200.0,9,amzi0503_b,0,916,916,98.98999786376953,,17,76.60932666079177,0.8379782601304788,718.0052913688123,9199.62796076753,,,0.0,0.0,0.6646006673966939
58,C10 diacid (sebacic acid),,,,true,1920.8053691275165,1922.0,38,amze_unnamedsesq_1,0,844,844,98.87000274658203,,4,48.738568766118775,0.9277616451444587,490.37918567005545,8841.096588063392,,,0.0,0.0,0.20998693005036992
63,dC36,,,,true,3600.0,3600.0,22,amzi0503_b,0,911,911,62.4900016784668,,63,83.38664210512482,0.748194875116499,457.0685257972218,8170.735672364839,,,0.0,0.0,1.0
48,isopimaric acid,,,,true,2383.9999999999995,2385.0,90,amze_unnamedsesq_1,0,910,910,85.25,,6,60.50368377903401,0.8479541917986988,592.5096950884908,7997.2916428703265,,,0.0,0.0,0.20436483862744292
50,FAME16 (Methyl Palmitate),,,,true,1955.7046979865772,1957.0,30,amze_unnamedsesq_1,0,922,922,80.23999786376953,,4,49.72851371866181,0.7282430117800589,571.876712189056,7917.331973766381,,,0.0,0.0,0.18804638302509605
59,lupeol,,,,true,3482.608695652173,3484.0,94,amze_unnamedsesq_1,0,911,911,93.94999694824219,,32,81.33060258830467,1.0275209618266585,488.24230410531163,7813.828014955795,,,0.0,0.0,0.7226528207885519
46,1211_0119_blob_608,,,,true,2824.242424242424,2824.0,101,fb_amz_compiled_t,0,843,843,98.68000030517578,,13,69.7177867988576,0.7282430117800589,616.9862933401018,7545.4842144966315,,,0.0,0.0,0.3453548576618727
41,C25,,,,true,2545.614035087719,2546.0,52,amze_unnamedsesq_1,0,888,888,98.16000366210938,,8,64.0446407246687,0.5486762417520992,700.7213980928063,7518.503150521613,,,0.0,0.0,0.29124391414553363
33,C13 acid,,,,true,1775.7575757575755,1777.0,40,amze_unnamedsesq_1,0,923,923,94.19999694824219,,14,44.550340120744416,0.688339285107179,808.5471836496145,7463.39551391869,,,0.0,0.0,0.40515160647045256
44,"cis-Vaccenic Acid, TMS",,,,true,2251.2,2260.0,1,amze_unnamedsesq_1,0,896,896,51.68000030517578,,5,57.34347489206973,0.688339285107179,621.3900971882977,7444.335667657148,,,0.0,0.0,0.1633785244306943
68,1128_0203_blob_621,,,,true,1837.5838926174497,1838.0,30,fb_amz_compiled_t,0,851,855,43.119998931884766,,14,46.37793080236232,0.5287243784156592,445.8163466658443,7423.885111055588,,,0.0,0.0,0.40300677799895757
42,benzophenone,,,,true,1664.2424242424242,1665.0,37,amze_unnamedsesq_1,0,957,957,84.5,,64,41.04745798097677,1.1771599368499583,663.2942386455834,7387.467416449251,,,0.0,0.0,1.5957535157566232
