BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,1202_1412_blob_1,,,,false,1729.2682926829268,1727.0,1,amz_lib_1202_1412,0,950,950,98.12999725341797,,0,43.00188778975319,0.8668027152482414,11350.475772747945,382746.2798010313,,,0.0,0.0,0.0
2,1130_1618_blob_2,,,,false,1286.8839208432378,1288.0,148,amz_fb_trimmed_esrem,0,949,949,98.95999908447266,,0,27.639221122338192,1.3948549440776299,9613.96263223447,389209.0243360833,,,0.0,0.0,0.0
3,1211_0119_blob_617,,,,false,1763.4146341463415,1762.0,98,amz_fb_trimmed_esrem,0,880,881,98.8499984741211,,0,44.06662706373245,0.9465087120526774,4494.266753704753,72946.24057844146,,,0.0,0.0,0.0
4,"d-C15 alcohol, TMS",,,,false,1869.798657718121,1869.0,4,amzi0503_b,0,926,926,98.94000244140625,,0,47.184792080385996,0.5380154784299429,4373.280771656195,78667.42034846405,,,0.0,0.0,0.0
5,dC20,dC20,,,true,2000.0,2000.0,14,amzi0503_b,0,862,862,98.05000305175781,,5,50.873353136671284,0.5280522288293884,3496.761749057565,58675.653040085606,,,0.0,0.0,1.0
6,dC22,dC22,,,true,2200.0,2200.0,15,amzi0503_b,0,905,905,50.25,,6,56.044943895999104,0.5479787280304974,3130.0232459474355,54802.37497723267,,,0.0,0.0,1.0
8,pentaerythritol-C13,pentaerythritol-C13,,,true,1524.5901639344265,1525.0,26,amzi0503_b,0,952,952,98.72000122070312,,8,36.34726732738284,0.5180889792288339,2399.4476130736875,24562.752316829778,,,0.0,0.0,1.0
9,1128_1901_fb_add_blob_1,,,,false,2079.411764705882,2079.0,14,amz_lib_1128_1901_fb_add,0,924,924,98.05000305175781,,0,52.926778879345555,0.6775009728377059,2385.1174535500177,40677.57951554622,,,0.0,0.0,0.0
10,dC24,dC24,,,true,2400.0,2400.0,16,amzi0503_b,0,910,910,98.05000305175781,,10,60.760217823621524,0.5579419776310519,2200.867962818593,41855.590857447896,,,0.0,0.0,1.0
11,dC26,dC26,,,true,2600.0,2600.0,17,amzi0503_b,0,928,928,97.51000213623047,,11,65.13325412746491,0.5778684768321609,2132.1842735973187,24222.120216767675,,,0.0,0.0,1.0
12,"d-C22 acid, TMS","d-C22 acid, TMS",,,true,2646.728971962617,2647.0,5,amzi0503_b,0,906,906,86.76000213623047,,12,66.08391419351781,0.717353971239924,2052.5992163173796,22813.51009995698,,,0.0,0.0,1.0
13,dC18,dC18,,,true,1800.0,1800.0,13,amzi0503_b,0,890,890,98.62000274658203,,13,45.20741914299594,0.5180889792288339,1739.8191952534253,25752.379369049577,,,0.0,0.0,1.0
15,dC28,dC28,,,true,2800.0,2800.0,18,amzi0503_b,0,932,932,98.05000305175781,,15,69.20207921017136,0.5878317264327154,1403.3144501775387,17614.737473736135,,,0.0,0.0,1.0
16,1130_1618_blob_575,,,,false,1613.4146341463415,1613.0,141,amz_fb_trimmed_esrem,0,917,917,50.25,,0,39.38937953875214,1.434707942479848,1302.5856321859173,21695.001892795448,,,0.0,0.0,0.0
17,dC32,dC32,,,true,3200.0,3200.0,20,amzi0503_b,0,902,902,98.05000305175781,,17,76.46512211481559,0.6376479744354879,1218.2912602999713,14157.320432023102,,,0.0,0.0,1.0
18,dC30,dC30,,,true,3000.0,3000.0,19,amzi0503_b,0,928,928,98.05000305175781,,18,72.96669307174088,0.6177214752343789,1206.5637173587456,14536.370932904829,,,0.0,0.0,1.0
20,1128_0203_blob_571,,,,false,1816.1073825503356,1815.0,22,amz_fb_trimmed_esrem,0,913,913,98.79000091552734,,0,45.66373597470134,0.9963249600554499,1097.8686469346285,11677.853729509055,,,0.0,0.0,0.0
21,1128_1901_fb_add_blob_7,,,,false,2279.032258064516,2279.0,13,amz_lib_1128_1901_fb_add,0,895,895,98.05000305175781,,0,57.9082376254628,0.6775009728377059,1032.8636935697868,14057.378883101663,,,0.0,0.0,0.0
22,dC34,dC34,,,true,3400.0,3400.0,21,amzi0503_b,0,922,923,98.05000305175781,,22,79.7734191446797,0.6775009728377059,918.2221942115575,12428.312253958718,,,0.0,0.0,1.0
23,d-pyrene,d-pyrene,,,true,2167.6470588235297,2167.0,10,amzi0503_b,0,929,929,98.68000030517578,,23,55.208363037872545,1.2454062000693125,885.9651586585678,15734.75165726095,,,0.0,0.0,1.0
24,1221_0832_blob_511,,,,false,2004.4117647058822,2004.0,20,amz_lib_1221_0832,0,892,892,98.66999816894531,,0,50.98743234459763,0.5778684768321609,833.4456312020775,10798.162615318592,,,0.0,0.0,0.0
26,dC16,dC16,,,true,1600.0,1600.0,12,amzi0503_b,0,913,913,98.7699966430664,,26,38.97108910968886,0.49816248002772495,844.6307205203921,7583.315919157852,,,0.0,0.0,1.0
28,d-cholestane,d-cholestane,,,true,2913.131313131313,2913.0,8,amzi0503_b,0,931,932,50.25,,28,71.33155775812988,0.836912966446578,789.7651960072108,11079.30289029581,,,0.0,0.0,1.0
29,d-cholesterol,d-cholesterol- maybe recheck,,,true,3202.2988505747126,3200.0,9,amzi0503_b,0,911,911,93.41999816894531,,29,76.5031485174577,0.8468762160471325,761.8917147400789,11472.661424105718,,,0.0,0.0,1.0
46,1221_0832_blob_730,,,,false,1845.6375838926174,1846.0,82,amz_lib_1221_0832,0,807,808,97.04000091552734,,0,46.5003168328279,0.816986467245469,636.7822145218306,10125.90854257685,,,0.0,0.0,0.0
50,1129_1334_blob_584,,,,false,1877.8523489932884,1878.0,1,amz_lib_1129_1334,0,923,923,98.08000183105469,,0,47.412950496238686,0.6177214752343789,633.7969901285614,5621.842518524493,,,0.0,0.0,0.0
79,dC36,dC36,,,true,3600.0,3600.0,22,amzi0503_b,0,901,902,98.05000305175781,,79,83.2718481877544,0.757206969642142,595.2906812871806,9961.743138062518,,,0.0,0.0,1.0
120,1202_1412_blob_5,,,,false,1892.6174496644294,1893.0,2,amz_lib_1202_1412,0,946,946,98.9800033569336,,0,47.83124092530197,1.2653326992704215,556.3160548387095,9750.870143988537,,,0.0,0.0,0.0
293,1130_1618_blob_573,,,,false,1877.8523489932884,1877.0,143,amz_fb_trimmed_esrem,0,822,882,97.47000122070312,,0,47.412950496238686,0.6775009728377059,545.7520277444273,7581.636238526486,,,0.0,0.0,0.0
300,1221_0832_blob_284,,,,false,1474.3169398907103,1474.0,19,amz_lib_1221_0832,0,916,916,97.33000183105469,,0,34.598052805845484,0.6874642224382604,555.455271506682,5575.361406427643,,,0.0,0.0,0.0
532,d-C6diacid,d-C6diacid,,,true,1524.5901639344265,1524.0,6,amzi0503_b,0,908,910,98.94000244140625,,532,36.34726732738284,1.0062882096560044,484.6565667069517,6458.264730136355,,,0.0,0.0,1.0
552,1221_0832_blob_684,,,,false,1718.2926829268297,1718.0,60,amz_lib_1221_0832,0,846,846,98.55999755859375,,0,42.659650165974156,0.8767659648487959,461.0478900516173,7774.28642803663,,,0.0,0.0,0.0
553,Blob with BlobID = 547,,,,false,1801.3422818791946,1801.0,14,amz_add_misc,0,930,930,94.75,,0,45.245445545638056,1.2354429504687579,439.70783519744873,9759.644560027255,,,0.0,0.0,0.0
554,1221_0832_blob_29,,,,false,1845.6375838926174,1846.0,8,amz_lib_1221_0832,0,926,926,97.69999694824219,,0,46.5003168328279,2.211841411323099,375.7707584882155,5751.401512504103,,,0.0,0.0,0.0
555,d-anthraquinone,d-anthraquinone,,,true,2014.7058823529412,2012.0,7,amzi0503_b,0,906,907,97.68000030517578,,555,51.25361716309244,1.434707942479848,350.4405604151543,6928.710930818408,,,0.0,0.0,1.0
556,1128_1901_fb_add_blob_586,,,,false,2884.848484848485,2885.0,11,amz_lib_1128_1901_fb_add,0,868,868,50.25,,0,70.79918812114025,0.7073907216393694,362.1506413035095,3489.3689649034864,,,0.0,0.0,0.0
557,1128_0203_blob_595,,,,false,1621.9512195121954,1621.0,63,amz_fb_trimmed_esrem,0,855,856,98.58999633789062,,0,39.65556435724696,0.6775009728377059,341.7259595768992,4253.284942443324,,,0.0,0.0,0.0
558,1213_2145_blob_609,,,,false,1743.90243902439,1744.0,2,amz_lib_1213_2145,0,776,776,83.5199966430664,,0,43.458204621458584,0.8568394656476869,335.23359277425334,7323.9989789722495,,,0.0,0.0,0.0
559,1221_0832_blob_928,,,,false,1926.174496644295,1926.0,173,amz_lib_1221_0832,0,673,674,98.70999908447266,,0,48.781900991354874,1.0361779584576678,295.8325031596469,4968.178803372932,,,0.0,0.0,0.0
560,1221_0832_blob_48,,,,false,1572.6775956284155,1573.0,15,amz_lib_1221_0832,0,919,919,97.77999877929688,,0,38.02042904363596,0.5778684768321609,266.344614174086,3598.1851602586876,,,0.0,0.0,0.0
561,1129_1334_blob_660,,,,false,1789.0243902439026,1788.0,10,amz_lib_1129_1334,0,884,884,98.97000122070312,,0,44.8651815192169,0.8767659648487959,262.7843084624037,4644.5332699441,,,0.0,0.0,0.0
562,1221_0832_blob_797,,,,false,1918.1208053691275,1918.0,112,amz_lib_1221_0832,0,842,844,97.23999786376953,,0,48.553742575502184,0.5878317264327154,259.3902505635051,3318.00418614697,,,0.0,0.0,0.0
563,1211_0119_blob_634,,,,false,1595.6284153005463,1596.0,108,amz_fb_trimmed_esrem,0,854,860,93.41999816894531,,0,38.81898349912039,1.1457737040637674,249.94734219368547,3576.0813600359556,,,0.0,0.0,0.0
564,Blob with BlobID = 547,,,,false,1796.3414634146343,1801.0,14,amz_add_misc,0,870,872,89.8499984741211,,0,45.093339935069594,1.2952224480720849,228.75611509988084,3988.993355719501,,,0.0,0.0,0.0
565,1128_1901_fb_add_blob_43,,,,false,1957.0469798657716,1957.0,8,amz_lib_1128_1901_fb_add,0,845,845,97.33000183105469,,0,49.65650825212356,0.717353971239924,239.1515826540999,3348.4263451612187,,,0.0,0.0,0.0
566,Blob with BlobID = 584,,,,false,1822.8187919463087,1821.0,2,amz_add_misc,0,866,866,98.08999633789062,,0,45.85386798791192,0.9365454624521229,228.66757071355823,3824.977333367641,,,0.0,0.0,0.0
567,"d-C10 acid, TMS","d-C10 acid, TMS",,,true,1465.5737704918033,1466.0,3,amzi0503_b,0,914,915,98.13999938964844,,567,34.29384158470855,0.7073907216393694,230.2665447727777,1773.223481852637,,,0.0,0.0,1.0
568,1221_0832_blob_42,,,,false,1595.6284153005463,1596.0,12,amz_lib_1221_0832,0,928,929,98.45999908447266,,0,38.81898349912039,0.8568394656476869,210.53810677444562,2773.309188080653,,,0.0,0.0,0.0
569,1213_2145_blob_732,,,,false,3089.130434782608,3088.0,12,amz_lib_1213_2145,0,883,885,83.47000122070312,,0,74.52577558006763,0.717353971239924,215.63052625744604,2501.971204212051,,,0.0,0.0,0.0
570,chrysene-d,chrysene-d,,,true,2523.4782608695655,2523.0,2,amzi0503_b,0,891,891,50.25,,570,63.46009241121179,1.2952224480720849,198.010063510912,3736.4328751023963,,,0.0,0.0,1.0
571,1221_0832_blob_713,,,,false,1700.0000000000005,1700.0,74,amz_lib_1221_0832,0,830,832,94.97000122070312,,0,42.08925412634241,0.7273172208404785,196.25728500075638,3186.9566919115805,,,0.0,0.0,0.0
572,1221_0832_blob_22,,,,false,1632.9268292682927,1634.0,6,amz_lib_1221_0832,0,920,920,98.18000030517578,,0,39.997801981026,1.3350754464743029,184.1399344666861,2756.3248703079894,,,0.0,0.0,0.0
573,1221_0832_blob_996,,,,false,1924.8322147651004,1925.0,207,amz_lib_1221_0832,0,744,751,98.44999694824219,,0,48.74387458871276,0.8668027152482414,183.18090801732615,2281.0417143449968,,,0.0,0.0,0.0
574,1221_0832_blob_35,,,,false,1707.3170731707319,1707.0,10,amz_lib_1221_0832,0,833,838,91.52999877929688,,0,42.3174125421951,0.8767659648487959,176.33134901188896,3738.917468094165,,,0.0,0.0,0.0
575,1221_0832_blob_45,,,,false,1902.0134228187917,1902.0,14,amz_lib_1221_0832,0,905,906,97.23999786376953,,0,48.097425743796784,0.8867292144493504,170.92000208469108,2567.172615831216,,,0.0,0.0,0.0
576,1221_0832_blob_936,,,,false,1838.9261744966443,1839.0,176,amz_lib_1221_0832,0,530,530,96.05000305175781,,0,46.31018481961732,0.9465087120526774,169.82117482367903,3207.452706795557,,,0.0,0.0,0.0
577,1221_0832_blob_4,,,,false,1873.8255033557048,1874.0,1,amz_lib_1221_0832,0,868,902,98.55000305175781,,0,47.29887128831235,0.9465087120526774,162.8975414331071,2097.4842437826223,,,0.0,0.0,0.0
578,1221_0832_blob_638,,,,false,1488.5245901639344,1488.0,37,amz_lib_1221_0832,0,897,899,98.68000030517578,,0,35.092396040192995,0.717353971239924,163.60408734995872,1592.9171838525183,,,0.0,0.0,0.0
579,1129_1334_blob_625,,,,false,1782.9268292682927,1783.0,5,amz_lib_1129_1334,0,707,707,76.66999816894531,,0,44.67504950600631,0.6575744736365969,157.01451910311152,2742.6773148144734,,,0.0,0.0,0.0
580,1129_1334_blob_743,,,,false,1786.5853658536587,1787.0,21,amz_lib_1129_1334,0,719,723,41.209999084472656,,0,44.78912871393266,0.6575744736365969,154.66484171524644,2485.3330677761624,,,0.0,0.0,0.0
581,1202_1412_blob_601,,,,false,1739.0243902439024,1738.0,7,amz_lib_1202_1412,0,879,879,96.83999633789062,,0,43.30609901089012,0.8867292144493504,152.42276154225692,3141.7469652266,,,0.0,0.0,0.0
582,4-methoxy-benzaldehyde,4-methoxy-benzaldehyde,,,true,1278.6863713702614,1292.0,1,amzi0503_b,0,0,902,0.5,,582,27.25895709591703,1.514413939284284,149.12177690351382,1723.1930047453352,,,0.0,0.0,1.0
583,1130_1618_blob_571,,,,false,1268.0295570553922,1269.0,145,amz_fb_trimmed_esrem,0,931,932,98.95999908447266,,0,26.764613861569515,0.8966924640499049,150.1684050555341,1275.7756175741415,,,0.0,0.0,0.0
584,1221_0832_blob_5,,,,false,1775.6097560975613,1777.0,2,amz_lib_1221_0832,0,883,886,96.91000366210938,,0,44.44689109015362,0.9664352112537864,144.5389716331847,3379.804705072424,,,0.0,0.0,0.0
585,1213_2145_blob_863,,,,false,3291.954022988505,3292.0,23,amz_lib_1213_2145,0,857,859,97.37000274658203,,0,77.98617822050024,0.737280470441033,152.97344953147694,1866.1558949176185,,,0.0,0.0,0.0
586,1221_0832_blob_564,,,,false,1934.228187919463,1934.0,22,amz_lib_1221_0832,0,895,896,98.94000244140625,,0,49.01005940720758,0.6276847248349334,143.23604260059074,2621.8209239059615,,,0.0,0.0,0.0
587,1202_1412_blob_6,,,,false,1993.2885906040267,1993.0,3,amz_lib_1202_1412,0,909,909,97.98999786376953,,0,50.6832211234607,1.2254797008682035,132.94058107118326,2951.011272842792,,,0.0,0.0,0.0
588,1221_0832_blob_681,,,,false,1670.7317073170732,1671.0,58,amz_lib_1221_0832,0,814,826,97.19000244140625,,0,41.17662046293161,0.6276847248349334,135.5675425012596,1652.1723573617528,,,0.0,0.0,0.0
589,1128_1901_fb_add_blob_633,,,,false,2684.1121495327106,2682.0,12,amz_lib_1128_1901_fb_add,0,783,783,50.25,,0,66.84444224636015,0.6775009728377059,141.21278136363253,1728.2895482655788,,,0.0,0.0,0.0
590,1202_0046_blob_743,,,,false,1618.2926829268295,1618.0,3,amz_lib_1202_0046,0,846,846,95.80999755859375,,0,39.54148514932061,1.0062882096560044,129.54645557934418,1844.8446888953097,,,0.0,0.0,0.0
591,1202_1412_blob_817,,,,false,1965.1006711409395,1965.0,33,amz_lib_1202_1412,0,807,807,98.97000122070312,,0,49.884666667976255,0.7671702192426965,128.66536477499176,2073.7595351084137,,,0.0,0.0,0.0
592,1202_1412_blob_754,,,,false,1735.3658536585367,1735.0,23,amz_lib_1202_1412,0,862,862,96.20999908447266,,0,43.19201980296378,1.0361779584576678,123.82255441462621,1666.7632051485436,,,0.0,0.0,0.0
593,1221_0832_blob_33,,,,false,1745.1219512195123,1745.0,9,amz_lib_1221_0832,0,905,906,98.31999969482422,,0,43.4962310241007,1.3848916944770753,115.15114218182862,3237.2003288049254,,,0.0,0.0,0.0
594,1129_1334_blob_594,,,,false,1845.6375838926174,1846.0,2,amz_lib_1129_1334,0,854,864,97.91000366210938,,0,46.5003168328279,1.3251121968737485,106.03629716811702,2217.9744002048647,,,0.0,0.0,0.0
595,1128_1901_blob_620,,,,false,1404.3715846994537,1405.0,7,amz_lib_1128_1901,0,905,905,98.87000274658203,,0,32.16436303675004,0.5479787280304974,112.55352615177253,1093.2247348215024,,,0.0,0.0,0.0
596,1221_0832_blob_719,,,,false,1404.3715846994537,1404.0,78,amz_lib_1221_0832,0,866,870,98.05000305175781,,0,32.16436303675004,0.8767659648487959,105.98139387881383,1197.4183746966348,,,0.0,0.0,0.0
597,1128_1901_blob_703,,,,false,1412.0218579234975,1413.0,21,amz_lib_1128_1901,0,903,903,98.6500015258789,,0,32.43054785524485,0.5280522288293884,106.7492751358077,785.0587731120686,,,0.0,0.0,0.0
598,Blob with BlobID = 562,,,,false,1732.9268292682927,1732.0,16,amz_add_misc,0,869,873,89.58000183105469,,0,43.11596699767954,1.2454062000693125,100.60527908313088,1782.564322988538,,,0.0,0.0,0.0
599,1221_0832_blob_662,,,,false,2953.535353535353,2954.0,49,amz_lib_1221_0832,0,856,860,50.25,,0,72.0920858109722,0.5778684768321609,108.22018052404383,1132.3549744333309,,,0.0,0.0,0.0
600,1221_0832_blob_785,,,,false,3158.695652173912,3157.0,106,amz_lib_1221_0832,0,830,830,50.25,,0,75.74262046461536,0.6077582256338244,102.71972442200058,1232.094019545536,,,0.0,0.0,0.0
601,1129_1334_blob_658,,,,false,1887.2483221476507,1886.0,9,amz_lib_1129_1334,0,868,868,98.04000091552734,,0,47.6791353147335,0.6276847248349334,101.08568814094178,1562.2399883796515,,,0.0,0.0,0.0
602,1202_1412_blob_573,,,,false,1554.098360655738,1554.0,5,amz_lib_1202_1412,0,903,903,98.5,,0,37.37398019871998,0.5679052272316064,99.03797526098788,1196.9814619160197,,,0.0,0.0,0.0
603,1128_0203_blob_592,,,,false,2055.882352941176,2056.0,47,amz_fb_trimmed_esrem,0,841,851,98.04000091552734,,0,52.31835643707169,0.7073907216393694,95.42563102627173,1608.06425229477,,,0.0,0.0,0.0
604,1129_1334_blob_743,,,,false,1786.5853658536587,1787.0,21,amz_lib_1129_1334,0,856,856,98.68000030517578,,0,44.78912871393266,0.5977949760332699,91.49102567340015,691.457355346938,,,0.0,0.0,0.0
605,1128_1901_blob_981,,,,false,1256.5529877932254,1259.0,106,amz_lib_1128_1901,0,866,867,50.25,,0,26.23224422457989,0.6276847248349334,98.41257476131432,879.3691369871158,,,0.0,0.0,0.0
607,1221_0832_blob_581,,,,false,1748.7804878048782,1749.0,31,amz_lib_1221_0832,0,872,874,98.2300033569336,,0,43.610310232027054,1.2653326992704215,85.33935152716003,2012.1324844885567,,,0.0,0.0,0.0
608,1221_0832_blob_687,,,,false,1816.1073825503356,1817.0,62,amz_lib_1221_0832,0,719,733,46.849998474121094,,0,45.66373597470134,1.2952224480720849,82.89600370172411,1666.8211876129826,,,0.0,0.0,0.0
636,1221_0832_blob_687,,,,false,1816.1073825503356,1817.0,62,amz_lib_1221_0832,0,695,713,33.720001220703125,,0,45.66373597470134,1.3450386960748575,78.38005090411752,1249.2303128495205,,,0.0,0.0,0.0
637,1221_0832_blob_15,,,,false,2100.0,2101.0,4,amz_lib_1221_0832,0,892,897,98.44000244140625,,0,53.45914851633518,1.2055532016670945,80.05949268629774,2729.9136060944015,,,0.0,0.0,0.0
641,1202_1412_blob_1073,,,,false,1689.0243902439026,1688.0,68,amz_lib_1202_1412,0,613,613,85.12999725341797,,0,41.747016502563355,0.6476112240360424,82.23154746700311,730.8582031515252,,,0.0,0.0,0.0
642,1221_0832_blob_37,,,,false,1851.006711409396,1851.0,11,amz_lib_1221_0832,0,882,886,91.33000183105469,,0,46.65242244339637,0.9963249600554499,79.73881297855405,2030.0577431834192,,,0.0,0.0,0.0
646,1221_0832_blob_649,,,,false,1883.2214765100669,1883.0,42,amz_lib_1221_0832,0,864,871,98.6500015258789,,0,47.56505610680715,0.6276847248349334,77.6873069369467,776.5777769518045,,,0.0,0.0,0.0
648,1130_1618_blob_646,,,,false,1977.181208053691,1977.0,136,amz_fb_trimmed_esrem,0,857,872,98.37999725341797,,0,50.226904291755304,0.6675377232371514,79.06810038350523,997.036980361021,,,0.0,0.0,0.0
652,1128_1901_blob_694,,,,false,2783.1775700934577,2783.0,19,amz_lib_1128_1901,0,887,887,95.41999816894531,,0,68.8598415863923,0.6874642224382604,77.51076828176156,919.8215604030092,,,0.0,0.0,0.0
