BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
1,,C14,,TRUE,0,38.083407,0.85999988,1603009,1.72E+07,-,-1,-,-1,-1,,,,1400
2,,"blob3_g48_Cyclopentasiloxane, decamethyl-",,FALSE,0,29.00007494,0.459999936,1436166,1.48E+07,caice_voc_g48,961,C10H30O5Si5,18,370,1149,,,1148.93617
3,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",,FALSE,0,22.66674249,0.459999936,1490293,2.18E+07,caice_voc_g48,933,C8H24O4Si4,21,296,985,,,994.5454545
4,,C12,,TRUE,0,31.00007466,0.739999896,1146952,8670410,-,-1,-,-1,-1,,,,1200
5,,"blob7_g48_Cyclohexasiloxane, dodecamethyl-",,FALSE,0,35.33340739,0.459999936,977341,6048856,caice_voc_g48,496,C12H36O6Si6,23,444,1320,,,1420.002653
6,,"blob8_g48_Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",,FALSE,0,47.16673906,3.319999535,884121,1.17E+07,caice_voc_g48,947,C15H20O2,20,232,1694,,,1694.285714
7,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,FALSE,0,38.25007365,0.959999866,820379,5675663,caice_voc_g48,742,C12H24,86,168,,,,1509.099662
8,,C16,,TRUE,0,44.41673945,0.919999871,802808,5060420,-,-1,-,-1,-1,,,,1600
9,,blob16_g48_1-Dodecene,,FALSE,0,30.91674134,0.879999877,792244,5362278,caice_voc_g48,960,C12H24,29,168,1198,,,1197.87234
10,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",,FALSE,0,14.75007694,0.579999919,744527,2.22E+07,caice_voc_g48,960,C6H18O3Si3,17,222,828,,,828.3333333
11,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",,FALSE,0,22.25007589,0.459999936,754228,6229886,caice_voc_g48,941,C8H24O4Si4,21,296,985,,,985.4545455
12,,blob5_g48_2-Decen-1-ol,,FALSE,0,29.33340823,2.059999712,619936,7228309,caice_voc_g48,955,C10H20O,19,156,1157,,,1157.446809
13,,"blob144_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,37.16674046,0.819999885,671000,4235742,caice_voc_g48,734,C19H40,62,268,1745,,,1750.009947
14,,blob567_g48_1-Iodo-2-methylundecane,,FALSE,0,36.58340721,0.779999891,569324,5094346,caice_voc_g48,717,C12H25I,232,296,,,,1645.007626
15,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,38.00007368,0.979999863,512715,3689862,caice_voc_g48,739,C18H36,247,252,,,,1899.55831
