BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
1,,C14,,TRUE,0,38.08340943,0.939999756,1651056,2.05E+07,-,-1,-,-1,-1,,,,1400
2,,"blob2_g48_Cyclotetrasiloxane, octamethyl-",,FALSE,0,22.58341346,0.559999854,1584399,4.16E+07,caice_voc_g48,755,C8H24O4Si4,16,296,993,,,992.7272727
3,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",,FALSE,0,22.1667469,0.579999849,1439935,2.02E+07,caice_voc_g48,930,C8H24O4Si4,21,296,985,,,983.6363636
4,,"blob3_g48_Cyclopentasiloxane, decamethyl-",,FALSE,0,29.00007846,0.519999865,1305518,1.25E+07,caice_voc_g48,778,C10H30O5Si5,18,370,1149,,,1148.93617
5,,"blob3_g48_Cyclopentasiloxane, decamethyl-",,FALSE,0,29.08341177,0.559999854,1326995,1.13E+07,caice_voc_g48,893,C10H30O5Si5,18,370,1149,,,1151.06383
6,,C12,,TRUE,0,31.00007794,0.839999782,1330686,1.04E+07,-,-1,-,-1,-1,,,,1200
7,,"blob428_g48_Heptasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13-tetradecamethyl-",,FALSE,0,35.33341015,0.53999986,1252818,1.10E+07,caice_voc_g48,474,C14H44O6Si7,280,504,,,,1420.00274
8,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",,FALSE,0,14.75008217,0.659999828,1175723,3.21E+07,caice_voc_g48,965,C6H18O3Si3,17,222,828,,,828.3333333
9,,blob5_g48_2-Decen-1-ol,,FALSE,0,29.2500784,2.159999438,972499,1.53E+07,caice_voc_g48,971,C10H20O,19,156,1157,,,1155.319149
10,,"blob8_g48_Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",,FALSE,0,47.1667404,3.419999111,908591,1.24E+07,caice_voc_g48,939,C15H20O2,20,232,1694,,,1697.058824
11,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,FALSE,0,38.25007606,1.059999724,922769,6904759,caice_voc_g48,737,C12H24,86,168,,,,1509.099938
12,,C16,,TRUE,0,44.41674112,1.019999735,882262,6577768,-,-1,-,-1,-1,,,,1600
13,,"blob144_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,37.166743,0.899999766,794127,6168958,caice_voc_g48,730,C19H40,62,268,1745,,,1750.010276
14,,blob567_g48_1-Iodo-2-methylundecane,,FALSE,0,36.50007651,0.879999771,761948,7346242,caice_voc_g48,722,C12H25I,232,296,,,,1630.007536
15,,blob16_g48_1-Dodecene,,FALSE,0,30.91674463,0.979999745,737343,4869973,caice_voc_g48,962,C12H24,29,168,1198,,,1197.87234
16,,blob318_g48_1-Hexadecanol,,FALSE,0,38.00007612,1.059999724,676301,3757135,caice_voc_g48,739,C16H34O,172,242,,,,1899.543697
17,,"blob18_g48_Hexadecen-1-ol, trans-9-",,FALSE,0,44.66674105,1.159999698,654965,5969674,caice_voc_g48,963,C16H32O,27,240,1609,,,1608.823529
