BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
34,,"blob30_g48_Octane, 2,2,6-trimethyl-",961.8181818,962,,FALSE,0,21.08336759,0.699999909,101511,1256270,caice_voc_g48,924,C11H24,43,156,,
35,,"blob81_g48_Cyclopentane, nonyl-",1796.292092,1459,,FALSE,0,39.91669848,1.179999847,97481,1012783,caice_voc_g48,901,C14H28,60,196,,
36,,C11,1100,,,TRUE,0,27.00003349,0.819999893,92876,1531564,-,-1,-,-1,-1,,
37,,"blob85_g48_Cyclopropane, nonyl-",1297.727273,1298,,FALSE,0,34.50003252,1.059999862,88741,844702,caice_voc_g48,914,C12H24,69,168,,
38,,blob154_g48_Geranylacetone_CAICE_vocstand_incomplete,,,,FALSE,0,52.83336347,3.399999558,84250,4911051,caice_voc_g48,861,-,5,0,,
39,,blob17_g48_1-Tetradecene,1850.014369,1400,,FALSE,0,38.75003196,1.139999852,86278,911426,caice_voc_g48,908,C14H28,28,196,,
40,,"blob133_g48_Sulfurous acid, hexyl tetradecyl ester",1751.515152,1752,,FALSE,0,48.66669734,1.07999986,85005,1068033,caice_voc_g48,876,C20H42O3S,63,362,,
41,,"blob165_g48_2-Propenoic acid, tridecyl ester",1733.333333,1733,,FALSE,0,48.16669741,2.219999711,79471,3809746,caice_voc_g48,854,C16H30O2,71,254,,
42,,blob88_g48_2-Ethyl-1-hexanol,1088,1088,,FALSE,0,26.50003356,4.479999418,79211,2397969,caice_voc_g48,885,C8H18O,39,130,,
43,,C17,1700,,,TRUE,0,47.25003086,1.089999858,80465,1391926,-,-1,-,-1,-1,,
44,,"blob90_g48_2-Propenoic acid, 2-methyl-, 3,3,5-trimethylcyclohexyl ester",1856.102779,1393,,FALSE,0,37.75003209,2.059999732,78994,1590823,caice_voc_g48,897,C13H22O2,50,210,,
45,,"blob31_g48_2-Octen-1-ol, (E)-",1054,1054,,FALSE,0,25.08336707,2.249999708,78133,2289537,caice_voc_g48,956,C8H16O,37,128,,
46,,"blob119_g48_Tridecane, 3-methylene-",1856.102779,1393,,FALSE,0,37.75003209,1.089999858,76180,795015,caice_voc_g48,888,C14H28,76,196,,
47,,blob82_g48_cis-2-Nonene,896.6101695,897,,FALSE,0,18.08336798,0.889999884,76246,933295,caice_voc_g48,928,C9H18,44,126,,
52,,"blob144_g48_Heptadecane, 2,6-dimethyl-",1745.454545,1745,,FALSE,0,48.5000307,1.07999986,72854,1062893,caice_voc_g48,874,C19H40,62,268,,
74,,C10,1000,,,TRUE,0,22.83336737,0.7699999,72324,852360,-,-1,-,-1,-1,,
116,,"blob29_g48_Phenol, 3,5-bis(1,1-dimethylethyl)-",1611.428571,1611,,FALSE,0,44.66669786,3.629999528,68028,3238312,caice_voc_g48,908,C14H22O,31,206,,
120,,blob503_g48_Cyclobutanol,,1243,,FALSE,0,1.416703483,4.989999351,68175,1360148,caice_voc_g48,532,C4H8O,181,72,,
155,,"blob36_g48_2,2,7,7-Tetramethyloctane",1024,1024,,FALSE,0,23.83336724,0.68999991,68930,852598,caice_voc_g48,929,C12H26,42,170,,
156,,"blob143_g48_Heptadecane, 2,6-dimethyl-",1516.216216,1516,,FALSE,0,41.75003157,0.959999875,66454,1625870,caice_voc_g48,887,C19H40,51,268,,
157,,"blob129_g48_3,5-Dimethyldodecane",1548.782822,1341,,FALSE,0,36.00003232,0.899999883,63104,752630,caice_voc_g48,901,C14H30,72,198,,
158,,blob139_g48_Acetophenone_CAICE_vocstand_incomplete,1144.680851,1145,,FALSE,0,28.75003326,2.489999676,58815,2169396,caice_voc_g48,894,-,3,0,,
159,,"blob155_g48_1,4-Methanoazulen-9-one, decahydro-1,5,5,8a-tetramethyl-, [1R-(1,3a,4,8a)]-",1543.243243,1543,,FALSE,0,42.5833648,2.679999652,57452,1249331,caice_voc_g48,867,C15H24O,78,220,,
160,,blob32_g48_Cetene,1518.518256,1597,,FALSE,0,41.16669832,1.149999851,57729,883191,caice_voc_g48,909,C16H32,41,224,,
164,,C9,900,,,TRUE,0,18.25003463,0.729999905,54847,449210,-,-1,-,-1,-1,,
168,,blob221_g48_2-Decen-1-ol,1759.25558,1464,,FALSE,0,40.08336512,2.219999711,52190,1269148,caice_voc_g48,880,C10H20O,125,156,,
170,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,,,FALSE,0,50.41669711,1.279999834,52606,1110543,caice_voc_g48,879,C12H24,86,168,,
175,,blob32_g48_Cetene,1697.142857,1597,,FALSE,0,47.16669754,1.239999839,50838,741240,caice_voc_g48,892,C16H32,41,224,,
176,,C18,1800,,,TRUE,0,50.0000305,1.129999853,50668,812791,-,-1,-,-1,-1,,
181,,"blob200_g48_3,5-Dimethyldodecane",1537.036511,1472,,FALSE,0,41.08336499,0.939999878,48148,796229,caice_voc_g48,861,C14H30,89,198,,
