BlobID,Description,Compound Name,Group Name,Inclusion,LRI I,Library RI,Library Match Factor,Retention I (min),Retention II (sec),Internal Standard,Peak Value,Volume,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
415,,"blob397_g48_2-Undecanethiol, 2-methyl-",,false,1140.4255319148933,1138.0,644,28.583366617500484,0.879999885600015,0,10122.0,377879.0,caice_voc_g48,C12H26S,166,202,,
473,,blob434_g48_1-Iodo-2-methylundecane,,false,1637.142857142857,1637.0,805,45.41669776250077,0.9199998804000156,0,7993.0,373984.0,caice_voc_g48,C12H25I,129,296,,
347,,"blob380_g48_Oxirane, dodecyl-",,false,1680.4913751869226,1669.0,810,36.75003222250062,2.0999997270000357,0,14519.0,372297.0,caice_voc_g48,C14H28O,200,212,,
343,,"blob247_g48_Tetradecane, 1-iodo-",,false,1662.857142857143,1663.0,842,46.16669766500078,0.949999876500016,0,15130.0,371813.0,caice_voc_g48,C14H29I,104,324,,
229,,"blob162_g48_Decane, 2,5,9-trimethyl-",,false,1066.0,1066.0,917,25.583367007500435,0.6599999142000111,0,22411.0,369821.0,caice_voc_g48,C13H28,75,184,,
303,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,994.5454545454545,,630,22.583367397500385,0.649999915500011,0,17411.0,369779.0,caice_voc_g48,C21H44,208,296,,
215,,"blob194_g48_1,4-Undecadiene, (E)-",,false,1140.4255319148933,1140.0,805,28.583366617500484,1.2099998427000205,0,23834.0,364234.0,caice_voc_g48,C11H20,145,152,,
394,,"blob207_g48_2-Undecanethiol, 2-methyl-",,false,1112.7659574468084,1111.0,841,27.500033425000467,0.8199998934000139,0,11277.0,362641.0,caice_voc_g48,C12H26S,80,202,,
356,,"blob183_g48_Hexanal, 5-methyl-",,false,949.090909090909,951.0,825,20.50003433500035,2.2299997101000377,0,13782.0,359260.0,caice_voc_g48,C7H14O,73,114,,
294,,"blob166_g48_Decane, 2,5,9-trimethyl-",,false,1080.0,1080.0,874,26.166700265000443,0.6699999129000114,0,17660.0,356857.0,caice_voc_g48,C13H28,70,184,,
317,,blob318_g48_1-Hexadecanol,,false,,,792,52.08336356250088,1.3099998297000222,0,16270.0,353607.0,caice_voc_g48,C16H34O,172,242,,
396,,"blob340_g48_4,4-Dimethylazetidin-2-one",,false,1042.0,1042.0,887,24.583367137500417,2.6599996542000452,0,10875.0,353595.0,caice_voc_g48,C5H9NO,121,99,,
558,,"blob640_g48_Hydroxylamine, O-decyl-",,false,,,722,55.33336314000094,1.3099998297000222,0,6974.0,353313.0,caice_voc_g48,C10H23NO,161,173,,
354,,"blob226_g48_Heptadecane, 2,6-dimethyl-",,false,1660.0,1649.0,766,46.08336434250078,0.9099998817000154,0,14134.0,352640.0,caice_voc_g48,C19H40,97,268,,
319,,blob192_g48_1-Iodo-2-methylundecane,,false,1733.3333333333335,1724.0,807,48.25003072750082,0.9699998739000164,0,16368.0,350596.0,caice_voc_g48,C12H25I,85,296,,
414,,blob221_g48_2-Decen-1-ol,,false,1450.0015965512212,1464.0,740,38.083365382500645,1.2099998427000205,0,10318.0,347605.0,caice_voc_g48,C10H20O,125,156,,
440,,"blob452_g48_Heptadecane, 4-propyl-",,false,,,743,51.91669691750088,1.1399998518000194,0,9018.0,344608.0,caice_voc_g48,C20H42,180,282,,
331,,"blob153_g48_1,10-Dicyanodecane",,false,1165.9574468085107,1166.0,904,29.583366487500502,3.4599995502000587,0,15246.0,342701.0,caice_voc_g48,C12H20N2,68,192,,
358,,"blob450_g48_1,3-Dioxolane, 4-methyl-2-pentyl-",,false,810.1694915254237,812.0,811,13.833368535000234,2.0199997374000342,0,13616.0,336818.0,caice_voc_g48,C9H18O2,260,158,,
434,,"blob259_g48_9-Octadecene, (E)-",,false,1777.7777777777778,,765,49.58336388750084,1.1399998518000194,0,9309.0,336599.0,caice_voc_g48,C18H36,247,252,,
456,,"blob366_g48_1-Pentadecanamine, N,N-dimethyl-",,false,,,793,53.5833633675009,1.419999815400024,0,8538.0,335659.0,caice_voc_g48,C17H37N,148,255,,
