BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
1639,,"blob436_g48_2,3-Pentanedione, 4-methyl-",,false,0,14.083368502500239,3.3999995580000575,3122.0,29357.0,caice_voc_g48,864,C6H10O2,185,114,,,,
1858,,"blob701_g48_Butylphosphonic acid, butyl 2-phenylethyl ester",,false,0,35.333365740000595,1.5699997959000267,2175.0,46857.0,caice_voc_g48,223,C16H27O3P,351,298,,,,1420.0011541712738
1796,,"blob263_g48_1,10-Dicyanodecane",,false,0,33.50003264500057,3.3999995580000575,2461.0,54347.0,caice_voc_g48,851,C12H20N2,151,192,1270.0,,,1268.1818181818185
1568,,blob229_g48_1-Iodo-2-methylundecane,,false,0,40.08336512250068,3.7099995177000626,3341.0,56678.0,caice_voc_g48,612,C12H25I,138,296,,,,1759.2555801339604
1918,,blob614_g48_4-(Prop-2-enoyloxy)octane,,false,0,33.41669932250057,1.949999746500033,1970.0,57379.0,caice_voc_g48,839,C11H20O2,381,184,1268.0,,,1265.909090909091
1779,,blob741_g48_Allyl methallyl ether,,false,0,32.083366162500546,2.93999961780005,2474.0,59460.0,caice_voc_g48,794,C7H12O,374,112,1230.0,,,1229.5454545454547
1619,,"blob450_g48_1,3-Dioxolane, 4-methyl-2-pentyl-",,false,0,15.41670166250026,1.9399997478000328,3236.0,62166.0,caice_voc_g48,896,C9H18O2,260,158,812.0,,,818.3673469387754
1017,,"blob401_g48_Hexane, 1-chloro-5-methyl-",,false,0,30.750033002500523,1.599999792000027,5862.0,63994.0,caice_voc_g48,855,C7H15Cl,231,134,1194.0,,,1193.4782608695652
1184,,"blob580_g48_2(1H)-Naphthalenone, 3,4,4a,5,6,7-hexahydro-1,1,4a-trimethyl-",,false,0,31.916699517500543,1.649999785500028,5247.0,68569.0,caice_voc_g48,842,C13H20O,359,192,1227.0,,,1225.0
1343,,blob351_g48_3-Methylheptyl acetate,,false,0,30.500033035000516,1.7799997686000302,4433.0,69368.0,caice_voc_g48,847,C10H20O2,235,172,1187.0,,,1186.9565217391305
2013,,blob610_g48_Isopropyl myristate,,false,0,37.08336551250063,2.94999961650005,1599.0,69434.0,caice_voc_g48,480,C17H34O2,285,270,,,,1735.0041838708685
1673,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,0,45.75003105250077,4.959999355200084,2989.0,69523.0,caice_voc_g48,692,C21H44,208,296,,,,1648.5714285714287
1116,,"blob251_g48_Heptadecane, 2,6-dimethyl-",,false,0,47.3333641800008,4.959999355200084,5347.0,69718.0,caice_voc_g48,704,C19H40,201,268,1706.0,,,1703.030303030303
1616,,"blob589_g48_1,2,5-Oxadiazol-3-amine, 4-(phenylmethoxy)-",,false,0,43.500031345000735,1.819999763400031,3485.0,69757.0,caice_voc_g48,634,C9H9N3O2,267,191,1573.0,,,1572.9729729729731
2130,,blob567_g48_1-Iodo-2-methylundecane,,false,0,43.83336463500074,3.8799994956000656,1397.0,69775.0,caice_voc_g48,626,C12H25I,232,296,,,,1583.783783783784
1831,,"blob486_g48_2,4-Pentadienoic acid, 1-cyclopenten-3-on-1-yl ester",,false,0,23.666700590000403,1.9699997439000334,2297.0,69932.0,caice_voc_g48,623,C10H10O3,310,178,1014.0,,,1014.2857142857143
1019,,"blob207_g48_2-Undecanethiol, 2-methyl-",,false,0,27.916700037500473,0.9799998726000166,5910.0,70048.0,caice_voc_g48,796,C12H26S,80,202,1111.0,,,1119.5652173913045
1198,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",,false,0,52.50003017500089,0.8599998882000146,5103.0,70276.0,caice_voc_g48,630,C21H38O4,149,354,1797.0,,,
1187,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,false,0,52.50003017500089,0.8999998830000152,5043.0,70434.0,caice_voc_g48,604,C21H38O4,269,354,1733.0,,,
1214,,blob190_g48_trans-2-Undecen-1-ol,,false,0,49.41669724250084,1.4999998050000254,4833.0,70959.0,caice_voc_g48,589,C11H22O,110,170,1773.0,,,1778.7878787878788
1736,,blob204_g48_1-Propenylaziridine,,false,0,25.583367007500435,3.659999524200062,2709.0,71116.0,caice_voc_g48,897,C5H9N,112,83,1062.0,,,1061.2244897959185
1821,,"blob500_g48_Tetradecane, 1-fluoro-",,false,0,44.50003121500075,1.5499997985000262,2365.0,71399.0,caice_voc_g48,698,C14H29F,246,216,,,,1605.7142857142858
1607,,"blob172_g48_1,4-Dioxin, 2,3-dihydro-5,6-dimethyl-",,false,0,16.58336817750028,1.0299998661000174,3301.0,72213.0,caice_voc_g48,896,C6H10O2,55,114,850.0,,,846.9387755102041
