TimeStart_JD,TimeStop_JD,Datenum,C3H3NHplus_ppt,C2H6SHplus_ppt,C10H16OHplus_ppt,CH4SHplus_ppt,C7H5NSHplus_ppt,C9H12Hplus_ppt,C8H10Hplus_ppt,C6H6Hplus_ppt,C4H6OHplus_ppt,C10H16Hplus_ppt,C15H24Hplus_ppt,C4H8OHplus_ppt,C10H31O5Si5plus_ppt
225.553481388889,225.554175833333,737650.553481389,7.75578888675138,918.563369421462,6.8611885623561,14.2736675356992,46.7805739302243,67.3583625154864,39.4948138577317,52.1676935298412,64.8081929951116,36.741298990025,19.152124155497,425.274404924534,0.560635449144643
225.554175856481,225.554870300926,737650.554175857,7.41909810176844,921.516569421462,6.88403661727601,14.7371617505752,46.5130214345272,66.9236616680288,39.3846591814727,56.4317402224482,65.0748769329354,36.844265396275,19.0554014750847,425.723533712413,0.595372934858929
225.554870335648,225.555564780093,737650.554870336,7.41909810176844,924.614702754796,6.9995528644156,14.7371617505752,45.7206255653362,66.4407531934526,39.6048102606094,58.9108452808139,65.8395919588421,36.465698990025,18.9872901348785,426.17948068211,0.555231963430357
225.555564803241,225.556259247685,737650.555564803,7.16460185603466,926.203069421462,7.1015066401593,15.1763510067736,45.2890782331503,66.3941625154864,39.8778354404655,60.5838803002692,66.3001100935572,36.465698990025,18.7194014750847,426.17948068211,0.543406820573214
225.556259270833,225.556953715278,737650.556259271,6.80700731678551,925.999636088129,7.21320206350026,15.4859154695835,44.8262090421004,66.9988048883678,40.3699109800339,63.7031020901524,65.214928746407,36.526394302525,18.6597643616826,426.957738257867,0.492925163430357
225.55695375,225.557648194444,737650.55695375,6.64329025193909,925.548202754796,7.13048604519363,15.4859154695835,44.3622365808267,66.978799803622,40.6293390375878,65.1094834131096,63.0856023215365,36.526394302525,18.3086592070434,424.129177651807,0.446115963430357
225.557648217593,225.558342662037,737650.557648218,6.75194008129063,927.654836088129,7.01171991247052,15.4966518332199,44.0006066324618,66.5577031934526,40.7752994692425,62.6748530629151,63.3061204562514,36.676252115025,18.3494076606517,424.039821591201,0.373807277716071
225.558342696759,225.559037141204,737650.558342697,6.83943871610291,929.746302754796,6.99911121681834,15.7680600976827,43.8937735859902,66.7262286171814,40.5334973109691,60.3264483936544,62.9987111298266,36.676252115025,18.3835571451878,423.689897348776,0.384650534858929
225.559037164352,225.559731608796,737650.559037164,7.10359810176844,932.051802754796,6.9442180818069,15.4722724943769,43.7266049112914,66.7619252273508,40.2634577426238,59.9124017010474,62.6025453267178,36.836523208775,18.3835571451878,421.837018560898,0.414942649144643
225.559731631944,225.560426076389,737650.559731632,7.23949741917459,934.162302754796,6.93263936327143,15.4753700150381,43.603950866541,67.0565616680288,40.5334973109691,58.3330242691408,62.9987111298266,36.836523208775,18.3274313719919,421.310276136655,0.4190327062875
225.560426111111,225.561120555556,737650.560426111,7.16525305057391,936.671836088129,6.93730343649798,15.4753700150381,43.5693260816873,67.2195718375203,40.686662778595,57.3739970317867,64.217001285267,36.751520865025,18.3434220936414,425.145086742716,0.4190327062875
225.561120578704,225.561815023148,737650.561120579,7.09746840893568,937.532269421462,6.96394966075427,15.5053972877653,43.2723966496735,67.2195718375203,40.7087922749979,57.9793277710863,65.8014054303447,36.455392740025,18.3204592070434,425.835920076049,0.460080763430357
225.56181505787,225.562509502315,737650.561815058,6.43220868197322,938.315236088129,7.06986293306548,15.6432592712364,43.1624224672295,68.6426353968424,40.5863282462209,63.4511565648606,64.217001285267,36.253995083775,18.211687042095,426.041677651807,0.453428477716072
225.562509525463,225.563203969907,737650.562509525,6.42621209494251,938.082402754796,7.05640069050255,15.8843336514017,42.6143467357321,67.0565616680288,40.5714469512569,67.8827518955999,63.6332189018473,36.048329458775,18.1079138462187,426.041677651807,0.453428477716072
225.563203993056,225.5638984375,737650.563203993,6.43113598572749,938.705702754796,7.12699359668104,16.64478737041,42.0554603329782,66.6540921765034,40.4993426347101,67.9945028683626,62.4399028396712,35.945111490025,17.9459777637445,424.298609469989,0.460080763430357
225.563898472222,225.564592916667,737650.563898472,6.48112540552271,940.797636088129,7.08012586212727,16.6192543125587,41.8348183364205,66.2970811595542,40.5714469512569,68.6316624014365,61.6224935132463,35.861200552525,18.3204592070434,423.794253409382,0.484499449144643
225.564592939815,225.565287384259,737650.56459294,6.76066328948175,942.075169421462,7.06986911155518,16.5999931555339,41.7656737581073,64.6810718375203,40.4309505483792,75.2417402224481,60.3611463629872,35.898262271275,17.997305598796,422.451677651807,0.466490534858929
225.565287418981,225.565981863426,737650.565287419,6.63733018367971,944.168836088129,7.07702265846594,16.458149353881,41.4197804706718,64.8216989561644,40.2902311239188,71.0420904170007,57.4913536168733,35.239410708775,18.1191726091053,421.391677651807,0.459093277716071
225.565981886574,225.566676331019,737650.565981887,6.58317182190496,945.432969421462,7.00296865388928,15.4945584447901,41.4180971660247,66.1417260748085,40.2311016275159,68.6683939189462,57.4913536168733,35.239410708775,18.1842076606517,421.188912500292,0.484499449144643
225.566676354167,225.567370798611,737650.566676354,6.41682233385036,945.986436088129,6.97146201773367,15.170681585286,41.6583105911537,65.7057514985373,40.2311016275159,67.011545669919,57.207208539153,35.202044302525,18.1784478668373,421.21126098514,0.452578477716071
225.567370833333,225.568065277778,737650.567370833,6.85851721439643,946.777702754796,6.83412677745907,15.1303510067736,41.6583105911537,66.1174676002322,39.9378858001778,64.4228686271174,57.207208539153,35.195827896275,18.4254561142599,421.255692803322,0.452578477716071
225.568065300926,225.56875974537,737650.568065301,6.80236704374796,949.778669421462,6.77902334496479,15.0941196018149,41.8673123123241,65.971506583283,39.8649181742785,64.5561760201135,58.5314054303448,35.239410708775,18.7649385884867,422.719518560898,0.456997220573215
225.568759780093,225.569454224537,737650.56875978,6.86314451815069,951.410036088129,6.77179725800827,15.170681585286,41.9836307288474,66.1174676002322,39.9095944332713,65.7757869150552,58.7298510261997,35.842966958775,19.1549344647754,423.778723106352,0.452578477716071
225.569454247685,225.57014869213,737650.569454248,6.86314451815069,954.179002754796,6.81166911155518,15.3826096844595,42.1114568906374,66.5490777697237,39.8033390375878,66.4808841913197,59.5016126842307,36.231315396275,19.249487042095,424.353457954837,0.470552477716072
