r_date,Compound.Name,volume_tot,File_num,Category,Sample_Number,Sample_Time,amt_sampled_cm3,Quant_category,cal_curve,Extracted_Chla,Bulk_HB,T_O_D,Usable,Event,quant.proxy,quant_mw,keep,Class,quant.factor,vol_ng,vol_ng_per_L,vol_mol_per_L,vol_ppt,vol_ppt_vocus,vol_ppt.max,vol_ppt.mean,vol_ppt.sd,vol_zscore,quant.proxy.f
7/24/2019 13:59,benzothiazole,304143,NA,Sample,g27,7/24/2019 13:59,2016,2,cc_1,0.725469902,4.40E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,0.205502027,0.101935529,7.55E-13,18.46458667,45,99.01973284,53.11651197,17.83320978,-1.943112077,benzothiazole
7/27/2019 6:08,benzothiazole,617463,NA,Sample,g32,7/27/2019 6:08,2000,2,cc_1,NA,NA,Night,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,0.41720473,0.208602365,1.55E-12,37.78620147,,99.01973284,53.11651197,17.83320978,-0.859649535,benzothiazole
7/27/2019 14:13,benzothiazole,753121,NA,Sample,g33,7/27/2019 14:13,2000,2,cc_1,0.656432382,1.50E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,0.508865541,0.25443277,1.88E-12,46.08791431,68,99.01973284,53.11651197,17.83320978,-0.394129702,benzothiazole
7/30/2019 13:34,benzothiazole,1618078,NA,Sample,g36,7/30/2019 13:34,2000,2,cc_1,1.589375316,2.90E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,1.093295946,0.546647973,4.05E-12,99.01973284,159,99.01973284,53.11651197,17.83320978,2.574030219,benzothiazole
7/31/2019 13:56,benzothiazole,1050936,NA,Sample,g38,7/31/2019 13:56,2000,2,cc_1,2.848445838,1.50E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,0.710091892,0.355045946,2.63E-12,64.31297005,154,99.01973284,53.11651197,17.83320978,0.627843121,benzothiazole
8/2/2019 6:13,benzothiazole,1103360,NA,Sample,g41,8/2/2019 6:13,2000,2,cc_1,NA,NA,Night,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,0.745513514,0.372756757,2.76E-12,67.5211037,,99.01973284,53.11651197,17.83320978,0.807739712,benzothiazole
8/2/2019 13:36,benzothiazole,1142130,NA,Sample,g43,8/2/2019 13:36,2000,2,cc_1,17.464382,7.60E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,1480000,0.771709459,0.38585473,2.86E-12,69.89366858,157,99.01973284,53.11651197,17.83320978,0.940781655,benzothiazole
8/3/2019 13:50,benzothiazole,298509,NA,Sample,g46,8/3/2019 13:50,2100,1,cc_2,18.74240276,5.00E+09,Day,TRUE,Peak Chla,benzothiazole,135,1,Anthropogenic,809000,0.368985167,0.175707222,1.30E-12,31.82758022,168,99.01973284,53.11651197,17.83320978,-1.193780144,benzothiazole
8/4/2019 13:41,benzothiazole,472686,NA,Sample,g48,8/4/2019 13:41,2000,1,cc_2,6.753826262,4.20E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,809000,0.584284302,0.292142151,2.16E-12,52.91858592,156,99.01973284,53.11651197,17.83320978,-0.011098734,benzothiazole
8/5/2019 13:34,benzothiazole,525442,NA,Sample,g49,8/5/2019 13:34,2000,1,cc_2,14.61165707,4.60E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,809000,0.649495674,0.324747837,2.41E-12,58.82477505,174,99.01973284,53.11651197,17.83320978,0.320091737,benzothiazole
8/6/2019 5:20,benzothiazole,473234,NA,Sample,g50,8/6/2019 5:20,2000,1,cc_2,NA,NA,Night,TRUE,NA,benzothiazole,135,1,Anthropogenic,809000,0.584961681,0.292480841,2.17E-12,52.97993613,,99.01973284,53.11651197,17.83320978,-0.007658511,benzothiazole
8/6/2019 13:39,benzothiazole,564827,NA,Sample,g52,8/6/2019 13:39,2000,1,cc_2,4.327583712,9.60E+09,Day,TRUE,NA,benzothiazole,135,1,Anthropogenic,809000,0.698179234,0.349089617,2.59E-12,63.23404147,214,99.01973284,53.11651197,17.83320978,0.567342034,benzothiazole
8/7/2019 14:01,benzothiazole,491747,NA,Sample,g53,8/7/2019 14:01,2000,1,cc_2,4.946981612,1.30E+10,Day,TRUE,Peak HB,benzothiazole,135,1,Anthropogenic,809000,0.607845488,0.303922744,2.25E-12,55.05252085,189,99.01973284,53.11651197,17.83320978,0.108561998,benzothiazole
8/8/2019 5:46,benzothiazole,417341,NA,Sample,g56,8/8/2019 5:46,2000,1,cc_2,NA,NA,Night,TRUE,NA,benzothiazole,135,1,Anthropogenic,809000,0.515872682,0.257936341,1.91E-12,46.72255063,,99.01973284,53.11651197,17.83320978,-0.358542372,benzothiazole
