BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
40,,"blob216_g48_Dodecane, 2,7,10-trimethyl-",,FALSE,0,42.66674113,0.839999832,668613,5442224,caice_voc_g48,800,C15H32,211,212,1543,,
41,,"blob616_g48_3-Penten-1-ol, 4-methyl-",,FALSE,0,10.66674753,2.759999448,598652,1.36E+07,caice_voc_g48,730,C6H12O,233,100,,,
42,,"blob18_g48_Hexadecen-1-ol, trans-9-",,FALSE,0,44.66674073,1.159999768,622191,9883410,caice_voc_g48,939,C16H32O,27,240,1609,,
43,,"blob131_g48_3-Eicosene, (E)-",,FALSE,0,47.25007355,1.19999976,593449,6012791,caice_voc_g48,859,C20H40,58,280,1697,,
44,,blob32_g48_Cetene,,FALSE,0,44.33340747,1.159999768,579118,5297173,caice_voc_g48,895,C16H32,41,224,1597,,
45,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",,FALSE,0,41.08340812,1.079999784,551606,5217586,caice_voc_g48,731,C11H22,135,154,1532,,
46,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,40.5000749,0.819999836,556463,5258078,caice_voc_g48,768,C21H44,208,296,,,
47,,"blob36_g48_2,2,7,7-Tetramethyloctane",,FALSE,0,24.25007815,0.659999868,554482,3999946,caice_voc_g48,903,C12H26,42,170,1024,,
48,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,36.5000757,0.879999824,541422,7366644,caice_voc_g48,735,C21H44,208,296,,,
49,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,42.0000746,0.979999804,502604,1.08E+07,caice_voc_g48,715,C18H36,247,252,,,
50,,blob17_g48_1-Tetradecene,,FALSE,0,35.16674263,0.879999824,538087,5024729,caice_voc_g48,760,C14H28,28,196,1400,,
51,,"blob321_g48_Sulfurous acid, butyl 2-ethylhexyl ester",,FALSE,0,46.16674043,1.09999978,517041,4853427,caice_voc_g48,766,C12H26O3S,209,250,1660,,
52,,C11,,TRUE,0,27.08341092,0.759999848,511656,6770705,-,-1,-,-1,-1,,,
53,,"blob143_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,41.75007465,0.959999808,492337,1.39E+07,caice_voc_g48,779,C19H40,51,268,1516,,
54,,"blob326_g48_Dodecane, 2-methyl-",,FALSE,0,33.41674298,0.779999844,538999,3526828,caice_voc_g48,778,C13H28,188,184,1266,,
55,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,38.83340857,0.759999848,527894,3680610,caice_voc_g48,778,C21H44,208,296,,,
56,,"blob160_g48_Sulfurous acid, decyl 2-ethylhexyl ester",,FALSE,0,35.58340922,0.779999844,527852,3378649,caice_voc_g48,808,C18H38O3S,65,334,1464,,
57,,blob567_g48_1-Iodo-2-methylundecane,,FALSE,0,39.91674168,0.9999998,495694,6497626,caice_voc_g48,707,C12H25I,232,296,,,
58,,"blob162_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,25.66674453,0.69999986,511167,4522795,caice_voc_g48,901,C13H28,75,184,1066,,
59,,blob374_g48_4-Trifluoroacetoxyhexadecane,,FALSE,0,45.25007395,1.359999728,475634,6356042,caice_voc_g48,605,C18H33F3O2,210,338,1623,,
60,,"blob166_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,26.25007775,0.719999856,490454,5163945,caice_voc_g48,866,C13H28,70,184,1080,,
61,,"blob219_g48_1-Octanol, 2,2-dimethyl-",,FALSE,0,38.41674198,0.919999816,455022,1.12E+07,caice_voc_g48,736,C10H22O,136,158,1609,,
62,,"blob196_g48_5-Undecene, 3-methyl-, (E)-",,FALSE,0,44.16674083,1.139999772,474860,4497859,caice_voc_g48,865,C12H24,116,168,1592,,
63,,blob20_g48_1-Decene,,FALSE,0,22.75007845,0.879999824,484904,4665519,caice_voc_g48,953,C10H20,32,140,996,,
64,,blob21_g48_1-Undecene,,FALSE,0,27.0000776,0.919999816,491000,3875270,caice_voc_g48,967,C11H22,34,154,1098,,
65,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,39.08340852,0.939999812,470087,6575864,caice_voc_g48,683,C18H36,247,252,,,
66,,blob173_g48_tert-Butyl glycidyl ether,,FALSE,0,24.75007805,0.819999836,463087,3425064,caice_voc_g48,863,C7H14O2,108,130,1044,,
67,,"blob158_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,21.83341197,0.659999868,477055,5272638,caice_voc_g48,886,C13H28,74,184,976,,
68,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,22.66674513,0.69999986,444405,3351755,caice_voc_g48,750,C21H44,208,296,,,
69,,"blob85_g48_Cyclopropane, nonyl-",,FALSE,0,34.58340942,0.9999998,447310,2733169,caice_voc_g48,917,C12H24,69,168,1298,,
70,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,38.91674188,0.939999812,423133,4132564,caice_voc_g48,692,C18H36,247,252,,,
71,,"blob208_g48_Cyclobutene, 2-propenylidene-",,FALSE,0,12.91674708,2.619999476,395760,8065413,caice_voc_g48,808,C7H8,77,92,,,
72,,blob427_g48_8-Heptadecene,,FALSE,0,40.5000749,0.979999804,398735,4924107,caice_voc_g48,747,C17H34,227,238,1683,,
73,,"blob143_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,41.58340802,0.919999816,388456,4897397,caice_voc_g48,780,C19H40,51,268,1516,,
74,,C17,,TRUE,0,47.33340687,1.039999792,392443,1.01E+07,-,-1,-,-1,-1,,,
75,,"blob508_g48_Dodecane, 2,7,10-trimethyl-",,FALSE,0,44.08340752,1.019999796,389139,8573874,caice_voc_g48,737,C15H32,249,212,1592,,
76,,blob32_g48_Cetene,,FALSE,0,40.83340817,0.979999804,377720,6640855,caice_voc_g48,794,C16H32,41,224,1597,,
77,,blob32_g48_Cetene,,FALSE,0,44.33340747,1.339999732,386712,2886470,caice_voc_g48,732,C16H32,41,224,1597,,
78,,"blob201_g48_Cyclohexane, undecyl-",,FALSE,0,49.33340647,1.319999736,390049,3898988,caice_voc_g48,849,C17H34,103,238,1773,,
79,,"blob197_g48_Octane, 2,3,3-trimethyl-",,FALSE,0,26.75007765,0.739999852,379569,5989196,caice_voc_g48,827,C11H24,160,156,1086,,
