BlobID,Description,Compound Name,Library RI,LRI I,Library Match Factor,Volume,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
42,,blob84_g48_Styrene_CAICE_vocstand_incomplete,925,923.6363636,928,3648408,,FALSE,0,19.33336782,4.049999474,73992,caice_voc_g48,-,2,0,,
44,,blob318_g48_1-Hexadecanol,,1796.292092,788,707157,,FALSE,0,39.91669848,1.179999847,72716,caice_voc_g48,C16H34O,172,242,,
45,,blob82_g48_cis-2-Nonene,897,896.6666667,922,1301913,,FALSE,0,18.08336798,0.879999886,71769,caice_voc_g48,C9H18,44,126,,
46,,blob88_g48_2-Ethyl-1-hexanol,1088,1088,907,1982408,,FALSE,0,26.50003356,4.469999419,68072,caice_voc_g48,C8H18O,39,130,,
47,,"blob172_g48_1,4-Dioxin, 2,3-dihydro-5,6-dimethyl-",850,850,901,1968215,,FALSE,0,15.75003495,3.219999581,66295,caice_voc_g48,C6H10O2,55,114,,
48,,"blob31_g48_2-Octen-1-ol, (E)-",1054,1054,936,1683549,,FALSE,0,25.08336707,2.239999709,60940,caice_voc_g48,C8H16O,37,128,,
49,,"blob259_g48_9-Octadecene, (E)-",,1850.014369,742,621611,,FALSE,0,38.75003196,1.129999853,60564,caice_voc_g48,C18H36,247,252,,
50,,C17,,1700,-1,1049142,,TRUE,0,47.25003086,1.07999986,57770,-,-,-1,-1,,
52,,"blob36_g48_2,2,7,7-Tetramethyloctane",1024,1024,920,682771,,FALSE,0,23.83336724,0.68999991,56658,caice_voc_g48,C12H26,42,170,,
53,,"blob85_g48_Cyclopropane, nonyl-",1298,1297.727273,916,537378,,FALSE,0,34.50003252,1.059999862,54893,caice_voc_g48,C12H24,69,168,,
54,,"blob131_g48_3-Eicosene, (E)-",1697,1697.142857,890,767255,,FALSE,0,47.16669754,1.239999839,51480,caice_voc_g48,C20H40,58,280,,
55,,"blob140_g48_1-Nonadecanamine, N,N-dimethyl-",1715,1715.151515,887,1152355,,FALSE,0,47.66669747,1.319999828,48661,caice_voc_g48,C21H45N,59,311,,
56,,"blob137_g48_ethanone, 2,2-dichloro-2-fluoro-1-phenyl-",1030,1030,927,2281686,,FALSE,0,24.0833672,3.239999579,47231,caice_voc_g48,C8H5Cl2FO,40,206,,
57,,"blob133_g48_Sulfurous acid, hexyl tetradecyl ester",1752,1751.515152,854,818968,,FALSE,0,48.66669734,1.07999986,47250,caice_voc_g48,C20H42O3S,63,362,,
58,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",1532,1518.518256,802,695751,,FALSE,0,41.16669832,1.149999851,47720,caice_voc_g48,C11H22,135,154,,
59,,"blob143_g48_Heptadecane, 2,6-dimethyl-",1516,1516.216216,881,1221694,,FALSE,0,41.75003157,0.959999875,47536,caice_voc_g48,C19H40,51,268,,
61,,blob723_g48_1-Butanol,,,828,3713921,,FALSE,0,10.0000357,3.279999574,44295,caice_voc_g48,C4H10O,302,74,,
63,,"blob174_g48_1-Pentadecanamine, N,N-dimethyl-",1516,1513.513514,897,658807,,FALSE,0,41.66669825,1.249999838,43731,caice_voc_g48,C17H37N,91,255,,
106,,"blob144_g48_Heptadecane, 2,6-dimethyl-",1745,1745.454545,893,902674,,FALSE,0,48.5000307,1.069999861,43515,caice_voc_g48,C19H40,62,268,,
126,,blob229_g48_1-Iodo-2-methylundecane,,1014,736,522226,,FALSE,0,23.41670062,0.739999904,43093,caice_voc_g48,C12H25I,138,296,,
136,,"blob29_g48_Phenol, 3,5-bis(1,1-dimethylethyl)-",1611,1611.428571,890,2125870,,FALSE,0,44.66669786,3.649999526,41288,caice_voc_g48,C14H22O,31,206,,
177,,blob21_g48_1-Undecene,1098,1090,804,999509,,FALSE,0,26.58336688,0.879999886,41000,caice_voc_g48,C11H22,34,154,,
178,,"blob15_g48_Pentadecane, 5-methyl-",1554,1548.782822,809,469577,,FALSE,0,36.00003232,0.899999883,39090,caice_voc_g48,C16H34,22,226,,
179,,blob150_g48_1-Octene,,,908,458135,,FALSE,0,13.08336863,0.84999989,37142,caice_voc_g48,C8H16,84,112,,
180,,C18,,1800,-1,871448,,TRUE,0,50.0000305,1.129999853,37665,-,-,-1,-1,,
181,,blob139_g48_Acetophenone_CAICE_vocstand_incomplete,1145,1144.680851,874,1361097,,FALSE,0,28.75003326,2.499999675,36763,caice_voc_g48,-,3,0,,
182,,blob32_g48_Cetene,1597,1591.891892,856,564945,,FALSE,0,44.0833646,1.169999848,36166,caice_voc_g48,C16H32,41,224,,
187,,blob21_g48_1-Undecene,1098,1086,798,531553,,FALSE,0,26.41670023,0.879999886,34079,caice_voc_g48,C11H22,34,154,,
188,,blob190_g48_trans-2-Undecen-1-ol,1773,1772.727273,857,893339,,FALSE,0,49.2500306,2.22999971,33007,caice_voc_g48,C11H22O,110,170,,
189,,"blob80_g48_Octadecane, 2,6-dimethyl-",1532,1537.036511,843,587634,,FALSE,0,41.08336499,0.939999878,33708,caice_voc_g48,C20H42,45,282,,
190,,blob164_g48_1-Iodo-2-methylundecane,1524,1524.324324,903,289199,,FALSE,0,42.00003154,0.969999874,34408,caice_voc_g48,C12H25I,124,296,,
192,,blob190_g48_trans-2-Undecen-1-ol,1773,1759.25558,826,786979,,FALSE,0,40.08336512,2.209999713,32260,caice_voc_g48,C11H22O,110,170,,
193,,"blob123_g48_Cyclopentene, 1-ethenyl-3-methylene-",922,921.8181818,933,635541,,FALSE,0,19.2500345,2.799999636,31499,caice_voc_g48,C8H10,49,106,,
